Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 1.439 ; 1.162 ; 789 ; 1.664 ; 870 ; 1.103 ; 1.676 ; 1.486 ; 3.728 ; 5.416 ; 4.844 ; 3.975 ; 2.913 ; 3.591 ; 4.036 ; 4.480 ; 3.196 ; 2.331 ; 6.489 ; 3.525 ; 9.372 ; 7.700 ; 8.599 
Fevereiro; 1.465 ; 1.068 ; 782 ; 926 ; 819 ; 1.052 ; 1.421 ; 1.667 ; 3.694 ; 5.146 ; 3.630 ; 4.005 ; 2.925 ; 3.703 ; 4.077 ; 5.945 ; 3.864 ; 2.260 ; 5.984 ; 4.227 ; 12.854 ; 9.317 ; 9.045 
Março; 1.408 ; 1.353 ; 751 ; 956 ; 1.137 ; 1.149 ; 1.353 ; 1.776 ; 4.102 ; 5.873 ; 3.247 ; 3.899 ; 3.392 ; 4.060 ; 3.726 ; 7.268 ; 3.753 ; 2.214 ; 6.590 ; 7.027 ; 10.490 ; 12.515 ; 12.415 
Abril; 1.422 ; 1.133 ; 1.025 ; 1.086 ; 998 ; 1.199 ; 845 ; 1.788 ; 4.278 ; 6.105 ; 4.255 ; 2.640 ; 3.159 ; 3.886 ; 3.771 ; 6.776 ; 2.741 ; 3.614 ; 6.676 ; 8.031 ; 6.705 ; 12.571 ; 13.622 
Maio; 1.498 ; 1.197 ; 879 ; 1.082 ; 1.054 ; 1.371 ; 1.119 ; 1.806 ; 4.362 ; 6.003 ; 4.670 ; 3.048 ; 3.425 ; 3.879 ; 4.189 ; 6.758 ; 2.197 ; 2.010 ; 6.946 ; 6.805 ; 7.260 ; 10.507 ; 13.400 
Junho; 1.059 ; 1.112 ; 1.042 ; 998 ; 1.151 ; 1.585 ; 1.015 ; 2.105 ; 4.121 ; 6.889 ; 4.494 ; 2.771 ; 3.172 ; 3.638 ; 3.669 ; 6.708 ; 2.029 ; 2.060 ; 6.390 ; 11.296 ; 9.124 ; 9.305 ; 12.130 
Julho; 1.510 ; 1.091 ; 1.139 ; 928 ; 1.170 ; 1.465 ; 1.142 ; 2.627 ; 4.617 ; 6.948 ; 4.716 ; 2.738 ; 3.081 ; 3.853 ; 4.180 ; 6.833 ; 3.200 ; 2.325 ; 5.376 ; 11.363 ; 7.994 ; 11.686 ;
Agosto; 1.515 ; 1.172 ; 1.297 ; 1.076 ; 1.235 ; 1.840 ; 1.358 ; 3.230 ; 4.647 ; 7.481 ; 5.218 ; 3.307 ; 3.499 ; 4.041 ; 4.282 ; 6.955 ; 4.530 ; 3.026 ; 8.530 ; 7.848 ; 9.090 ; 11.346 ;
Setembro; 1.344 ; 1.054 ; 1.206 ; 912 ; 1.138 ; 1.756 ; 1.373 ; 3.461 ; 5.012 ; 8.129 ; 5.246 ; 3.459 ; 3.291 ; 3.772 ; 4.308 ; 7.002 ; 3.995 ; 5.219 ; 9.513 ; 9.506 ; 10.623 ; 11.094 ;
Outubro; 1.404 ; 1.253 ; 1.358 ; 952 ; 1.239 ; 1.933 ; 1.517 ; 4.220 ; 5.224 ; 7.351 ; 4.660 ; 3.571 ; 3.797 ; 4.107 ; 4.378 ; 7.894 ; 2.905 ; 5.156 ; 11.085 ; 10.673 ; 9.918 ; 12.261 ;
Novembro; 1.378 ; 976 ; 1.147 ; 925 ; 1.226 ; 2.200 ; 1.679 ; 4.211 ; 4.999 ; 6.900 ; 4.188 ; 3.520 ; 3.611 ; 3.902 ; 4.409 ; 6.378 ; 1.909 ; 4.526 ; 11.363 ; 12.212 ; 8.509 ; 11.336 ;
Dezembro; 1.302 ; 960 ; 851 ; 1.052 ; 1.497 ; 2.363 ; 1.767 ; 4.126 ; 5.920 ; 7.361 ; 5.707 ; 3.585 ; 3.804 ; 4.580 ; 5.414 ; 5.603 ; 4.052 ; 4.117 ; 5.589 ; 9.532 ; 10.958 ; 11.174 ;
