Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 7.164 ; 4.184 ; 3.532 ; 4.282 ; 3.245 ; 3.673 ; 4.679 ; 4.734 ; 9.600 ; 14.771 ; 7.720 ; 5.753 ; 4.072 ; 3.735 ; 3.918 ; 4.790 ; 4.076 ; 2.540 ; 3.169 ; 6.760 ; 5.526 ; 4.469 ; 2.957 
Fevereiro; 6.550 ; 3.717 ; 3.117 ; 3.233 ; 3.023 ; 3.144 ; 4.070 ; 4.476 ; 8.241 ; 13.656 ; 4.279 ; 5.590 ; 4.248 ; 3.723 ; 3.526 ; 5.287 ; 3.358 ; 1.553 ; 2.510 ; 4.863 ; 4.049 ; 4.578 ; 2.844 
Março; 6.211 ; 3.847 ; 3.301 ; 2.411 ; 2.809 ; 3.830 ; 2.973 ; 4.988 ; 10.070 ; 14.385 ; 5.575 ; 5.052 ; 4.406 ; 3.572 ; 3.486 ; 5.193 ; 2.895 ; 2.263 ; 2.150 ; 5.288 ; 2.855 ; 7.323 ; 5.086 
Abril; 5.531 ; 3.595 ; 3.350 ; 2.163 ; 3.236 ; 4.212 ; 2.264 ; 4.253 ; 10.996 ; 15.098 ; 6.693 ; 3.016 ; 3.785 ; 3.129 ; 3.634 ; 4.849 ; 2.974 ; 1.835 ; 2.053 ; 4.761 ; 2.371 ; 5.550 ; 5.405 
Maio; 5.340 ; 3.634 ; 3.425 ; 2.237 ; 3.040 ; 4.244 ; 2.703 ; 4.349 ; 11.227 ; 14.221 ; 7.066 ; 3.785 ; 3.532 ; 3.220 ; 3.247 ; 4.264 ; 2.876 ; 2.211 ; 3.356 ; 5.079 ; 1.796 ; 3.380 ; 4.003 
Junho; 4.897 ; 3.643 ; 3.137 ; 2.023 ; 2.419 ; 3.836 ; 2.915 ; 4.418 ; 10.550 ; 15.225 ; 7.282 ; 4.277 ; 3.522 ; 3.081 ; 3.129 ; 4.476 ; 2.908 ; 2.060 ; 4.526 ; 4.475 ; 2.252 ; 6.743 ; 3.628 
Julho; 6.034 ; 3.662 ; 3.609 ; 3.212 ; 2.848 ; 3.795 ; 3.234 ; 5.531 ; 11.788 ; 16.431 ; 8.163 ; 4.882 ; 4.152 ; 3.585 ; 3.267 ; 6.165 ; 3.370 ; 2.233 ; 4.394 ; 4.641 ; 2.940 ; 6.027 ;
Agosto; 4.491 ; 3.468 ; 3.532 ; 3.339 ; 3.191 ; 4.224 ; 3.519 ; 6.010 ; 11.464 ; 15.401 ; 8.629 ; 5.585 ; 4.110 ; 3.411 ; 2.867 ; 5.817 ; 3.582 ; 3.242 ; 4.435 ; 5.002 ; 3.246 ; 4.242 ;
Setembro; 5.034 ; 3.055 ; 3.956 ; 2.977 ; 3.271 ; 4.290 ; 3.862 ; 6.043 ; 12.405 ; 16.567 ; 8.646 ; 4.034 ; 3.475 ; 3.071 ; 3.012 ; 5.816 ; 3.457 ; 3.543 ; 6.352 ; 4.742 ; 3.992 ; 3.245 ;
Outubro; 4.830 ; 3.420 ; 3.786 ; 3.189 ; 3.462 ; 4.333 ; 3.739 ; 8.131 ; 13.406 ; 14.605 ; 7.882 ; 4.444 ; 4.056 ; 3.519 ; 3.484 ; 6.883 ; 3.447 ; 3.452 ; 7.519 ; 5.341 ; 4.531 ; 3.077 ;
Novembro; 4.296 ; 3.272 ; 2.530 ; 3.310 ; 2.494 ; 4.626 ; 3.799 ; 8.444 ; 12.190 ; 10.524 ; 6.416 ; 4.565 ; 3.965 ; 3.659 ; 3.507 ; 4.819 ; 3.839 ; 3.004 ; 5.794 ; 4.845 ; 3.564 ; 3.201 ;
Dezembro; 4.549 ; 3.487 ; 4.594 ; 4.163 ; 3.683 ; 6.338 ; 4.670 ; 9.454 ; 15.310 ; 11.949 ; 7.407 ; 4.748 ; 4.050 ; 4.245 ; 4.932 ; 5.156 ; 4.513 ; 3.124 ; 6.797 ; 6.115 ; 4.599 ; 2.927 ;
