Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 5.872 ; 5.249 ; 4.954 ; 6.194 ; 5.448 ; 5.375 ; 6.343 ; 7.129 ; 11.731 ; 16.983 ; 10.586 ; 14.497 ; 6.638 ; 9.158 ; 14.524 ; 18.372 ; 13.041 ; 6.901 ; 9.393 ; 10.623 ; 9.332 ; 16.682 ; 10.431 
Fevereiro; 5.657 ; 4.529 ; 4.300 ; 4.420 ; 5.079 ; 4.700 ; 4.736 ; 6.032 ; 11.076 ; 14.945 ; 7.189 ; 11.347 ; 6.141 ; 10.257 ; 13.419 ; 19.073 ; 10.754 ; 6.124 ; 7.652 ; 8.503 ; 9.663 ; 19.384 ; 11.082 
Março; 5.716 ; 5.086 ; 4.814 ; 4.565 ; 5.483 ; 5.896 ; 4.455 ; 6.984 ; 11.812 ; 17.234 ; 9.769 ; 8.354 ; 6.879 ; 10.271 ; 12.396 ; 19.721 ; 9.473 ; 6.943 ; 7.805 ; 8.552 ; 9.276 ; 20.400 ; 16.102 
Abril; 6.205 ; 4.898 ; 5.258 ; 4.842 ; 5.854 ; 5.323 ; 3.839 ; 6.620 ; 12.104 ; 18.638 ; 12.963 ; 5.558 ; 6.421 ; 9.483 ; 11.873 ; 21.255 ; 9.538 ; 6.545 ; 7.496 ; 9.226 ; 7.839 ; 17.143 ; 15.102 
Maio; 5.678 ; 5.002 ; 5.014 ; 4.812 ; 5.901 ; 5.657 ; 4.296 ; 6.748 ; 12.701 ; 16.879 ; 13.089 ; 8.825 ; 6.381 ; 8.835 ; 10.244 ; 18.599 ; 9.684 ; 6.408 ; 8.886 ; 8.919 ; 8.309 ; 15.447 ; 12.294 
Junho; 4.982 ; 5.015 ; 4.434 ; 4.537 ; 5.179 ; 5.531 ; 4.820 ; 7.087 ; 11.797 ; 16.433 ; 14.244 ; 8.885 ; 6.270 ; 9.395 ; 9.873 ; 17.944 ; 8.827 ; 5.825 ; 11.378 ; 7.937 ; 9.117 ; 12.769 ; 12.996 
Julho; 6.391 ; 4.821 ; 5.927 ; 5.646 ; 7.874 ; 5.679 ; 5.568 ; 8.660 ; 14.450 ; 18.400 ; 16.993 ; 8.259 ; 8.291 ; 10.578 ; 11.010 ; 19.092 ; 9.582 ; 6.517 ; 12.386 ; 8.419 ; 10.709 ; 12.571 ;
Agosto; 5.603 ; 4.698 ; 5.528 ; 4.645 ; 5.650 ; 5.960 ; 5.605 ; 9.308 ; 14.245 ; 17.266 ; 15.948 ; 8.252 ; 7.950 ; 10.734 ; 11.046 ; 20.084 ; 9.617 ; 7.461 ; 12.886 ; 7.876 ; 12.247 ; 12.880 ;
Setembro; 5.956 ; 4.562 ; 5.442 ; 4.921 ; 6.343 ; 6.664 ; 5.907 ; 10.004 ; 15.116 ; 18.297 ; 16.960 ; 7.891 ; 7.928 ; 10.794 ; 12.149 ; 21.461 ; 9.410 ; 8.886 ; 13.689 ; 8.400 ; 16.126 ; 13.248 ;
Outubro; 5.596 ; 4.813 ; 6.750 ; 5.623 ; 6.434 ; 6.253 ; 5.904 ; 12.322 ; 16.631 ; 19.164 ; 16.379 ; 8.137 ; 8.864 ; 12.475 ; 14.469 ; 22.653 ; 9.298 ; 8.437 ; 15.430 ; 9.461 ; 18.243 ; 13.417 ;
Novembro; 5.365 ; 4.621 ; 5.586 ; 4.670 ; 5.312 ; 6.359 ; 5.961 ; 11.303 ; 15.171 ; 15.426 ; 15.671 ; 7.716 ; 8.577 ; 12.217 ; 15.115 ; 15.845 ; 7.604 ; 9.561 ; 13.064 ; 9.185 ; 15.814 ; 11.767 ;
Dezembro; 6.079 ; 5.212 ; 6.148 ; 6.309 ; 6.656 ; 8.189 ; 7.859 ; 13.276 ; 19.446 ; 18.312 ; 18.481 ; 8.073 ; 10.419 ; 16.671 ; 19.961 ; 17.597 ; 9.367 ; 11.455 ; 13.316 ; 11.481 ; 19.051 ; 13.155 ;
