Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 9.657 ; 5.783 ; 3.689 ; 5.252 ; 5.251 ; 4.462 ; 9.502 ; 10.799 ; 21.323 ; 27.152 ; 28.930 ; 26.249 ; 12.535 ; 14.689 ; 14.785 ; 13.284 ; 22.368 ; 14.214 ; 30.320 ; 38.908 ; 35.848 ; 27.342 ; 20.735 
Fevereiro; 8.995 ; 5.258 ; 3.081 ; 4.492 ; 5.996 ; 5.336 ; 8.946 ; 9.598 ; 20.201 ; 22.611 ; 17.543 ; 24.075 ; 12.796 ; 14.175 ; 12.591 ; 21.396 ; 16.855 ; 12.519 ; 28.590 ; 34.362 ; 29.703 ; 28.806 ; 21.700 
Março; 9.602 ; 5.746 ; 3.572 ; 3.677 ; 6.279 ; 6.643 ; 9.798 ; 11.267 ; 23.167 ; 26.913 ; 21.260 ; 22.539 ; 14.074 ; 14.055 ; 12.353 ; 21.912 ; 16.981 ; 14.340 ; 23.658 ; 33.666 ; 21.402 ; 27.401 ; 33.694 
Abril; 10.197 ; 5.088 ; 4.091 ; 3.391 ; 6.242 ; 6.601 ; 7.670 ; 11.148 ; 23.486 ; 26.660 ; 23.824 ; 13.271 ; 14.908 ; 14.554 ; 13.088 ; 19.544 ; 15.829 ; 15.870 ; 22.907 ; 30.100 ; 10.340 ; 19.197 ; 25.183 
Maio; 10.766 ; 5.105 ; 5.353 ; 3.494 ; 5.783 ; 6.494 ; 8.834 ; 12.568 ; 26.985 ; 29.120 ; 26.089 ; 13.939 ; 14.459 ; 12.351 ; 12.043 ; 22.146 ; 18.109 ; 15.466 ; 25.737 ; 25.787 ; 10.769 ; 17.745 ; 19.773 
Junho; 8.168 ; 5.037 ; 4.565 ; 3.337 ; 6.493 ; 7.570 ; 8.338 ; 13.331 ; 25.250 ; 33.085 ; 28.338 ; 15.302 ; 12.659 ; 10.299 ; 11.355 ; 25.875 ; 19.047 ; 13.530 ; 28.277 ; 22.836 ; 15.493 ; 14.492 ; 19.614 
Julho; 9.612 ; 4.527 ; 4.437 ; 3.524 ; 7.321 ; 8.444 ; 8.207 ; 14.039 ; 24.466 ; 34.045 ; 28.500 ; 10.841 ; 11.984 ; 11.070 ; 11.577 ; 24.728 ; 16.986 ; 12.638 ; 24.753 ; 22.675 ; 19.144 ; 15.902 ;
Agosto; 8.753 ; 4.351 ; 4.609 ; 2.833 ; 6.727 ; 9.573 ; 8.283 ; 15.387 ; 19.888 ; 32.685 ; 29.162 ; 11.665 ; 13.111 ; 11.597 ; 11.406 ; 24.314 ; 15.569 ; 21.014 ; 24.632 ; 21.090 ; 21.027 ; 13.535 ;
Setembro; 6.346 ; 3.930 ; 4.687 ; 3.071 ; 5.245 ; 9.783 ; 8.802 ; 14.711 ; 21.122 ; 33.997 ; 29.379 ; 10.053 ; 12.712 ; 11.395 ; 11.688 ; 25.190 ; 14.497 ; 18.041 ; 31.254 ; 21.960 ; 22.763 ; 12.788 ;
Outubro; 6.131 ; 4.092 ; 4.846 ; 3.274 ; 5.260 ; 8.335 ; 9.159 ; 15.481 ; 22.632 ; 32.454 ; 27.253 ; 10.481 ; 14.325 ; 13.191 ; 11.555 ; 30.529 ; 15.751 ; 16.703 ; 44.059 ; 27.063 ; 24.629 ; 20.090 ;
Novembro; 5.277 ; 4.166 ; 3.859 ; 3.540 ; 3.904 ; 8.903 ; 9.410 ; 15.733 ; 23.668 ; 28.925 ; 25.607 ; 11.496 ; 14.631 ; 11.848 ; 11.537 ; 23.240 ; 15.971 ; 24.335 ; 43.564 ; 29.688 ; 22.966 ; 27.598 ;
Dezembro; 6.201 ; 4.558 ; 4.351 ; 3.420 ; 4.719 ; 11.388 ; 10.557 ; 19.245 ; 28.516 ; 37.840 ; 29.522 ; 14.904 ; 15.150 ; 14.678 ; 14.219 ; 26.525 ; 17.756 ; 29.358 ; 44.553 ; 39.800 ; 29.988 ; 26.001 ;
