Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 1.993 ; 2.175 ; 1.729 ; 1.633 ; 1.459 ; 1.275 ; 1.419 ; 1.346 ; 2.286 ; 2.818 ; 2.144 ; 1.836 ; 1.347 ; 1.608 ; 2.040 ; 2.540 ; 3.181 ; 2.873 ; 4.925 ; 7.955 ; 9.291 ; 6.985 ; 5.943 
Fevereiro; 1.925 ; 1.843 ; 1.426 ; 1.194 ; 1.179 ; 1.126 ; 1.133 ; 1.138 ; 1.857 ; 2.433 ; 1.250 ; 1.397 ; 1.157 ; 1.516 ; 1.805 ; 2.996 ; 2.726 ; 2.441 ; 3.967 ; 6.640 ; 7.588 ; 7.259 ; 8.493 
Março; 1.916 ; 1.866 ; 1.355 ; 1.096 ; 1.318 ; 1.156 ; 1.239 ; 1.341 ; 2.095 ; 2.668 ; 1.503 ; 1.303 ; 1.179 ; 1.443 ; 1.631 ; 3.416 ; 2.583 ; 2.712 ; 3.964 ; 6.548 ; 5.631 ; 7.265 ; 18.183 
Abril; 1.713 ; 1.668 ; 1.418 ; 1.120 ; 1.317 ; 1.022 ; 928 ; 1.274 ; 2.161 ; 2.551 ; 1.366 ; 787 ; 1.119 ; 1.521 ; 1.693 ; 2.905 ; 2.681 ; 2.243 ; 3.582 ; 7.374 ; 3.043 ; 6.512 ; 21.137 
Maio; 2.014 ; 1.718 ; 1.477 ; 1.058 ; 1.363 ; 1.185 ; 1.082 ; 1.253 ; 2.274 ; 2.733 ; 1.470 ; 820 ; 1.181 ; 1.384 ; 1.622 ; 2.974 ; 3.058 ; 2.650 ; 4.221 ; 7.324 ; 3.701 ; 7.358 ; 18.254 
Junho; 1.663 ; 1.674 ; 1.484 ; 1.090 ; 1.415 ; 1.200 ; 1.067 ; 1.422 ; 2.141 ; 2.930 ; 1.564 ; 767 ; 1.178 ; 1.306 ; 1.463 ; 2.905 ; 3.184 ; 2.578 ; 5.375 ; 6.543 ; 4.444 ; 5.592 ; 8.285 
Julho; 2.363 ; 1.818 ; 1.557 ; 1.326 ; 1.391 ; 1.246 ; 1.162 ; 1.628 ; 2.391 ; 3.093 ; 1.778 ; 751 ; 1.265 ; 1.422 ; 1.685 ; 3.006 ; 3.282 ; 2.506 ; 6.097 ; 6.964 ; 4.868 ; 6.865 ;
Agosto; 2.256 ; 1.841 ; 1.654 ; 1.359 ; 1.392 ; 1.241 ; 1.098 ; 1.832 ; 2.457 ; 2.921 ; 1.696 ; 896 ; 1.321 ; 1.365 ; 1.589 ; 3.199 ; 3.321 ; 3.273 ; 6.702 ; 7.415 ; 5.335 ; 5.520 ;
Setembro; 2.483 ; 1.533 ; 1.622 ; 1.360 ; 1.320 ; 1.359 ; 1.190 ; 1.723 ; 2.563 ; 2.928 ; 1.729 ; 1.181 ; 1.293 ; 1.279 ; 1.627 ; 3.352 ; 3.147 ; 3.428 ; 7.442 ; 7.715 ; 6.690 ; 9.334 ;
Outubro; 2.429 ; 1.728 ; 1.752 ; 1.409 ; 1.412 ; 1.344 ; 1.166 ; 2.160 ; 2.728 ; 3.105 ; 1.511 ; 1.334 ; 1.758 ; 1.674 ; 1.829 ; 4.415 ; 2.812 ; 3.503 ; 8.877 ; 8.548 ; 6.916 ; 5.696 ;
Novembro; 2.385 ; 1.513 ; 1.325 ; 1.265 ; 1.298 ; 1.192 ; 1.159 ; 2.188 ; 2.408 ; 2.258 ; 1.455 ; 1.332 ; 1.564 ; 1.502 ; 2.136 ; 3.367 ; 2.718 ; 4.073 ; 8.531 ; 8.496 ; 6.401 ; 8.732 ;
Dezembro; 2.624 ; 1.603 ; 1.512 ; 1.541 ; 1.352 ; 1.623 ; 1.396 ; 2.136 ; 2.913 ; 2.673 ; 1.789 ; 1.459 ; 1.622 ; 1.920 ; 2.720 ; 3.325 ; 3.222 ; 4.905 ; 8.600 ; 9.822 ; 7.344 ; 7.274 ;
