Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 3.851 ; 2.298 ; 1.747 ; 1.886 ; 1.620 ; 1.740 ; 2.860 ; 4.623 ; 8.048 ; 8.455 ; 7.217 ; 7.932 ; 3.530 ; 4.592 ; 4.462 ; 4.045 ; 5.624 ; 4.865 ; 8.101 ; 10.473 ; 10.125 ; 8.619 ; 5.123 
Fevereiro; 3.151 ; 2.344 ; 1.612 ; 1.651 ; 1.504 ; 1.535 ; 2.663 ; 4.072 ; 7.039 ; 6.770 ; 4.044 ; 6.902 ; 3.519 ; 4.578 ; 3.683 ; 5.485 ; 5.119 ; 4.166 ; 7.220 ; 8.381 ; 8.627 ; 9.493 ; 4.994 
Março; 3.412 ; 1.987 ; 1.544 ; 1.307 ; 1.624 ; 1.984 ; 3.060 ; 4.828 ; 8.868 ; 8.072 ; 5.336 ; 5.937 ; 4.161 ; 4.166 ; 3.510 ; 5.943 ; 4.945 ; 4.427 ; 7.126 ; 8.868 ; 6.644 ; 8.799 ; 7.641 
Abril; 3.038 ; 2.196 ; 2.076 ; 1.316 ; 1.929 ; 1.969 ; 2.280 ; 4.593 ; 8.151 ; 8.498 ; 6.137 ; 3.800 ; 3.869 ; 4.207 ; 3.580 ; 5.820 ; 4.183 ; 3.629 ; 5.736 ; 8.880 ; 3.897 ; 6.379 ; 8.102 
Maio; 3.106 ; 2.095 ; 2.070 ; 1.213 ; 2.470 ; 1.920 ; 2.169 ; 4.863 ; 8.377 ; 7.654 ; 6.684 ; 3.974 ; 3.991 ; 3.897 ; 3.506 ; 5.498 ; 4.467 ; 3.682 ; 6.285 ; 8.670 ; 2.906 ; 6.387 ; 6.832 
Junho; 2.490 ; 2.305 ; 1.735 ; 1.172 ; 2.272 ; 2.011 ; 2.345 ; 4.833 ; 8.230 ; 7.888 ; 7.027 ; 4.412 ; 3.724 ; 3.610 ; 3.184 ; 5.511 ; 4.274 ; 3.346 ; 8.396 ; 6.656 ; 3.646 ; 5.499 ; 5.686 
Julho; 3.636 ; 2.034 ; 1.972 ; 1.378 ; 2.286 ; 2.257 ; 2.388 ; 5.822 ; 8.500 ; 9.125 ; 7.747 ; 4.244 ; 3.681 ; 3.757 ; 3.323 ; 5.385 ; 4.056 ; 3.422 ; 6.348 ; 7.214 ; 5.267 ; 4.664 ;
Agosto; 3.381 ; 2.202 ; 1.987 ; 1.659 ; 1.945 ; 2.651 ; 2.736 ; 6.246 ; 6.877 ; 8.952 ; 6.711 ; 3.955 ; 3.724 ; 3.823 ; 3.093 ; 5.357 ; 4.254 ; 4.443 ; 7.435 ; 6.445 ; 5.488 ; 3.601 ;
Setembro; 3.020 ; 2.072 ; 1.922 ; 1.509 ; 1.961 ; 2.311 ; 2.590 ; 5.870 ; 7.341 ; 8.665 ; 6.880 ; 3.426 ; 3.553 ; 3.511 ; 3.232 ; 5.316 ; 4.225 ; 4.541 ; 9.738 ; 6.638 ; 5.797 ; 7.437 ;
Outubro; 2.985 ; 2.422 ; 2.298 ; 1.605 ; 2.052 ; 2.324 ; 2.927 ; 6.832 ; 7.718 ; 8.739 ; 6.440 ; 3.150 ; 3.973 ; 3.766 ; 3.515 ; 7.502 ; 4.327 ; 4.542 ; 11.521 ; 7.839 ; 7.351 ; 4.728 ;
Novembro; 2.739 ; 1.883 ; 1.630 ; 1.528 ; 1.798 ; 2.530 ; 3.396 ; 7.371 ; 7.060 ; 7.803 ; 6.802 ; 3.414 ; 3.810 ; 3.416 ; 3.415 ; 6.081 ; 4.309 ; 5.887 ; 10.857 ; 7.516 ; 7.730 ; 6.223 ;
Dezembro; 2.769 ; 1.831 ; 1.639 ; 1.788 ; 1.894 ; 3.269 ; 3.958 ; 7.433 ; 8.504 ; 7.752 ; 8.131 ; 4.125 ; 4.517 ; 4.695 ; 4.155 ; 6.957 ; 5.020 ; 7.391 ; 12.205 ; 10.464 ; 8.683 ; 5.124 ;
