Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 18.375 ; 14.380 ; 14.444 ; 14.469 ; 13.199 ; 14.936 ; 14.258 ; 14.613 ; 23.354 ; 35.676 ; 14.815 ; 15.769 ; 9.901 ; 10.452 ; 11.104 ; 12.430 ; 7.278 ; 4.005 ; 5.775 ; 5.367 ; 4.653 ; 3.920 ; 2.852 
Fevereiro; 18.142 ; 13.232 ; 12.619 ; 10.872 ; 12.828 ; 12.954 ; 12.539 ; 11.478 ; 21.008 ; 31.525 ; 11.255 ; 13.246 ; 9.637 ; 10.320 ; 10.094 ; 13.711 ; 6.376 ; 3.426 ; 4.132 ; 3.952 ; 2.953 ; 4.203 ; 2.134 
Março; 18.194 ; 15.060 ; 13.814 ; 11.496 ; 14.654 ; 18.647 ; 11.364 ; 14.493 ; 24.345 ; 33.819 ; 16.378 ; 11.265 ; 9.984 ; 9.105 ; 8.191 ; 15.183 ; 5.957 ; 4.053 ; 3.872 ; 4.306 ; 2.603 ; 2.992 ; 3.135 
Abril; 19.261 ; 14.012 ; 13.889 ; 11.439 ; 15.736 ; 10.909 ; 9.988 ; 11.976 ; 25.107 ; 37.360 ; 20.393 ; 8.552 ; 9.226 ; 8.605 ; 8.462 ; 12.937 ; 5.963 ; 3.342 ; 4.127 ; 4.693 ; 1.550 ; 2.231 ; 2.225 
Maio; 18.594 ; 14.933 ; 15.250 ; 12.127 ; 16.687 ; 15.360 ; 12.282 ; 13.880 ; 25.917 ; 35.130 ; 19.668 ; 12.126 ; 9.148 ; 9.064 ; 8.610 ; 13.486 ; 6.168 ; 3.986 ; 4.496 ; 4.302 ; 1.827 ; 2.611 ; 2.410 
Junho; 14.793 ; 13.442 ; 14.332 ; 11.269 ; 16.271 ; 15.327 ; 12.408 ; 14.350 ; 24.077 ; 36.872 ; 27.243 ; 12.498 ; 8.220 ; 8.147 ; 7.849 ; 15.369 ; 5.381 ; 3.806 ; 7.846 ; 3.932 ; 2.432 ; 2.961 ; 3.058 
Julho; 18.270 ; 12.948 ; 16.867 ; 13.935 ; 19.388 ; 15.619 ; 12.083 ; 17.372 ; 25.710 ; 38.243 ; 24.258 ; 10.438 ; 8.585 ; 8.383 ; 8.238 ; 14.920 ; 5.469 ; 3.983 ; 5.980 ; 4.505 ; 3.270 ; 3.109 ;
Agosto; 15.159 ; 12.664 ; 16.515 ; 12.466 ; 15.741 ; 16.556 ; 12.358 ; 20.541 ; 25.662 ; 35.888 ; 22.450 ; 10.587 ; 9.426 ; 8.166 ; 8.246 ; 15.373 ; 6.202 ; 5.036 ; 6.230 ; 3.956 ; 2.933 ; 2.572 ;
Setembro; 13.704 ; 11.831 ; 16.669 ; 11.810 ; 17.177 ; 18.056 ; 13.015 ; 21.842 ; 27.713 ; 41.862 ; 24.663 ; 10.146 ; 8.799 ; 8.221 ; 8.573 ; 16.002 ; 5.491 ; 5.557 ; 6.725 ; 3.804 ; 2.880 ; 2.590 ;
Outubro; 14.435 ; 14.335 ; 16.967 ; 13.436 ; 17.014 ; 15.440 ; 14.730 ; 27.396 ; 29.705 ; 30.441 ; 20.746 ; 10.306 ; 11.361 ; 9.288 ; 9.793 ; 15.805 ; 4.769 ; 5.010 ; 7.755 ; 4.282 ; 3.145 ; 2.315 ;
Novembro; 15.899 ; 13.714 ; 12.724 ; 12.715 ; 15.240 ; 16.905 ; 15.283 ; 28.100 ; 31.130 ; 20.478 ; 18.147 ; 10.517 ; 10.285 ; 9.041 ; 11.418 ; 10.257 ; 4.267 ; 6.237 ; 6.452 ; 4.639 ; 2.814 ; 2.273 ;
Dezembro; 16.167 ; 14.709 ; 15.027 ; 15.711 ; 18.075 ; 19.189 ; 18.452 ; 24.257 ; 41.162 ; 25.734 ; 20.878 ; 11.672 ; 10.643 ; 12.656 ; 13.496 ; 12.158 ; 5.602 ; 6.289 ; 5.821 ; 5.299 ; 3.912 ; 2.518 ;
