Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 143 ; 163 ; 79 ; 75 ; 49 ; 44 ; 119 ; 196 ; 197 ; 235 ; 259 ; 223 ; 137 ; 156 ; 142 ; 222 ; 142 ; 106 ; 157 ; 81 ; 157 ; 177 ; 146 
Fevereiro; 128 ; 126 ; 85 ; 44 ; 45 ; 35 ; 100 ; 124 ; 203 ; 219 ; 251 ; 228 ; 182 ; 217 ; 126 ; 232 ; 135 ; 49 ; 140 ; 66 ; 129 ; 215 ; 118 
Março; 142 ; 121 ; 79 ; 81 ; 49 ; 30 ; 88 ; 235 ; 206 ; 245 ; 254 ; 200 ; 115 ; 133 ; 108 ; 305 ; 135 ; 59 ; 136 ; 90 ; 99 ; 291 ; 223 
Abril; 137 ; 138 ; 79 ; 35 ; 59 ; 44 ; 41 ; 280 ; 206 ; 224 ; 228 ; 224 ; 146 ; 201 ; 88 ; 209 ; 132 ; 71 ; 158 ; 183 ; 60 ; 277 ; 210 
Maio; 151 ; 115 ; 94 ; 55 ; 64 ; 65 ; 81 ; 164 ; 249 ; 251 ; 213 ; 196 ; 158 ; 148 ; 124 ; 201 ; 137 ; 68 ; 169 ; 218 ; 42 ; 271 ; 274 
Junho; 40 ; 126 ; 79 ; 40 ; 49 ; 35 ; 113 ; 101 ; 240 ; 236 ; 198 ; 381 ; 131 ; 143 ; 129 ; 246 ; 124 ; 88 ; 213 ; 147 ; 103 ; 260 ; 256 
Julho; 134 ; 122 ; 84 ; 35 ; 39 ; 40 ; 86 ; 127 ; 272 ; 247 ; 220 ; 154 ; 132 ; 183 ; 133 ; 237 ; 94 ; 114 ; 164 ; 143 ; 106 ; 205 ;
Agosto; 177 ; 86 ; 111 ; 60 ; 64 ; 57 ; 106 ; 180 ; 175 ; 240 ; 215 ; 162 ; 133 ; 113 ; 112 ; 217 ; 111 ; 51 ; 129 ; 133 ; 120 ; 198 ;
Setembro; 160 ; 96 ; 70 ; 49 ; 35 ; 80 ; 108 ; 173 ; 304 ; 285 ; 245 ; 133 ; 222 ; 119 ; 151 ; 237 ; 99 ; 61 ; 206 ; 132 ; 176 ; 159 ;
Outubro; 136 ; 97 ; 85 ; 50 ; 40 ; 70 ; 149 ; 177 ; 258 ; 228 ; 167 ; 195 ; 185 ; 138 ; 282 ; 314 ; 101 ; 87 ; 190 ; 166 ; 177 ; 191 ;
Novembro; 133 ; 83 ; 75 ; -   ; 45 ; 84 ; 131 ; 241 ; 239 ; 245 ; 229 ; 167 ; 194 ; 120 ; 253 ; 242 ; 122 ; 107 ; 218 ; 139 ; 142 ; 159 ;
Dezembro; 146 ; 97 ; 80 ; 44 ; 40 ; 152 ; 177 ; 259 ; 319 ; 253 ; 277 ; 223 ; 193 ; 150 ; 304 ; 239 ; 115 ; 155 ; 119 ; 166 ; 243 ; 162 ;
