Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 16.070 ; 14.200 ; 12.695 ; 15.186 ; 13.838 ; 13.194 ; 18.181 ; 18.587 ; 27.860 ; 39.863 ; 23.287 ; 17.843 ; 8.453 ; 8.849 ; 12.314 ; 12.602 ; 9.260 ; 5.055 ; 7.799 ; 9.253 ; 9.296 ; 7.857 ; 4.094 
Fevereiro; 15.027 ; 12.191 ; 11.064 ; 11.428 ; 13.422 ; 11.550 ; 14.789 ; 15.524 ; 26.719 ; 37.418 ; 15.291 ; 14.994 ; 8.101 ; 9.092 ; 9.107 ; 15.540 ; 6.335 ; 4.128 ; 5.413 ; 6.211 ; 6.514 ; 8.871 ; 4.044 
Março; 15.420 ; 13.237 ; 11.948 ; 10.876 ; 13.921 ; 13.152 ; 12.448 ; 18.349 ; 27.078 ; 40.337 ; 19.175 ; 11.503 ; 8.224 ; 8.120 ; 7.920 ; 16.274 ; 6.198 ; 5.024 ; 4.789 ; 6.164 ; 5.237 ; 6.799 ; 6.270 
Abril; 16.052 ; 12.171 ; 12.944 ; 12.471 ; 13.998 ; 12.818 ; 11.613 ; 15.985 ; 28.702 ; 42.234 ; 22.540 ; 6.644 ; 7.799 ; 7.043 ; 9.720 ; 13.315 ; 5.808 ; 4.399 ; 5.154 ; 7.341 ; 8.822 ; 6.834 ; 5.564 
Maio; 16.055 ; 13.361 ; 12.929 ; 12.097 ; 14.056 ; 13.524 ; 14.233 ; 15.922 ; 28.448 ; 39.090 ; 23.638 ; 8.958 ; 7.639 ; 7.156 ; 7.225 ; 10.308 ; 6.114 ; 4.296 ; 4.954 ; 7.233 ; 5.360 ; 4.277 ; 4.511 
Junho; 14.066 ; 12.878 ; 12.699 ; 12.103 ; 14.554 ; 13.630 ; 13.907 ; 15.952 ; 27.400 ; 39.770 ; 25.721 ; 9.986 ; 6.947 ; 6.979 ; 6.446 ; 11.331 ; 5.118 ; 4.177 ; 9.471 ; 5.418 ; 5.224 ; 4.141 ; 4.289 
Julho; 16.261 ; 12.744 ; 15.590 ; 15.061 ; 16.245 ; 13.433 ; 15.750 ; 17.454 ; 30.451 ; 48.560 ; 29.040 ; 8.499 ; 7.164 ; 8.350 ; 7.006 ; 13.140 ; 6.187 ; 4.462 ; 8.014 ; 5.489 ; 5.145 ; 4.417 ;
Agosto; 11.918 ; 12.993 ; 13.799 ; 11.389 ; 13.410 ; 14.489 ; 16.173 ; 20.337 ; 30.201 ; 46.224 ; 29.556 ; 9.285 ; 7.880 ; 8.277 ; 7.519 ; 13.346 ; 6.565 ; 5.698 ; 8.379 ; 4.919 ; 5.129 ; 4.273 ;
Setembro; 14.951 ; 11.014 ; 14.004 ; 11.434 ; 15.811 ; 15.702 ; 18.027 ; 21.363 ; 33.722 ; 51.937 ; 31.534 ; 8.100 ; 7.095 ; 8.462 ; 8.074 ; 13.968 ; 6.435 ; 6.781 ; 11.875 ; 5.526 ; 6.912 ; 4.661 ;
Outubro; 13.848 ; 13.671 ; 16.854 ; 14.196 ; 14.826 ; 14.453 ; 17.076 ; 26.613 ; 35.653 ; 43.882 ; 26.054 ; 8.570 ; 8.349 ; 9.972 ; 9.013 ; 16.117 ; 5.317 ; 6.644 ; 12.433 ; 7.149 ; 6.511 ; 4.301 ;
Novembro; 13.961 ; 13.749 ; 13.459 ; 12.367 ; 13.612 ; 16.529 ; 18.211 ; 26.971 ; 35.758 ; 31.930 ; 21.008 ; 8.570 ; 7.738 ; 15.787 ; 10.317 ; 10.476 ; 5.002 ; 7.562 ; 9.502 ; 6.889 ; 6.043 ; 3.588 ;
Dezembro; 14.550 ; 14.434 ; 16.040 ; 16.396 ; 16.179 ; 22.799 ; 22.650 ; 29.339 ; 44.167 ; 37.406 ; 23.749 ; 10.128 ; 9.275 ; 12.408 ; 13.112 ; 10.716 ; 6.528 ; 9.159 ; 8.521 ; 9.963 ; 7.190 ; 4.439 ;
