Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 187.685 ; 128.141 ; 117.060 ; 127.924 ; 174.188 ; 177.653 ; 277.456 ; 387.144 ; 530.547 ; 633.104 ; 511.032 ; 638.352 ; 439.595 ; 495.533 ; 610.431 ; 711.871 ; 642.620 ; 503.108 ; 711.387 ; 953.757 ; 977.533 ; 867.826 ; 489.391 
Fevereiro; 180.934 ; 115.759 ; 109.904 ; 98.273 ; 166.462 ; 167.570 ; 281.969 ; 364.149 ; 532.679 ; 617.721 ; 465.377 ; 665.082 ; 487.041 ; 499.562 ; 607.368 ; 698.570 ; 642.490 ; 516.231 ; 661.307 ; 901.277 ; 934.391 ; 827.624 ; 591.055 
Março; 170.812 ; 129.912 ; 120.822 ; 98.421 ; 204.315 ; 178.347 ; 257.521 ; 430.524 ; 558.020 ; 700.520 ; 644.552 ; 425.559 ; 532.639 ; 492.402 ; 553.071 ; 800.382 ; 652.435 ; 601.418 ; 747.227 ; 912.347 ; 794.070 ; 780.068 ; 748.966 
Abril; 181.198 ; 112.992 ; 150.681 ; 100.306 ; 192.916 ; 179.719 ; 245.872 ; 404.925 ; 589.464 ; 737.570 ; 697.390 ; 298.335 ; 482.637 ; 490.833 ; 586.983 ; 805.151 ; 681.714 ; 591.644 ; 698.660 ; 947.254 ; 652.730 ; 774.508 ; 676.098 
Maio; 189.448 ; 116.332 ; 149.566 ; 105.659 ; 208.096 ; 190.541 ; 300.793 ; 423.982 ; 580.873 ; 687.716 ; 751.664 ; 545.086 ; 498.002 ; 497.309 ; 586.641 ; 767.400 ; 767.933 ; 626.202 ; 709.072 ; 977.517 ; 686.326 ; 777.229 ; 637.547 
Junho; 166.698 ; 114.143 ; 151.638 ; 87.599 ; 198.979 ; 193.650 ; 304.626 ; 433.100 ; 570.126 ; 715.570 ; 743.879 ; 646.786 ; 439.833 ; 515.030 ; 560.580 ; 786.020 ; 722.291 ; 630.409 ; 758.689 ; 894.082 ; 717.123 ; 649.798 ; 671.880 
Julho; 155.771 ; 113.152 ; 159.304 ; 107.448 ; 212.862 ; 189.346 ; 317.084 ; 453.207 ; 599.724 ; 726.088 ; 765.862 ; 594.506 ; 443.502 ; 540.042 ; 596.438 ; 797.611 ; 751.982 ; 621.770 ; 828.072 ; 952.219 ; 818.279 ; 703.889 ;
Agosto; 135.219 ; 116.811 ; 157.027 ; 106.937 ; 170.048 ; 211.019 ; 333.676 ; 493.069 ; 627.610 ; 724.844 ; 754.246 ; 619.380 ; 474.612 ; 588.497 ; 622.960 ; 821.787 ; 782.392 ; 680.184 ; 941.760 ; 978.785 ; 828.867 ; 667.095 ;
Setembro; 131.356 ; 112.398 ; 165.622 ; 112.227 ; 190.082 ; 232.164 ; 346.616 ; 469.894 ; 663.033 ; 761.222 ; 764.545 ; 507.933 ; 480.530 ; 593.143 ; 649.508 ; 841.228 ; 784.989 ; 707.130 ; 885.616 ; 977.898 ; 885.847 ; 647.261 ;
Outubro; 142.420 ; 126.382 ; 182.121 ; 143.751 ; 195.640 ; 213.787 ; 343.433 ; 563.464 ; 658.867 ; 787.766 ; 733.748 ; 533.662 ; 532.642 ; 644.874 ; 720.267 ; 884.190 ; 695.073 ; 749.960 ; 1.008.272 ; 1.076.486 ; 967.739 ; 645.283 ;
Novembro; 139.590 ; 112.928 ; 126.286 ; 132.085 ; 191.691 ; 218.715 ; 344.345 ; 539.423 ; 625.071 ; 698.273 ; 749.601 ; 501.730 ; 525.077 ; 629.496 ; 686.151 ; 731.859 ; 581.390 ; 696.733 ; 966.350 ; 1.024.535 ; 881.618 ; 514.389 ;
Dezembro; 140.305 ; 124.893 ; 141.588 ; 211.665 ; 221.263 ; 248.241 ; 390.286 ; 582.239 ; 715.238 ; 819.605 ; 792.360 ; 513.896 ; 498.349 ; 670.034 ; 796.195 ; 809.991 ; 651.161 ; 763.327 ; 1.040.349 ; 1.077.622 ; 995.166 ; 620.310 ;
