UN. DA FEDERAÇÃO;TOCANTINS;;;;;;;;;;;;;;;;;;;;;;
PRODUTO;ETANOL HIDRATADO (m3);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;;;
Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 1.375 ; 1.194 ; 937 ; 1.167 ; 1.084 ; 1.032 ; 1.561 ; 1.771 ; 3.558 ; 4.826 ; 3.072 ; 4.433 ; 2.354 ; 2.801 ; 3.304 ; 3.704 ; 3.485 ; 1.447 ; 2.225 ; 2.838 ; 3.518 ; 4.042 ; 1.879 
Fevereiro; 1.200 ; 1.026 ; 734 ; 1.027 ; 1.134 ; 817 ; 1.187 ; 1.422 ; 3.615 ; 4.115 ; 2.319 ; 3.217 ; 2.061 ; 3.052 ; 2.785 ; 4.260 ; 3.007 ; 1.282 ; 1.818 ; 2.274 ; 2.847 ; 4.082 ; 1.747 
Março; 1.278 ; 1.038 ; 902 ; 935 ; 1.135 ; 941 ; 751 ; 1.546 ; 3.543 ; 5.399 ; 2.997 ; 1.820 ; 2.092 ; 3.002 ; 2.516 ; 4.542 ; 2.439 ; 1.262 ; 1.909 ; 2.266 ; 2.489 ; 3.953 ; 3.161 
Abril; 1.323 ; 1.044 ; 1.013 ; 759 ; 1.041 ; 1.035 ; 669 ; 1.540 ; 3.919 ; 5.345 ; 3.908 ; 1.279 ; 1.931 ; 2.662 ; 2.471 ; 4.540 ; 2.469 ; 924 ; 1.653 ; 2.286 ; 1.824 ; 2.916 ; 2.859 
Maio; 1.377 ; 1.068 ; 1.028 ; 904 ; 994 ; 944 ; 929 ; 1.761 ; 4.189 ; 5.323 ; 4.867 ; 2.841 ; 2.273 ; 2.504 ; 2.525 ; 4.367 ; 2.603 ; 1.169 ; 1.645 ; 2.422 ; 1.856 ; 2.456 ; 2.267 
Junho; 1.234 ; 1.038 ; 992 ; 875 ; 1.110 ; 1.042 ; 844 ; 2.070 ; 4.439 ; 5.724 ; 5.392 ; 3.730 ; 2.276 ; 2.585 ; 2.546 ; 4.663 ; 2.866 ; 832 ; 2.801 ; 2.392 ; 3.129 ; 1.634 ; 2.555 
Julho; 1.582 ; 1.189 ; 1.338 ; 1.172 ; 1.221 ; 1.095 ; 1.206 ; 3.138 ; 5.853 ; 6.761 ; 6.803 ; 4.294 ; 2.628 ; 3.523 ; 3.381 ; 5.509 ; 3.215 ; 1.255 ; 3.222 ; 2.955 ; 3.435 ; 1.849 ;
Agosto; 1.543 ; 1.127 ; 1.187 ; 992 ; 1.045 ; 1.070 ; 1.216 ; 3.269 ; 4.880 ; 6.029 ; 6.866 ; 3.778 ; 2.449 ; 2.906 ; 2.835 ; 4.808 ; 2.918 ; 1.487 ; 3.469 ; 2.615 ; 3.287 ; 1.930 ;
Setembro; 1.428 ; 944 ; 1.176 ; 1.032 ; 1.000 ; 1.244 ; 1.290 ; 3.487 ; 5.543 ; 6.718 ; 6.569 ; 3.489 ; 2.309 ; 3.051 ; 2.928 ; 4.897 ; 2.345 ; 1.623 ; 3.936 ; 2.453 ; 3.831 ; 1.956 ;
Outubro; 1.025 ; 983 ; 1.374 ; 1.050 ; 1.047 ; 1.238 ; 1.381 ; 3.930 ; 5.556 ; 6.783 ; 5.967 ; 3.526 ; 2.769 ; 3.211 ; 2.981 ; 6.177 ; 1.976 ; 1.481 ; 4.833 ; 2.878 ; 4.074 ; 1.939 ;
Novembro; 973 ; 884 ; 1.049 ; 1.015 ; 1.078 ; 1.367 ; 1.379 ; 3.792 ; 4.643 ; 5.678 ; 5.309 ; 2.603 ; 2.506 ; 2.966 ; 2.927 ; 4.571 ; 1.678 ; 1.850 ; 3.807 ; 3.440 ; 3.488 ; 2.268 ;
Dezembro; 1.144 ; 1.017 ; 1.315 ; 1.243 ; 1.203 ; 1.776 ; 1.747 ; 4.031 ; 6.041 ; 7.007 ; 6.389 ; 2.462 ; 2.235 ; 3.511 ; 4.088 ; 4.656 ; 1.666 ; 2.278 ; 2.802 ; 4.396 ; 4.450 ; 2.347 ;
