Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 3.456 ; 3.481 ; 3.941 ; 4.196 ; 4.363 ; 4.424 ; 4.999 ; 5.407 ; 6.125 ; 6.251 ; 6.743 ; 7.689 ; 9.544 ; 10.361 ; 11.952 ; 12.628 ; 11.189 ; 11.820 ; 12.039 ; 12.868 ; 13.648 ; 15.016 ; 13.836 
Fevereiro; 4.092 ; 3.208 ; 3.646 ; 3.632 ; 4.062 ; 3.907 ; 4.564 ; 5.003 ; 5.744 ; 6.198 ; 6.830 ; 7.721 ; 9.342 ; 9.765 ; 11.257 ; 11.677 ; 11.310 ; 11.130 ; 11.697 ; 12.218 ; 13.538 ; 13.453 ; 14.558 
Março; 3.396 ; 3.801 ; 3.757 ; 3.494 ; 4.667 ; 4.870 ; 4.930 ; 5.829 ; 6.178 ; 6.928 ; 8.462 ; 8.883 ; 9.961 ; 10.432 ; 11.299 ; 12.443 ; 12.656 ; 12.627 ; 13.197 ; 13.593 ; 12.720 ; 14.854 ; 15.605 
Abril; 3.614 ; 3.626 ; 4.152 ; 4.086 ; 4.844 ; 4.498 ; 4.747 ; 5.465 ; 6.426 ; 7.051 ; 7.880 ; 8.538 ; 9.782 ; 11.176 ; 12.294 ; 12.539 ; 12.306 ; 12.077 ; 12.773 ; 13.621 ; 11.492 ; 14.167 ; 15.280 
Maio; 3.533 ; 3.726 ; 4.033 ; 4.286 ; 4.554 ; 5.020 ; 5.220 ; 5.957 ; 6.487 ; 6.647 ; 7.997 ; 8.922 ; 10.310 ; 11.469 ; 12.954 ; 12.399 ; 12.527 ; 13.299 ; 12.933 ; 14.083 ; 10.019 ; 15.675 ; 16.292 
Junho; 4.387 ; 3.762 ; 3.848 ; 4.270 ; 4.594 ; 4.922 ; 5.005 ; 5.711 ; 6.548 ; 6.965 ; 7.876 ; 8.963 ; 10.667 ; 10.790 ; 11.952 ; 12.999 ; 12.528 ; 13.054 ; 12.643 ; 13.367 ; 12.922 ; 16.145 ; 15.596 
Julho; 3.541 ; 3.862 ; 4.192 ; 4.390 ; 4.959 ; 4.622 ; 5.171 ; 5.891 ; 6.998 ; 7.426 ; 8.197 ; 9.163 ; 10.469 ; 11.635 ; 12.920 ; 12.970 ; 12.489 ; 12.920 ; 12.486 ; 14.516 ; 14.633 ; 17.118 ;
Agosto; 4.097 ; 4.077 ; 4.555 ; 4.431 ; 5.041 ; 5.253 ; 6.361 ; 6.770 ; 7.311 ; 7.291 ; 8.949 ; 10.179 ; 11.873 ; 12.507 ; 14.054 ; 13.202 ; 13.437 ; 13.693 ; 14.405 ; 15.418 ; 16.228 ; 16.956 ;
Setembro; 4.374 ; 3.754 ; 4.453 ; 4.784 ; 5.336 ; 5.186 ; 6.296 ; 6.161 ; 8.026 ; 7.406 ; 9.347 ; 9.840 ; 11.125 ; 11.781 ; 14.277 ; 13.349 ; 13.559 ; 13.391 ; 13.787 ; 14.361 ; 16.468 ; 16.463 ;
Outubro; 3.918 ; 4.032 ; 5.158 ; 4.916 ; 4.666 ; 4.629 ; 5.729 ; 6.817 ; 7.832 ; 8.131 ; 9.069 ; 9.580 ; 12.168 ; 12.845 ; 14.568 ; 13.376 ; 13.045 ; 13.381 ; 14.644 ; 15.373 ; 17.965 ; 17.080 ;
Novembro; 3.780 ; 3.886 ; 4.229 ; 4.185 ; 4.680 ; 5.365 ; 5.699 ; 6.568 ; 6.792 ; 7.317 ; 8.507 ; 9.763 ; 10.719 ; 11.984 ; 12.653 ; 12.079 ; 13.015 ; 13.299 ; 13.325 ; 14.836 ; 15.575 ; 16.006 ;
Dezembro; 4.068 ; 3.990 ; 4.598 ; 5.168 ; 5.336 ; 5.213 ; 5.924 ; 6.762 ; 8.044 ; 8.394 ; 9.540 ; 10.275 ; 12.023 ; 13.155 ; 14.238 ; 14.092 ; 13.477 ; 14.040 ; 14.082 ; 15.821 ; 18.140 ; 17.424 ;
