Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 17.616 ; 18.643 ; 21.726 ; 22.164 ; 22.360 ; 22.692 ; 23.874 ; 26.138 ; 28.971 ; 29.247 ; 32.799 ; 36.112 ; 41.534 ; 44.088 ; 47.001 ; 50.421 ; 47.330 ; 46.576 ; 45.812 ; 50.674 ; 50.449 ; 39.411 ; 45.023 
Fevereiro; 20.258 ; 18.332 ; 19.241 ; 18.129 ; 21.919 ; 22.127 ; 24.049 ; 26.224 ; 27.846 ; 28.728 ; 32.072 ; 36.761 ; 42.106 ; 41.960 ; 46.241 ; 43.948 ; 49.098 ; 47.169 ; 44.717 ; 50.323 ; 47.496 ; 38.641 ; 49.142 
Março; 18.741 ; 20.282 ; 21.117 ; 20.132 ; 24.570 ; 25.487 ; 27.170 ; 29.903 ; 29.935 ; 31.636 ; 39.450 ; 42.562 ; 46.844 ; 47.560 ; 50.479 ; 49.900 ; 52.027 ; 54.133 ; 54.924 ; 56.023 ; 44.915 ; 45.062 ; 46.895 
Abril; 19.604 ; 19.375 ; 21.745 ; 21.023 ; 25.543 ; 24.165 ; 25.596 ; 27.997 ; 30.919 ; 32.835 ; 36.629 ; 40.187 ; 46.240 ; 49.959 ; 50.960 ; 51.376 ; 52.760 ; 50.436 ; 51.905 ; 53.955 ; 33.251 ; 50.797 ; 48.783 
Maio; 20.222 ; 21.368 ; 21.843 ; 22.978 ; 24.055 ; 26.067 ; 27.765 ; 29.776 ; 32.306 ; 32.796 ; 38.091 ; 43.273 ; 47.362 ; 49.926 ; 52.444 ; 49.846 ; 52.669 ; 58.526 ; 50.646 ; 55.942 ; 41.028 ; 53.035 ; 48.590 
Junho; 20.793 ; 20.798 ; 21.313 ; 21.799 ; 24.853 ; 20.475 ; 27.279 ; 29.892 ; 31.496 ; 32.549 ; 37.776 ; 45.462 ; 46.654 ; 47.217 ; 48.736 ; 50.611 ; 52.460 ; 57.601 ; 51.105 ; 48.456 ; 48.400 ; 55.311 ; 49.823 
Julho; 19.913 ; 20.175 ; 21.506 ; 23.168 ; 25.590 ; 25.867 ; 26.617 ; 28.426 ; 33.172 ; 36.600 ; 39.365 ; 44.450 ; 46.804 ; 49.608 ; 52.427 ; 52.786 ; 54.681 ; 55.391 ; 50.516 ; 52.704 ; 60.530 ; 56.444 ;
Agosto; 21.869 ; 21.983 ; 24.258 ; 23.330 ; 25.918 ; 28.926 ; 30.515 ; 32.633 ; 35.087 ; 34.898 ; 41.500 ; 49.083 ; 51.933 ; 54.300 ; 54.855 ; 55.139 ; 54.695 ; 58.880 ; 56.507 ; 59.865 ; 59.479 ; 54.893 ;
Setembro; 21.146 ; 20.174 ; 22.331 ; 23.135 ; 26.681 ; 26.615 ; 29.981 ; 28.775 ; 34.287 ; 34.792 ; 43.507 ; 44.711 ; 48.311 ; 49.789 ; 57.081 ; 54.942 ; 55.011 ; 52.920 ; 50.340 ; 54.519 ; 58.872 ; 53.741 ;
Outubro; 20.633 ; 22.764 ; 24.780 ; 25.595 ; 26.267 ; 26.145 ; 29.613 ; 32.351 ; 36.993 ; 37.502 ; 41.563 ; 44.784 ; 53.450 ; 53.785 ; 58.157 ; 55.215 ; 54.947 ; 53.306 ; 51.969 ; 56.010 ; 61.833 ; 55.385 ;
Novembro; 20.767 ; 22.000 ; 22.624 ; 23.196 ; 26.266 ; 25.497 ; 29.330 ; 29.978 ; 31.345 ; 33.557 ; 41.034 ; 45.144 ; 48.398 ; 49.986 ; 51.279 ; 48.352 ; 53.025 ; 51.684 ; 48.223 ; 53.389 ; 57.806 ; 49.723 ;
Dezembro; 21.181 ; 20.212 ; 23.257 ; 26.670 ; 27.356 ; 28.805 ; 30.273 ; 32.209 ; 36.196 ; 38.171 ; 44.902 ; 48.828 ; 49.760 ; 52.572 ; 57.696 ; 54.667 ; 55.468 ; 57.806 ; 57.517 ; 55.880 ; 61.887 ; 55.792 ;
