UN. DA FEDERAÇÃO;CEARÁ;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 38.493 ; 38.692 ; 43.058 ; 42.445 ; 39.884 ; 41.711 ; 43.037 ; 46.744 ; 49.694 ; 54.379 ; 63.146 ; 69.589 ; 88.590 ; 103.317 ; 112.137 ; 123.979 ; 109.337 ; 114.600 ; 114.184 ; 115.375 ; 116.504 
Fevereiro; 40.179 ; 34.992 ; 37.095 ; 35.142 ; 36.216 ; 38.892 ; 40.440 ; 40.994 ; 44.870 ; 47.533 ; 60.043 ; 66.542 ; 82.076 ; 85.899 ; 101.941 ; 99.017 ; 109.392 ; 104.204 ; 100.749 ; 106.859 ; 108.888 
Março; 37.092 ; 37.412 ; 37.960 ; 33.598 ; 40.410 ; 40.865 ; 41.269 ; 44.943 ; 46.315 ; 50.296 ; 71.746 ; 75.999 ; 87.748 ; 94.727 ; 102.629 ; 107.960 ; 113.422 ; 116.851 ; 115.404 ; 106.427 ; 91.556 
Abril; 36.848 ; 36.351 ; 38.803 ; 35.204 ; 42.523 ; 39.812 ; 41.593 ; 43.079 ; 46.974 ; 52.088 ; 66.058 ; 73.984 ; 85.718 ; 98.824 ; 109.989 ; 111.545 ; 110.386 ; 109.365 ; 108.259 ; 112.709 ; 77.231 
Maio; 39.146 ; 39.006 ; 38.394 ; 38.912 ; 39.513 ; 41.215 ; 43.526 ; 45.232 ; 48.664 ; 49.747 ; 64.986 ; 74.323 ; 90.826 ; 99.074 ; 109.960 ; 106.849 ; 112.098 ; 117.723 ; 109.693 ; 114.442 ; 76.498 
Junho; 41.110 ; 38.934 ; 37.434 ; 38.485 ; 38.593 ; 42.903 ; 41.952 ; 45.108 ; 47.354 ; 53.413 ; 64.631 ; 76.624 ; 90.395 ; 94.835 ; 104.925 ; 110.745 ; 110.535 ; 116.638 ; 103.417 ; 107.523 ; 93.113 
Julho; 38.989 ; 39.219 ; 41.269 ; 42.148 ; 45.059 ; 42.955 ; 43.689 ; 46.670 ; 53.085 ; 57.772 ; 68.997 ; 78.710 ; 95.296 ; 102.861 ; 112.925 ; 113.019 ; 114.459 ; 114.279 ; 107.497 ; 120.385 ; 109.004 
Agosto; 39.540 ; 39.331 ; 40.938 ; 39.119 ; 43.165 ; 44.724 ; 47.238 ; 47.342 ; 53.757 ; 53.995 ; 68.558 ; 83.862 ; 98.990 ; 105.601 ; 112.551 ; 107.867 ; 117.855 ; 118.857 ; 115.257 ; 116.875 ; 108.703 
Setembro; 41.028 ; 38.330 ; 41.451 ; 40.229 ; 45.390 ; 42.342 ; 47.369 ; 44.140 ; 56.795 ; 57.035 ; 70.729 ; 83.475 ; 94.563 ; 101.329 ; 116.849 ; 111.825 ; 119.675 ; 111.509 ; 104.927 ; 113.967 ; 116.691 
Outubro; 39.413 ; 39.043 ; 44.943 ; 42.602 ; 44.363 ; 41.955 ; 45.943 ; 48.480 ; 57.386 ; 62.252 ; 70.350 ; 80.765 ; 106.972 ; 108.752 ; 124.003 ; 115.354 ; 116.487 ; 118.243 ; 117.843 ; 122.344 ;
Novembro; 38.923 ; 37.528 ; 37.291 ; 38.778 ; 40.536 ; 41.939 ; 44.868 ; 48.690 ; 50.380 ; 56.669 ; 71.507 ; 83.879 ; 96.266 ; 105.814 ; 111.574 ; 103.210 ; 113.695 ; 112.991 ; 109.811 ; 120.080 ;
Dezembro; 40.867 ; 39.836 ; 46.040 ; 49.613 ; 47.617 ; 49.863 ; 49.645 ; 51.163 ; 60.265 ; 70.729 ; 79.417 ; 95.578 ; 103.330 ; 115.302 ; 129.194 ; 120.025 ; 124.835 ; 126.379 ; 122.728 ; 128.274 ;
Total do Ano; 471.628 ; 458.676 ; 484.676 ; 476.276 ; 503.269 ; 509.175 ; 530.568 ; 552.585 ; 615.540 ; 665.908 ; 820.165 ; 943.328 ; 1.120.768 ; 1.216.335 ; 1.348.677 ; 1.331.394 ; 1.372.176 ; 1.381.639 ; 1.329.769 ; 1.385.260 ; 898.187 
