Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 39.258 ; 43.521 ; 45.462 ; 46.093 ; 47.059 ; 50.112 ; 52.252 ; 57.156 ; 55.540 ; 54.376 ; 62.390 ; 66.866 ; 75.651 ; 81.218 ; 86.100 ; 89.941 ; 79.615 ; 98.114 ; 91.290 ; 87.199 ; 88.126 ; 78.499 ; 75.218 
Fevereiro; 49.570 ; 45.959 ; 46.633 ; 46.795 ; 48.641 ; 51.758 ; 55.474 ; 56.197 ; 57.386 ; 56.039 ; 69.977 ; 76.109 ; 81.323 ; 77.177 ; 91.652 ; 79.576 ; 88.534 ; 98.780 ; 89.551 ; 90.285 ; 93.967 ; 66.299 ; 81.352 
Março; 48.423 ; 53.414 ; 54.800 ; 46.541 ; 60.297 ; 63.409 ; 64.741 ; 69.736 ; 67.367 ; 64.673 ; 86.663 ; 83.453 ; 93.703 ; 93.268 ; 96.200 ; 94.583 ; 101.570 ; 115.341 ; 111.130 ; 95.555 ; 78.579 ; 72.622 ; 83.595 
Abril; 48.553 ; 51.835 ; 54.942 ; 52.070 ; 60.319 ; 60.724 ; 59.830 ; 62.922 ; 63.176 ; 64.076 ; 72.740 ; 84.805 ; 87.770 ; 95.930 ; 100.158 ; 93.806 ; 97.428 ; 105.560 ; 101.125 ; 93.018 ; 60.538 ; 73.833 ; 83.010 
Maio; 51.085 ; 54.050 ; 55.629 ; 56.324 ; 57.219 ; 60.511 ; 64.139 ; 64.469 ; 65.840 ; 61.560 ; 74.775 ; 85.729 ; 93.358 ; 96.250 ; 102.042 ; 93.645 ; 97.518 ; 112.863 ; 89.603 ; 93.025 ; 70.625 ; 81.662 ; 87.885 
Junho; 53.139 ; 52.915 ; 50.992 ; 51.038 ; 57.514 ; 62.077 ; 64.227 ; 60.931 ; 64.422 ; 62.927 ; 74.439 ; 83.615 ; 93.944 ; 92.163 ; 90.781 ; 95.541 ; 98.239 ; 112.919 ; 95.077 ; 89.222 ; 66.180 ; 82.909 ; 79.556 
Julho; 47.297 ; 49.014 ; 51.865 ; 54.267 ; 59.140 ; 57.163 ; 57.434 ; 56.807 ; 63.364 ; 63.006 ; 72.268 ; 79.784 ; 84.649 ; 94.351 ; 96.760 ; 92.610 ; 95.397 ; 106.479 ; 83.732 ; 93.639 ; 73.559 ; 89.129 ;
Agosto; 51.707 ; 56.156 ; 57.276 ; 53.814 ; 59.833 ; 63.589 ; 63.548 ; 63.114 ; 67.460 ; 62.451 ; 76.170 ; 89.360 ; 95.156 ; 100.567 ; 100.006 ; 94.939 ; 105.040 ; 111.240 ; 88.787 ; 98.842 ; 76.608 ; 83.759 ;
Setembro; 49.502 ; 48.607 ; 54.491 ; 57.062 ; 61.217 ; 62.205 ; 64.237 ; 56.514 ; 68.393 ; 64.321 ; 75.123 ; 87.799 ; 87.575 ; 94.218 ; 103.402 ; 95.743 ; 104.076 ; 98.380 ; 74.733 ; 93.641 ; 77.127 ; 85.518 ;
Outubro; 52.617 ; 51.938 ; 59.702 ; 59.741 ; 60.630 ; 58.297 ; 64.585 ; 59.613 ; 70.523 ; 68.868 ; 76.461 ; 86.224 ; 96.398 ; 100.875 ; 105.924 ; 98.220 ; 107.783 ; 100.857 ; 79.114 ; 94.780 ; 84.383 ; 90.481 ;
Novembro; 49.398 ; 50.345 ; 54.538 ; 54.344 ; 60.075 ; 57.547 ; 60.771 ; 59.036 ; 62.338 ; 66.068 ; 75.678 ; 87.055 ; 94.140 ; 98.506 ; 96.621 ; 91.369 ; 108.057 ; 99.778 ; 86.182 ; 96.496 ; 81.774 ; 84.254 ;
Dezembro; 52.840 ; 50.949 ; 58.227 ; 61.280 ; 64.240 ; 63.114 ; 64.777 ; 65.195 ; 67.280 ; 73.306 ; 82.884 ; 91.219 ; 95.411 ; 98.541 ; 102.784 ; 102.296 ; 116.333 ; 105.812 ; 100.467 ; 97.413 ; 95.160 ; 96.351 ;
