Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 43.745 ; 37.495 ; 55.196 ; 40.158 ; 43.380 ; 37.292 ; 38.047 ; 40.343 ; 42.776 ; 40.858 ; 54.284 ; 57.484 ; 65.088 ; 72.291 ; 80.106 ; 86.528 ; 77.426 ; 83.991 ; 83.603 ; 80.158 ; 79.180 ; 86.649 ; 87.556 
Fevereiro; 45.926 ; 32.257 ; 41.223 ; 30.908 ; 35.755 ; 33.883 ; 37.385 ; 37.610 ; 38.854 ; 38.992 ; 49.770 ; 54.787 ; 64.764 ; 66.003 ; 74.116 ; 69.426 ; 76.882 ; 67.364 ; 72.279 ; 73.981 ; 78.788 ; 73.426 ; 83.451 
Março; 42.766 ; 35.325 ; 43.056 ; 31.136 ; 32.657 ; 37.116 ; 38.646 ; 39.241 ; 38.327 ; 40.031 ; 54.212 ; 60.345 ; 68.738 ; 70.527 ; 74.001 ; 75.556 ; 81.116 ; 82.734 ; 83.642 ; 77.407 ; 66.078 ; 80.843 ; 84.644 
Abril; 48.544 ; 35.998 ; 36.130 ; 35.599 ; 34.560 ; 34.832 ; 35.526 ; 37.832 ; 40.761 ; 41.026 ; 51.567 ; 56.158 ; 65.367 ; 68.215 ; 78.148 ; 77.293 ; 77.538 ; 75.586 ; 75.360 ; 78.334 ; 58.606 ; 78.033 ; 80.229 
Maio; 52.672 ; 35.261 ; 32.442 ; 33.420 ; 30.256 ; 34.973 ; 37.386 ; 38.716 ; 38.892 ; 38.421 ; 48.892 ; 56.660 ; 64.515 ; 72.895 ; 75.291 ; 71.435 ; 76.102 ; 77.105 ; 73.056 ; 74.819 ; 63.851 ; 86.273 ; 84.696 
Junho; 58.173 ; 37.667 ; 29.136 ; 32.276 ; 31.255 ; 35.414 ; 36.038 ; 38.610 ; 37.738 ; 40.171 ; 48.761 ; 56.992 ; 65.853 ; 67.324 ; 72.198 ; 73.939 ; 74.357 ; 78.729 ; 69.072 ; 71.919 ; 65.121 ; 91.539 ; 76.798 
Julho; 33.077 ; 37.366 ; 33.973 ; 42.241 ; 32.908 ; 35.147 ; 37.609 ; 39.012 ; 41.442 ; 44.155 ; 51.740 ; 58.801 ; 68.186 ; 72.508 ; 75.713 ; 77.349 ; 76.186 ; 75.906 ; 73.087 ; 78.316 ; 74.117 ; 92.476 ;
Agosto; 32.312 ; 36.569 ; 37.937 ; 36.112 ; 34.014 ; 37.010 ; 38.435 ; 41.251 ; 39.432 ; 39.685 ; 52.076 ; 62.284 ; 70.742 ; 74.270 ; 75.090 ; 72.448 ; 78.967 ; 78.219 ; 75.651 ; 77.130 ; 71.325 ; 88.571 ;
Setembro; 34.426 ; 34.431 ; 33.713 ; 38.906 ; 37.217 ; 35.807 ; 39.572 ; 36.228 ; 41.940 ; 42.367 ; 53.889 ; 63.213 ; 65.317 ; 70.119 ; 79.494 ; 74.507 ; 80.423 ; 74.276 ; 69.291 ; 75.279 ; 81.445 ; 86.658 ;
Outubro; 34.970 ; 36.850 ; 38.017 ; 42.080 ; 36.303 ; 34.018 ; 38.609 ; 42.199 ; 43.573 ; 46.368 ; 52.175 ; 59.063 ; 74.777 ; 75.478 ; 83.841 ; 79.934 ; 78.381 ; 78.866 ; 74.712 ; 81.358 ; 86.719 ; 90.638 ;
Novembro; 33.812 ; 36.759 ; 30.248 ; 37.609 ; 34.145 ; 33.380 ; 38.299 ; 39.402 ; 36.381 ; 43.877 ; 54.467 ; 59.924 ; 66.003 ; 74.086 ; 74.113 ; 72.446 ; 77.448 ; 75.934 ; 73.800 ; 76.356 ; 79.419 ; 83.422 ;
Dezembro; 36.915 ; 42.740 ; 46.132 ; 47.272 ; 39.967 ; 42.305 ; 46.094 ; 44.540 ; 45.176 ; 55.246 ; 66.391 ; 70.041 ; 82.427 ; 78.003 ; 92.823 ; 86.162 ; 92.325 ; 88.852 ; 86.091 ; 87.608 ; 99.620 ; 102.106 ;
