UN. DA FEDERAÇÃO;MARANHÃO;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 16.751 ; 17.436 ; 19.174 ; 20.793 ; 21.681 ; 23.352 ; 24.607 ; 27.414 ; 29.605 ; 31.714 ; 39.108 ; 46.374 ; 57.067 ; 65.177 ; 72.627 ; 78.510 ; 74.327 ; 78.033 ; 80.860 ; 80.594 ; 78.660 
Fevereiro; 17.985 ; 15.344 ; 17.973 ; 16.762 ; 18.984 ; 20.794 ; 22.903 ; 23.308 ; 26.816 ; 28.360 ; 39.922 ; 43.224 ; 54.872 ; 57.671 ; 65.888 ; 66.254 ; 72.755 ; 70.833 ; 70.464 ; 73.970 ; 72.636 
Março; 15.358 ; 17.134 ; 17.947 ; 16.327 ; 21.300 ; 23.365 ; 24.388 ; 26.070 ; 27.459 ; 30.267 ; 46.319 ; 49.367 ; 58.079 ; 63.438 ; 68.369 ; 71.321 ; 78.099 ; 78.735 ; 80.833 ; 74.586 ; 66.425 
Abril; 15.876 ; 16.261 ; 20.640 ; 17.897 ; 22.972 ; 22.297 ; 22.408 ; 25.622 ; 27.577 ; 30.326 ; 41.812 ; 48.839 ; 57.765 ; 64.730 ; 71.608 ; 71.792 ; 72.049 ; 74.665 ; 75.319 ; 77.674 ; 58.602 
Maio; 16.720 ; 17.103 ; 18.956 ; 19.664 ; 20.874 ; 23.335 ; 24.178 ; 26.784 ; 28.588 ; 28.312 ; 40.489 ; 50.272 ; 60.186 ; 64.848 ; 71.219 ; 71.335 ; 75.886 ; 80.917 ; 77.700 ; 77.558 ; 57.803 
Junho; 19.185 ; 17.869 ; 19.041 ; 18.876 ; 22.313 ; 24.186 ; 24.316 ; 26.655 ; 28.757 ; 30.625 ; 39.441 ; 49.954 ; 59.860 ; 63.574 ; 68.793 ; 71.550 ; 74.598 ; 80.011 ; 72.153 ; 72.867 ; 70.110 
Julho; 18.028 ; 17.764 ; 21.848 ; 21.382 ; 23.847 ; 24.702 ; 25.473 ; 28.420 ; 32.881 ; 34.281 ; 43.782 ; 54.159 ; 63.847 ; 68.435 ; 75.313 ; 77.660 ; 76.861 ; 79.860 ; 77.292 ; 82.899 ; 81.590 
Agosto; 18.186 ; 18.494 ; 21.606 ; 20.297 ; 23.507 ; 26.479 ; 27.797 ; 29.412 ; 33.069 ; 32.053 ; 42.358 ; 55.804 ; 68.497 ; 69.595 ; 75.171 ; 74.497 ; 80.849 ; 83.288 ; 81.269 ; 81.296 ; 81.163 
Setembro; 19.684 ; 17.081 ; 21.129 ; 20.789 ; 27.001 ; 25.295 ; 27.951 ; 25.272 ; 35.536 ; 33.249 ; 45.610 ; 55.794 ; 65.957 ; 67.375 ; 76.909 ; 75.674 ; 82.645 ; 80.546 ; 75.154 ; 76.977 ; 85.907 
Outubro; 17.945 ; 18.504 ; 22.953 ; 22.479 ; 23.835 ; 24.259 ; 27.234 ; 29.867 ; 35.344 ; 36.721 ; 44.290 ; 55.129 ; 70.086 ; 71.209 ; 81.821 ; 77.826 ; 77.291 ; 80.952 ; 85.133 ; 82.620 ;
Novembro; 17.644 ; 18.204 ; 18.975 ; 20.402 ; 22.992 ; 23.696 ; 26.156 ; 27.901 ; 29.932 ; 34.131 ; 45.773 ; 55.601 ; 63.663 ; 69.319 ; 73.264 ; 70.652 ; 76.477 ; 79.010 ; 80.843 ; 79.653 ;
Dezembro; 17.731 ; 18.477 ; 21.271 ; 24.500 ; 26.665 ; 27.387 ; 28.940 ; 30.906 ; 36.041 ; 42.294 ; 53.383 ; 64.372 ; 70.885 ; 77.839 ; 86.046 ; 82.869 ; 86.510 ; 88.157 ; 86.338 ; 88.686 ;
Total do Ano; 211.093 ; 209.671 ; 241.512 ; 240.167 ; 275.970 ; 289.146 ; 306.352 ; 327.629 ; 371.605 ; 392.331 ; 522.287 ; 628.889 ; 750.763 ; 803.209 ; 887.026 ; 889.942 ; 928.346 ; 955.006 ; 943.358 ; 949.378 ; 652.896 
