UN. DA FEDERAÇÃO;MATO GROSSO DO SUL;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 22.587 ; 22.856 ; 25.173 ; 24.805 ; 26.384 ; 25.428 ; 25.568 ; 26.524 ; 26.759 ; 28.663 ; 36.747 ; 37.959 ; 48.777 ; 55.449 ; 54.982 ; 61.410 ; 55.500 ; 62.152 ; 57.730 ; 60.805 ; 63.282 
Fevereiro; 24.994 ; 20.969 ; 24.261 ; 21.152 ; 24.469 ; 23.920 ; 24.472 ; 24.129 ; 26.669 ; 27.174 ; 36.644 ; 37.461 ; 48.083 ; 46.936 ; 52.909 ; 47.197 ; 57.322 ; 59.630 ; 55.595 ; 59.466 ; 59.757 
Março; 21.693 ; 23.576 ; 24.746 ; 22.220 ; 27.749 ; 28.320 ; 26.986 ; 28.240 ; 27.857 ; 29.615 ; 42.163 ; 43.923 ; 53.138 ; 54.364 ; 57.094 ; 53.531 ; 63.294 ; 68.031 ; 66.852 ; 63.546 ; 55.223 
Abril; 23.446 ; 23.556 ; 27.146 ; 23.333 ; 28.199 ; 25.934 ; 25.489 ; 27.262 ; 29.051 ; 30.540 ; 37.004 ; 45.658 ; 51.410 ; 55.052 ; 61.179 ; 54.182 ; 62.376 ; 63.062 ; 63.145 ; 65.153 ; 49.794 
Maio; 23.112 ; 23.264 ; 24.691 ; 24.548 ; 26.523 ; 27.199 ; 26.271 ; 27.997 ; 29.255 ; 28.743 ; 35.189 ; 43.674 ; 51.442 ; 55.270 ; 59.242 ; 52.472 ; 58.636 ; 64.736 ; 56.984 ; 62.429 ; 53.307 
Junho; 24.360 ; 24.222 ; 23.267 ; 24.210 ; 26.121 ; 25.762 ; 24.419 ; 26.084 ; 27.818 ; 29.178 ; 35.424 ; 43.827 ; 50.853 ; 52.440 ; 55.103 ; 52.860 ; 57.760 ; 64.282 ; 52.875 ; 57.359 ; 54.491 
Julho; 23.974 ; 23.668 ; 25.308 ; 26.955 ; 29.211 ; 26.798 ; 26.182 ; 27.363 ; 30.296 ; 30.379 ; 37.007 ; 45.480 ; 53.207 ; 55.873 ; 58.883 ; 55.582 ; 60.998 ; 65.892 ; 55.891 ; 62.926 ; 57.106 
Agosto; 23.871 ; 24.992 ; 26.560 ; 25.078 ; 28.562 ; 27.488 ; 28.014 ; 27.805 ; 30.158 ; 29.298 ; 36.149 ; 48.730 ; 55.278 ; 57.758 ; 61.736 ; 53.325 ; 62.812 ; 62.698 ; 59.208 ; 65.239 ; 54.315 
Setembro; 26.478 ; 24.107 ; 25.550 ; 25.831 ; 30.038 ; 27.892 ; 28.614 ; 26.090 ; 32.071 ; 31.095 ; 37.203 ; 49.254 ; 54.431 ; 55.130 ; 64.048 ; 54.369 ; 63.791 ; 64.265 ; 55.442 ; 63.765 ; 59.163 
Outubro; 24.446 ; 23.823 ; 30.192 ; 27.937 ; 28.900 ; 24.706 ; 26.982 ; 28.825 ; 32.973 ; 33.932 ; 36.573 ; 49.174 ; 58.532 ; 59.951 ; 67.965 ; 58.495 ; 64.105 ; 62.589 ; 60.367 ; 68.476 ;
Novembro; 23.412 ; 23.355 ; 23.655 ; 25.115 ; 26.436 ; 25.448 ; 25.839 ; 27.090 ; 28.432 ; 32.711 ; 36.801 ; 48.411 ; 55.045 ; 58.457 ; 56.702 ; 54.712 ; 63.076 ; 61.254 ; 59.232 ; 66.397 ;
Dezembro; 25.815 ; 25.614 ; 29.750 ; 31.168 ; 31.148 ; 29.969 ; 29.873 ; 31.552 ; 35.021 ; 41.208 ; 44.368 ; 58.513 ; 63.058 ; 64.437 ; 67.898 ; 65.619 ; 72.204 ; 68.033 ; 69.365 ; 72.589 ;
Total do Ano; 288.188 ; 284.002 ; 310.299 ; 302.352 ; 333.737 ; 318.863 ; 318.707 ; 328.961 ; 356.358 ; 372.538 ; 451.271 ; 552.065 ; 643.255 ; 671.117 ; 717.740 ; 663.753 ; 741.872 ; 766.623 ; 712.687 ; 768.148 ; 506.437 
