UN. DA FEDERAÇÃO;MINAS GERAIS;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 182.555 ; 187.016 ; 192.500 ; 190.108 ; 197.352 ; 201.591 ; 215.849 ; 224.400 ; 235.886 ; 238.777 ; 291.448 ; 307.279 ; 342.834 ; 374.595 ; 402.885 ; 433.680 ; 353.520 ; 399.167 ; 337.077 ; 273.664 ; 272.577 
Fevereiro; 195.290 ; 181.236 ; 185.711 ; 161.931 ; 184.732 ; 194.439 ; 202.865 ; 212.665 ; 220.923 ; 225.857 ; 281.982 ; 304.050 ; 345.641 ; 338.558 ; 384.144 ; 348.164 ; 363.779 ; 374.515 ; 296.744 ; 255.015 ; 268.271 
Março; 181.880 ; 188.361 ; 185.842 ; 157.197 ; 203.384 ; 216.525 ; 219.810 ; 237.633 ; 232.632 ; 236.642 ; 316.603 ; 345.359 ; 365.930 ; 377.272 ; 391.657 ; 370.247 ; 402.985 ; 418.697 ; 350.115 ; 272.692 ; 243.666 
Abril; 193.519 ; 188.671 ; 193.133 ; 176.727 ; 211.669 ; 211.540 ; 213.519 ; 229.326 ; 241.172 ; 247.280 ; 294.834 ; 341.524 ; 357.143 ; 381.190 ; 423.013 ; 365.154 ; 376.986 ; 388.537 ; 326.570 ; 284.220 ; 213.166 
Maio; 194.328 ; 190.678 ; 194.320 ; 189.635 ; 200.925 ; 213.884 ; 224.399 ; 236.943 ; 242.625 ; 231.611 ; 287.362 ; 327.854 ; 363.597 ; 394.441 ; 417.785 ; 339.249 ; 350.177 ; 403.605 ; 265.497 ; 277.863 ; 240.783 
Junho; 211.012 ; 197.711 ; 182.233 ; 182.844 ; 200.468 ; 215.755 ; 217.837 ; 233.030 ; 232.030 ; 240.108 ; 288.630 ; 334.367 ; 364.223 ; 371.491 ; 395.744 ; 344.771 ; 343.640 ; 401.201 ; 318.329 ; 257.773 ; 266.279 
Julho; 184.605 ; 187.998 ; 200.209 ; 198.951 ; 222.151 ; 220.107 ; 223.556 ; 237.896 ; 253.313 ; 260.406 ; 308.399 ; 350.245 ; 376.971 ; 403.147 ; 416.845 ; 355.110 ; 359.277 ; 399.549 ; 288.020 ; 290.018 ; 277.307 
Agosto; 190.733 ; 192.278 ; 197.350 ; 186.719 ; 213.970 ; 226.449 ; 233.897 ; 241.100 ; 243.679 ; 239.547 ; 300.542 ; 356.844 ; 382.496 ; 402.992 ; 417.259 ; 322.727 ; 367.502 ; 373.126 ; 287.405 ; 277.183 ; 263.899 
Setembro; 198.022 ; 184.219 ; 190.990 ; 195.431 ; 224.225 ; 225.421 ; 230.777 ; 226.153 ; 252.974 ; 250.541 ; 306.230 ; 350.084 ; 365.854 ; 377.028 ; 423.700 ; 322.028 ; 370.634 ; 350.883 ; 256.869 ; 260.819 ; 280.930 
Outubro; 197.289 ; 183.394 ; 220.536 ; 208.721 ; 210.520 ; 204.832 ; 228.967 ; 246.817 ; 261.939 ; 274.002 ; 313.328 ; 342.716 ; 402.120 ; 406.011 ; 448.653 ; 343.622 ; 378.843 ; 344.579 ; 274.822 ; 277.685 ;
Novembro; 191.359 ; 180.531 ; 176.104 ; 190.181 ; 204.897 ; 208.009 ; 222.945 ; 234.560 ; 231.567 ; 254.625 ; 313.224 ; 343.683 ; 368.777 ; 397.071 ; 390.556 ; 331.251 ; 393.689 ; 329.769 ; 263.390 ; 267.135 ;
Dezembro; 203.730 ; 191.970 ; 211.831 ; 222.338 ; 243.682 ; 241.683 ; 263.628 ; 267.045 ; 276.140 ; 308.697 ; 375.322 ; 395.914 ; 423.721 ; 431.630 ; 473.834 ; 420.428 ; 451.710 ; 386.583 ; 307.879 ; 306.603 ;
Total do Ano; 2.324.324 ; 2.254.064 ; 2.330.758 ; 2.260.782 ; 2.517.976 ; 2.580.236 ; 2.698.051 ; 2.827.568 ; 2.924.881 ; 3.008.094 ; 3.677.904 ; 4.099.918 ; 4.459.305 ; 4.655.427 ; 4.986.074 ; 4.296.429 ; 4.512.741 ; 4.570.211 ; 3.572.715 ; 3.300.672 ; 2.326.878 
