Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 28.830 ; 24.540 ; 27.041 ; 29.282 ; 29.185 ; 30.034 ; 34.142 ; 38.807 ; 42.578 ; 45.962 ; 49.341 ; 54.794 ; 66.606 ; 77.358 ; 86.497 ; 96.746 ; 88.731 ; 91.028 ; 93.156 ; 94.541 ; 98.411 ; 102.786 ; 92.303 
Fevereiro; 32.297 ; 23.019 ; 24.863 ; 23.410 ; 26.084 ; 28.590 ; 30.487 ; 34.135 ; 39.903 ; 41.892 ; 46.707 ; 53.523 ; 64.442 ; 69.231 ; 79.166 ; 83.505 ; 90.783 ; 84.257 ; 84.341 ; 87.486 ; 92.424 ; 88.443 ; 95.370 
Março; 27.311 ; 25.016 ; 25.659 ; 23.944 ; 29.700 ; 32.670 ; 34.543 ; 38.715 ; 41.406 ; 45.676 ; 56.333 ; 60.766 ; 70.383 ; 78.006 ; 83.320 ; 89.832 ; 95.717 ; 95.094 ; 98.257 ; 91.488 ; 88.937 ; 93.798 ; 99.814 
Abril; 29.396 ; 24.452 ; 26.098 ; 25.867 ; 30.982 ; 31.599 ; 31.908 ; 37.474 ; 42.798 ; 46.232 ; 53.359 ; 60.192 ; 69.159 ; 79.078 ; 89.149 ; 92.123 ; 92.247 ; 88.905 ; 91.568 ; 94.397 ; 74.388 ; 93.903 ; 96.941 
Maio; 26.511 ; 26.301 ; 24.841 ; 28.450 ; 29.108 ; 32.210 ; 34.524 ; 39.832 ; 43.568 ; 43.266 ; 53.696 ; 60.608 ; 74.029 ; 82.364 ; 88.628 ; 91.234 ; 96.806 ; 97.862 ; 94.899 ; 95.752 ; 74.375 ; 100.309 ; 104.047 
Junho; 36.553 ; 31.000 ; 23.443 ; 28.451 ; 30.681 ; 33.974 ; 35.666 ; 40.828 ; 44.115 ; 46.997 ; 52.933 ; 62.696 ; 73.408 ; 79.723 ; 85.316 ; 92.874 ; 93.632 ; 98.410 ; 89.641 ; 91.862 ; 95.155 ; 106.835 ; 100.478 
Julho; 31.808 ; 35.192 ; 28.452 ; 32.036 ; 33.792 ; 36.062 ; 36.171 ; 43.555 ; 50.370 ; 53.564 ; 58.870 ; 66.646 ; 77.878 ; 86.235 ; 93.919 ; 98.040 ; 98.144 ; 99.462 ; 94.977 ; 104.318 ; 109.313 ; 111.530 ;
Agosto; 31.010 ; 35.388 ; 28.725 ; 28.933 ; 32.380 ; 36.056 ; 39.058 ; 43.580 ; 49.260 ; 48.447 ; 56.951 ; 68.438 ; 83.251 ; 87.508 ; 93.392 ; 96.218 ; 99.607 ; 101.819 ; 98.931 ; 101.337 ; 108.408 ; 111.877 ;
Setembro; 29.756 ; 35.351 ; 28.113 ; 30.747 ; 35.063 ; 35.428 ; 40.299 ; 40.396 ; 52.703 ; 51.469 ; 60.735 ; 69.037 ; 79.466 ; 83.494 ; 95.280 ; 96.758 ; 102.814 ; 96.383 ; 91.460 ; 97.517 ; 112.583 ; 108.253 ;
Outubro; 28.662 ; 35.270 ; 34.023 ; 32.012 ; 33.790 ; 33.473 ; 39.190 ; 45.477 ; 52.620 ; 54.691 ; 59.613 ; 67.331 ; 87.037 ; 91.912 ; 103.381 ; 101.044 ; 96.510 ; 99.568 ; 101.148 ; 104.903 ; 118.581 ; 108.269 ;
Novembro; 28.146 ; 27.654 ; 28.780 ; 28.310 ; 32.175 ; 34.909 ; 37.868 ; 43.974 ; 45.363 ; 49.066 ; 59.425 ; 67.819 ; 78.774 ; 86.737 ; 92.075 ; 90.323 ; 95.006 ; 96.143 ; 96.534 ; 100.801 ; 110.934 ; 103.768 ;
Dezembro; 29.295 ; 27.034 ; 30.549 ; 34.242 ; 37.879 ; 38.295 ; 42.084 ; 46.612 ; 54.394 ; 58.116 ; 66.978 ; 76.743 ; 85.073 ; 94.527 ; 108.592 ; 103.269 ; 104.588 ; 105.128 ; 101.637 ; 112.165 ; 125.268 ; 115.205 ;
