Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 20.166 ; 18.376 ; 19.718 ; 20.918 ; 22.444 ; 22.021 ; 23.390 ; 25.191 ; 28.276 ; 30.167 ; 34.769 ; 39.411 ; 46.768 ; 52.589 ; 58.607 ; 62.530 ; 54.937 ; 59.586 ; 58.136 ; 50.134 ; 53.786 ; 56.788 ; 52.761 
Fevereiro; 20.267 ; 16.808 ; 17.649 ; 16.242 ; 20.015 ; 19.972 ; 21.107 ; 21.954 ; 25.017 ; 26.980 ; 32.417 ; 35.446 ; 43.374 ; 45.380 ; 51.525 ; 48.574 ; 52.599 ; 54.597 ; 50.781 ; 47.308 ; 51.733 ; 46.040 ; 51.392 
Março; 17.761 ; 17.963 ; 18.766 ; 16.455 ; 22.092 ; 22.536 ; 22.564 ; 24.237 ; 25.656 ; 27.986 ; 38.002 ; 42.316 ; 47.623 ; 50.038 ; 54.525 ; 52.696 ; 58.095 ; 61.107 ; 58.413 ; 52.205 ; 46.688 ; 48.378 ; 51.813 
Abril; 18.774 ; 17.647 ; 19.190 ; 17.428 ; 22.040 ; 21.637 ; 22.014 ; 22.961 ; 26.088 ; 28.957 ; 36.572 ; 40.604 ; 47.120 ; 50.822 ; 57.853 ; 54.630 ; 55.385 ; 57.135 ; 56.304 ; 56.116 ; 41.458 ; 48.513 ; 52.067 
Maio; 19.128 ; 17.559 ; 18.679 ; 20.064 ; 21.389 ; 21.863 ; 22.653 ; 24.025 ; 25.845 ; 27.280 ; 35.199 ; 40.530 ; 48.002 ; 50.650 ; 56.792 ; 52.495 ; 56.490 ; 60.414 ; 53.861 ; 55.762 ; 42.116 ; 53.214 ; 55.113 
Junho; 18.352 ; 19.704 ; 19.320 ; 19.215 ; 21.674 ; 22.276 ; 23.346 ; 24.795 ; 26.784 ; 29.460 ; 37.052 ; 43.401 ; 47.172 ; 51.010 ; 54.851 ; 55.414 ; 58.437 ; 61.922 ; 52.166 ; 52.388 ; 44.959 ; 56.182 ; 53.411 
Julho; 15.440 ; 17.224 ; 19.829 ; 19.756 ; 21.579 ; 22.138 ; 22.786 ; 24.613 ; 28.728 ; 29.851 ; 36.258 ; 41.213 ; 47.686 ; 52.376 ; 56.592 ; 55.675 ; 57.800 ; 57.742 ; 53.533 ; 56.306 ; 52.192 ; 60.072 ;
Agosto; 16.998 ; 18.670 ; 20.464 ; 19.850 ; 22.665 ; 23.185 ; 23.984 ; 25.790 ; 29.115 ; 28.649 ; 35.961 ; 44.342 ; 51.762 ; 52.508 ; 56.402 ; 53.820 ; 59.837 ; 60.887 ; 56.944 ; 56.322 ; 52.778 ; 59.204 ;
Setembro; 18.353 ; 18.850 ; 20.680 ; 20.452 ; 23.587 ; 23.359 ; 24.830 ; 24.281 ; 31.586 ; 30.151 ; 38.416 ; 44.653 ; 48.445 ; 50.604 ; 59.275 ; 55.609 ; 60.226 ; 57.810 ; 49.164 ; 54.704 ; 55.008 ; 59.723 ;
Outubro; 17.453 ; 17.878 ; 24.133 ; 21.686 ; 24.053 ; 20.990 ; 24.749 ; 27.239 ; 32.409 ; 32.769 ; 38.039 ; 43.948 ; 55.085 ; 55.827 ; 62.177 ; 58.329 ; 58.920 ; 59.387 ; 49.731 ; 58.269 ; 60.723 ; 58.615 ;
Novembro; 18.326 ; 17.897 ; 19.209 ; 19.754 ; 22.355 ; 21.922 ; 23.321 ; 26.432 ; 28.028 ; 30.405 ; 38.784 ; 44.295 ; 50.124 ; 54.114 ; 55.271 ; 53.961 ; 57.700 ; 58.609 ; 46.881 ; 55.111 ; 57.917 ; 54.463 ;
Dezembro; 19.422 ; 18.937 ; 22.929 ; 25.145 ; 26.874 ; 26.006 ; 26.266 ; 29.504 ; 33.799 ; 36.430 ; 43.357 ; 51.531 ; 55.188 ; 59.263 ; 62.398 ; 58.664 ; 64.163 ; 63.825 ; 51.872 ; 58.469 ; 62.300 ; 61.887 ;
