Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 152.471 ; 156.642 ; 148.357 ; 152.948 ; 149.574 ; 147.427 ; 143.298 ; 131.169 ; 137.754 ; 132.115 ; 160.458 ; 169.091 ; 192.162 ; 204.634 ; 242.703 ; 258.807 ; 216.095 ; 227.802 ; 189.360 ; 162.951 ; 176.671 ; 176.046 ; 145.583 
Fevereiro; 154.446 ; 145.041 ; 146.240 ; 145.897 ; 136.309 ; 135.197 ; 135.486 ; 130.296 ; 122.873 ; 129.694 ; 159.333 ; 173.228 ; 197.787 ; 192.476 ; 231.891 ; 211.346 ; 228.466 ; 216.408 ; 170.047 ; 153.380 ; 176.176 ; 143.401 ; 150.554 
Março; 137.874 ; 149.386 ; 163.590 ; 134.763 ; 150.681 ; 154.521 ; 143.692 ; 145.498 ; 135.374 ; 133.710 ; 173.146 ; 192.301 ; 209.670 ; 211.420 ; 228.147 ; 225.602 ; 242.939 ; 228.908 ; 201.597 ; 163.391 ; 141.579 ; 156.104 ; 155.208 
Abril; 142.844 ; 149.370 ; 171.545 ; 138.422 ; 157.166 ; 142.453 ; 134.729 ; 132.102 ; 133.672 ; 134.424 ; 148.025 ; 201.447 ; 195.866 ; 207.717 ; 233.740 ; 224.119 ; 234.474 ; 208.559 ; 183.379 ; 168.088 ; 108.677 ; 130.173 ; 150.424 
Maio; 133.012 ; 150.610 ; 160.283 ; 151.298 ; 147.747 ; 141.166 ; 136.726 ; 133.636 ; 131.774 ; 128.178 ; 147.507 ; 184.239 ; 196.685 ; 216.834 ; 236.050 ; 215.656 ; 216.259 ; 214.911 ; 169.900 ; 167.619 ; 118.169 ; 145.181 ; 156.047 
Junho; 157.786 ; 157.933 ; 151.017 ; 131.160 ; 148.493 ; 142.227 ; 129.622 ; 133.808 ; 127.178 ; 128.256 ; 142.554 ; 182.091 ; 193.242 ; 205.920 ; 215.987 ; 218.123 ; 207.012 ; 209.028 ; 159.851 ; 158.407 ; 135.029 ; 145.604 ; 138.397 
Julho; 154.663 ; 146.681 ; 165.306 ; 147.555 ; 157.336 ; 139.507 ; 132.452 ; 132.296 ; 137.388 ; 133.799 ; 149.297 ; 188.285 ; 198.602 ; 216.875 ; 228.084 ; 224.642 ; 217.431 ; 205.884 ; 151.740 ; 169.031 ; 154.752 ; 161.623 ;
Agosto; 162.776 ; 151.857 ; 170.212 ; 141.353 ; 151.847 ; 147.159 ; 137.298 ; 139.023 ; 132.830 ; 127.948 ; 146.950 ; 196.851 ; 213.676 ; 228.017 ; 237.137 ; 220.293 ; 211.737 ; 203.550 ; 155.855 ; 171.634 ; 155.426 ; 153.679 ;
Setembro; 159.455 ; 138.949 ; 160.583 ; 146.594 ; 155.959 ; 148.562 ; 140.475 ; 130.818 ; 134.349 ; 135.499 ; 148.493 ; 189.337 ; 201.703 ; 217.552 ; 242.545 ; 218.485 ; 216.408 ; 201.752 ; 144.165 ; 164.726 ; 163.090 ; 156.102 ;
Outubro; 170.051 ; 140.524 ; 192.342 ; 157.621 ; 152.232 ; 137.195 ; 137.165 ; 140.783 ; 143.151 ; 143.204 ; 151.387 ; 193.203 ; 223.109 ; 234.166 ; 256.166 ; 232.244 ; 219.570 ; 199.935 ; 151.181 ; 181.002 ; 174.441 ; 163.651 ;
Novembro; 153.214 ; 133.949 ; 163.396 ; 146.390 ; 157.039 ; 138.193 ; 133.890 ; 133.499 ; 127.764 ; 140.012 ; 151.232 ; 189.317 ; 202.268 ; 231.749 ; 233.596 ; 215.321 ; 217.449 ; 187.896 ; 149.028 ; 174.267 ; 161.572 ; 141.256 ;
Dezembro; 169.155 ; 151.393 ; 179.062 ; 170.592 ; 183.789 ; 165.713 ; 155.970 ; 152.226 ; 152.321 ; 170.051 ; 188.882 ; 220.686 ; 245.891 ; 249.465 ; 274.968 ; 268.937 ; 257.063 ; 218.212 ; 175.501 ; 198.682 ; 189.350 ; 179.531 ;
