UN. DA FEDERAÇÃO;RIO GRANDE DO NORTE;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 19.130 ; 19.275 ; 20.354 ; 20.154 ; 20.042 ; 23.731 ; 22.393 ; 23.221 ; 25.541 ; 27.465 ; 32.787 ; 35.778 ; 43.913 ; 49.922 ; 53.531 ; 58.505 ; 52.217 ; 54.775 ; 51.850 ; 50.602 ; 51.099 
Fevereiro; 18.902 ; 17.288 ; 18.558 ; 17.030 ; 18.582 ; 19.978 ; 20.454 ; 20.700 ; 21.969 ; 25.319 ; 30.490 ; 34.307 ; 42.443 ; 44.581 ; 50.573 ; 46.854 ; 50.589 ; 51.673 ; 46.799 ; 47.682 ; 49.547 
Março; 17.950 ; 18.024 ; 19.396 ; 14.590 ; 19.567 ; 22.417 ; 22.047 ; 22.420 ; 22.932 ; 26.042 ; 36.229 ; 40.820 ; 45.398 ; 48.367 ; 51.374 ; 52.675 ; 55.270 ; 57.179 ; 54.461 ; 49.181 ; 43.190 
Abril; 17.621 ; 17.728 ; 18.127 ; 15.991 ; 20.434 ; 20.898 ; 19.918 ; 21.168 ; 23.103 ; 27.001 ; 33.032 ; 38.223 ; 43.715 ; 49.846 ; 53.187 ; 53.451 ; 52.038 ; 53.116 ; 50.076 ; 51.589 ; 37.982 
Maio; 18.024 ; 18.209 ; 18.978 ; 17.860 ; 19.226 ; 21.806 ; 22.081 ; 22.589 ; 22.883 ; 25.073 ; 32.070 ; 38.473 ; 45.432 ; 50.420 ; 55.344 ; 52.396 ; 52.908 ; 56.519 ; 52.792 ; 49.466 ; 40.212 
Junho; 19.198 ; 18.172 ; 16.968 ; 17.217 ; 19.714 ; 20.967 ; 21.508 ; 22.212 ; 22.697 ; 27.807 ; 32.311 ; 39.478 ; 44.482 ; 47.796 ; 50.104 ; 53.368 ; 51.791 ; 56.203 ; 47.220 ; 48.613 ; 41.556 
Julho; 16.608 ; 17.817 ; 18.512 ; 18.521 ; 20.288 ; 21.380 ; 21.201 ; 22.369 ; 28.776 ; 28.272 ; 33.805 ; 39.405 ; 45.790 ; 50.077 ; 52.927 ; 54.746 ; 53.966 ; 53.989 ; 49.429 ; 53.223 ; 46.948 
Agosto; 19.083 ; 18.808 ; 18.724 ; 18.374 ; 21.263 ; 22.439 ; 23.818 ; 23.344 ; 25.198 ; 27.030 ; 32.635 ; 42.317 ; 49.513 ; 52.018 ; 54.593 ; 53.207 ; 56.403 ; 56.703 ; 53.802 ; 54.635 ; 46.079 
Setembro; 19.266 ; 17.167 ; 18.276 ; 18.316 ; 21.903 ; 21.256 ; 23.103 ; 21.284 ; 27.872 ; 28.886 ; 34.368 ; 42.363 ; 46.892 ; 49.690 ; 55.775 ; 53.445 ; 57.645 ; 53.509 ; 46.468 ; 51.229 ; 52.190 
Outubro; 18.468 ; 18.442 ; 22.312 ; 20.182 ; 21.769 ; 18.017 ; 23.561 ; 24.055 ; 28.347 ; 30.703 ; 33.172 ; 41.816 ; 52.457 ; 53.926 ; 59.381 ; 55.012 ; 54.574 ; 55.221 ; 50.734 ; 54.021 ;
Novembro; 18.535 ; 18.317 ; 16.230 ; 17.766 ; 20.757 ; 21.088 ; 22.254 ; 23.541 ; 24.814 ; 28.536 ; 33.698 ; 42.739 ; 48.624 ; 52.177 ; 52.729 ; 51.317 ; 53.513 ; 53.118 ; 49.431 ; 53.746 ;
Dezembro; 19.630 ; 18.342 ; 21.006 ; 22.672 ; 24.192 ; 23.825 ; 24.302 ; 25.429 ; 29.922 ; 32.158 ; 38.953 ; 48.798 ; 53.245 ; 56.783 ; 62.829 ; 59.807 ; 60.767 ; 59.016 ; 55.028 ; 56.540 ;
Total do Ano; 222.414 ; 217.589 ; 227.440 ; 218.672 ; 247.738 ; 257.801 ; 266.640 ; 272.333 ; 304.052 ; 334.293 ; 403.550 ; 484.517 ; 561.904 ; 605.601 ; 652.346 ; 644.784 ; 651.680 ; 661.020 ; 608.089 ; 620.525 ; 408.802 
