UN. DA FEDERAÇÃO;RIO GRANDE DO SUL;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 155.871 ; 157.844 ; 166.739 ; 156.967 ; 162.641 ; 156.785 ; 157.783 ; 162.052 ; 174.216 ; 181.019 ; 211.191 ; 222.734 ; 242.891 ; 272.995 ; 296.914 ; 320.938 ; 268.370 ; 297.908 ; 296.469 ; 295.932 ; 297.484 
Fevereiro; 171.836 ; 141.489 ; 152.856 ; 135.109 ; 145.049 ; 146.683 ; 154.399 ; 147.562 ; 163.344 ; 164.175 ; 191.194 ; 212.873 ; 239.573 ; 236.880 ; 285.982 ; 256.568 ; 293.832 ; 282.064 ; 277.794 ; 285.774 ; 287.952 
Março; 148.190 ; 159.953 ; 153.747 ; 132.499 ; 162.528 ; 189.990 ; 157.208 ; 166.449 ; 173.326 ; 178.781 ; 220.827 ; 242.409 ; 261.256 ; 264.188 ; 284.905 ; 291.004 ; 283.474 ; 316.131 ; 309.583 ; 295.248 ; 243.856 
Abril; 160.079 ; 154.315 ; 151.834 ; 140.370 ; 168.875 ; 135.355 ; 151.967 ; 161.787 ; 173.689 ; 184.953 ; 210.681 ; 231.109 ; 242.092 ; 269.585 ; 301.154 ; 297.972 ; 277.913 ; 291.800 ; 288.833 ; 297.793 ; 202.765 
Maio; 160.513 ; 157.010 ; 154.681 ; 151.447 ; 155.620 ; 158.573 ; 157.303 ; 167.171 ; 171.497 ; 171.983 ; 198.768 ; 220.369 ; 246.716 ; 267.701 ; 289.452 ; 271.891 ; 278.433 ; 292.275 ; 262.531 ; 284.886 ; 230.847 
Junho; 169.751 ; 160.939 ; 146.845 ; 142.370 ; 151.684 ; 154.149 ; 153.091 ; 156.340 ; 167.127 ; 176.268 ; 202.183 ; 223.756 ; 243.231 ; 255.732 ; 268.332 ; 280.512 ; 270.273 ; 296.673 ; 283.103 ; 271.737 ; 245.254 
Julho; 148.887 ; 148.275 ; 152.824 ; 155.156 ; 170.015 ; 158.391 ; 151.160 ; 157.420 ; 176.466 ; 186.560 ; 211.339 ; 227.515 ; 245.570 ; 274.022 ; 291.662 ; 288.384 ; 281.827 ; 298.558 ; 262.959 ; 288.143 ; 253.811 
Agosto; 156.147 ; 158.055 ; 156.333 ; 149.974 ; 164.027 ; 163.936 ; 159.726 ; 167.925 ; 171.812 ; 175.095 ; 210.937 ; 237.737 ; 262.105 ; 280.860 ; 290.199 ; 279.649 ; 290.242 ; 303.065 ; 292.619 ; 304.253 ; 249.589 
Setembro; 156.950 ; 149.670 ; 154.244 ; 151.911 ; 166.581 ; 153.588 ; 157.858 ; 153.227 ; 179.735 ; 181.988 ; 215.066 ; 239.308 ; 246.381 ; 268.885 ; 294.611 ; 280.887 ; 291.094 ; 291.253 ; 277.517 ; 279.734 ; 263.109 
Outubro; 156.678 ; 153.827 ; 173.909 ; 161.418 ; 169.124 ; 150.239 ; 158.470 ; 170.835 ; 185.790 ; 208.027 ; 219.814 ; 236.803 ; 282.168 ; 291.667 ; 314.949 ; 297.958 ; 286.822 ; 289.627 ; 286.046 ; 305.457 ;
Novembro; 158.637 ; 154.503 ; 141.308 ; 150.478 ; 157.106 ; 154.463 ; 155.948 ; 165.253 ; 172.444 ; 189.788 ; 224.583 ; 240.542 ; 267.926 ; 292.085 ; 287.266 ; 276.770 ; 295.638 ; 299.923 ; 289.596 ; 304.533 ;
Dezembro; 169.448 ; 163.092 ; 179.878 ; 186.969 ; 191.053 ; 184.473 ; 183.276 ; 191.344 ; 212.439 ; 246.877 ; 266.321 ; 278.602 ; 301.577 ; 322.596 ; 347.184 ; 352.208 ; 345.438 ; 334.980 ; 333.952 ; 339.989 ;
Total do Ano; 1.912.987 ; 1.858.973 ; 1.885.198 ; 1.814.669 ; 1.964.302 ; 1.906.625 ; 1.898.190 ; 1.967.366 ; 2.121.885 ; 2.245.513 ; 2.582.904 ; 2.813.757 ; 3.081.487 ; 3.297.196 ; 3.552.612 ; 3.494.739 ; 3.463.356 ; 3.594.255 ; 3.461.001 ; 3.553.480 ; 2.274.667 
