Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 3.259 ; 2.972 ; 3.858 ; 4.933 ; 3.783 ; 3.608 ; 3.871 ; 4.161 ; 4.447 ; 5.403 ; 5.778 ; 6.678 ; 6.994 ; 8.588 ; 9.408 ; 10.710 ; 9.778 ; 10.538 ; 11.004 ; 11.734 ; 13.155 ; 13.657 ; 13.520 
Fevereiro; 3.636 ; 2.861 ; 3.573 ; 4.097 ; 3.470 ; 3.275 ; 3.570 ; 3.938 ; 4.456 ; 5.396 ; 6.069 ; 6.542 ; 7.482 ; 8.035 ; 8.924 ; 8.981 ; 10.494 ; 10.060 ; 10.670 ; 11.384 ; 12.727 ; 12.281 ; 14.307 
Março; 3.632 ; 3.184 ; 3.674 ; 4.087 ; 4.071 ; 4.060 ; 3.973 ; 4.622 ; 4.640 ; 6.348 ; 7.254 ; 7.479 ; 7.865 ; 8.750 ; 9.677 ; 10.301 ; 11.196 ; 11.417 ; 12.379 ; 12.686 ; 12.447 ; 13.189 ; 14.844 
Abril; 3.348 ; 3.425 ; 3.865 ; 3.939 ; 3.948 ; 3.785 ; 3.713 ; 4.278 ; 5.007 ; 6.157 ; 6.748 ; 6.845 ; 7.768 ; 9.216 ; 9.892 ; 10.247 ; 10.385 ; 10.930 ; 12.082 ; 13.149 ; 10.087 ; 13.171 ; 14.723 
Maio; 3.394 ; 3.282 ; 3.730 ; 4.273 ; 3.901 ; 3.580 ; 3.784 ; 4.167 ; 4.809 ; 6.195 ; 6.770 ; 7.237 ; 8.231 ; 8.844 ; 10.311 ; 9.708 ; 10.059 ; 11.557 ; 11.178 ; 12.735 ; 10.600 ; 13.656 ; 15.207 
Junho; 4.079 ; 3.264 ; 3.499 ; 4.055 ; 3.714 ; 2.794 ; 3.868 ; 4.082 ; 4.750 ; 6.018 ; 6.678 ; 6.675 ; 8.050 ; 8.595 ; 9.177 ; 10.520 ; 10.362 ; 11.493 ; 10.978 ; 11.583 ; 11.164 ; 13.708 ; 13.768 
Julho; 3.347 ; 2.930 ; 3.902 ; 4.258 ; 4.013 ; 3.650 ; 3.650 ; 4.419 ; 5.505 ; 6.135 ; 6.985 ; 7.056 ; 7.899 ; 8.949 ; 9.761 ; 10.322 ; 10.452 ; 10.633 ; 10.349 ; 12.965 ; 12.415 ; 13.679 ;
Agosto; 4.030 ; 3.238 ; 4.735 ; 4.017 ; 4.055 ; 4.162 ; 4.494 ; 4.591 ; 5.502 ; 6.109 ; 7.794 ; 7.839 ; 8.474 ; 9.596 ; 10.285 ; 10.317 ; 11.306 ; 11.522 ; 12.442 ; 12.572 ; 12.911 ; 14.139 ;
Setembro; 4.359 ; 3.111 ; 5.090 ; 3.924 ; 4.067 ; 3.981 ; 4.816 ; 4.005 ; 6.077 ; 6.362 ; 8.585 ; 7.835 ; 8.520 ; 9.085 ; 11.589 ; 11.069 ; 11.405 ; 12.331 ; 12.019 ; 13.169 ; 14.594 ; 14.879 ;
Outubro; 3.716 ; 3.629 ; 5.139 ; 4.438 ; 3.851 ; 2.761 ; 4.299 ; 4.509 ; 5.700 ; 6.584 ; 7.590 ; 7.566 ; 9.708 ; 9.764 ; 11.483 ; 10.633 ; 10.880 ; 12.272 ; 13.093 ; 13.927 ; 15.889 ; 15.302 ;
Novembro; 3.200 ; 3.550 ; 3.771 ; 1.068 ; 3.987 ; 3.756 ; 4.120 ; 4.886 ; 5.132 ; 6.366 ; 7.415 ; 7.715 ; 8.728 ; 9.394 ; 10.274 ; 9.908 ; 11.105 ; 11.734 ; 12.197 ; 13.569 ; 14.210 ; 14.554 ;
Dezembro; 3.339 ; 3.522 ; 4.765 ; 4.568 ; 4.320 ; 3.995 ; 4.187 ; 4.933 ; 6.231 ; 7.556 ; 8.103 ; 8.808 ; 9.711 ; 10.047 ; 12.035 ; 11.175 ; 12.522 ; 12.936 ; 12.579 ; 14.205 ; 16.357 ; 15.647 ;
