UN. DA FEDERAÇÃO;SÃO PAULO;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA C (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 579.928 ; 598.960 ; 600.904 ; 545.823 ; 555.758 ; 512.555 ; 540.321 ; 559.463 ; 557.233 ; 536.406 ; 654.202 ; 597.860 ; 808.200 ; 824.796 ; 850.743 ; 887.346 ; 752.559 ; 874.033 ; 748.418 ; 636.920 ; 627.854 
Fevereiro; 643.248 ; 570.709 ; 567.671 ; 485.178 ; 526.400 ; 540.211 ; 550.134 ; 541.452 ; 554.230 ; 512.379 ; 654.295 ; 638.276 ; 809.679 ; 755.869 ; 855.295 ; 716.130 ; 817.672 ; 884.125 ; 728.125 ; 618.488 ; 627.038 
Março; 605.500 ; 652.457 ; 618.269 ; 495.280 ; 590.700 ; 610.238 ; 615.766 ; 622.086 ; 586.665 ; 567.094 ; 694.142 ; 894.976 ; 887.628 ; 877.078 ; 903.149 ; 783.760 ; 898.172 ; 962.694 ; 844.241 ; 659.782 ; 544.317 
Abril; 618.650 ; 648.740 ; 621.893 ; 532.955 ; 582.359 ; 589.855 ; 599.552 ; 581.697 ; 593.213 ; 565.388 ; 607.507 ; 964.359 ; 838.506 ; 898.024 ; 956.775 ; 794.264 ; 858.668 ; 886.691 ; 775.947 ; 673.912 ; 436.700 
Maio; 614.461 ; 664.396 ; 627.379 ; 581.354 ; 534.173 ; 589.442 ; 611.858 ; 613.093 ; 579.074 ; 538.684 ; 582.043 ; 769.371 ; 865.521 ; 926.951 ; 942.745 ; 762.259 ; 774.873 ; 911.972 ; 698.620 ; 658.413 ; 483.620 
Junho; 652.319 ; 660.290 ; 575.534 ; 552.451 ; 534.924 ; 584.973 ; 574.508 ; 601.823 ; 560.305 ; 539.761 ; 571.140 ; 692.313 ; 844.648 ; 838.939 ; 852.596 ; 769.553 ; 763.745 ; 893.889 ; 708.187 ; 621.973 ; 536.713 
Julho; 575.302 ; 603.899 ; 567.579 ; 572.397 ; 568.161 ; 561.376 ; 559.654 ; 585.627 ; 594.201 ; 542.759 ; 583.503 ; 711.844 ; 839.052 ; 858.134 ; 879.896 ; 762.619 ; 756.148 ; 867.364 ; 623.490 ; 663.122 ; 607.251 
Agosto; 598.991 ; 636.943 ; 576.297 ; 558.491 ; 555.945 ; 593.417 ; 605.442 ; 609.543 ; 577.750 ; 534.095 ; 586.265 ; 777.295 ; 889.791 ; 911.362 ; 913.080 ; 747.261 ; 792.905 ; 876.341 ; 686.776 ; 685.350 ; 592.108 
Setembro; 603.058 ; 595.886 ; 569.740 ; 556.357 ; 561.025 ; 576.881 ; 590.027 ; 572.174 ; 596.101 ; 545.079 ; 583.460 ; 824.087 ; 826.753 ; 840.782 ; 913.585 ; 743.934 ; 783.514 ; 820.056 ; 620.249 ; 645.006 ; 632.813 
Outubro; 652.425 ; 633.832 ; 650.811 ; 612.496 ; 538.535 ; 559.519 ; 588.775 ; 623.377 ; 607.002 ; 599.645 ; 598.531 ; 802.204 ; 897.377 ; 906.213 ; 965.120 ; 797.608 ; 852.896 ; 824.708 ; 627.952 ; 693.646 ;
Novembro; 627.900 ; 586.398 ; 538.303 ; 563.971 ; 524.241 ; 570.626 ; 567.320 ; 586.261 ; 562.644 ; 551.032 ; 611.718 ; 830.208 ; 851.044 ; 897.126 ; 845.513 ; 758.493 ; 913.626 ; 790.832 ; 635.715 ; 663.325 ;
Dezembro; 656.697 ; 598.569 ; 651.020 ; 657.883 ; 624.840 ; 646.149 ; 638.304 ; 657.316 ; 651.892 ; 664.457 ; 709.432 ; 959.082 ; 947.645 ; 941.548 ; 971.289 ; 913.507 ; 1.025.739 ; 879.407 ; 727.972 ; 727.754 ;
Total do Ano; 7.428.481 ; 7.451.080 ; 7.165.399 ; 6.714.637 ; 6.697.062 ; 6.935.243 ; 7.041.661 ; 7.153.913 ; 7.020.308 ; 6.696.779 ; 7.436.237 ; 9.461.875 ; 10.305.845 ; 10.476.822 ; 10.849.786 ; 9.436.733 ; 9.990.516 ; 10.472.113 ; 8.425.692 ; 7.947.691 ; 5.088.413 
