Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 45 ; 5 ; -   ; 60 ; 60 ; 30 ; 60 ; 60 ; 118 ; 30 ; 60 ; 90 ; 120 ; 64 ; 98 ; 61 ; 35 ; 45 ; 99 ; 73 ; 148 ; 35 ; 75 
Fevereiro; 30 ; 3 ; -   ; -   ; -   ; 30 ; 30 ; 60 ; 31 ; 0 ; 31 ; 45 ; 30 ; 167 ; 65 ; 40 ; 90 ; 45 ; 45 ; 45 ; -   ; 54 ; -   
Março; 45 ; 2 ; 20 ; 60 ; 60 ; 60 ; 60 ; 0 ; 60 ; 90 ; 91 ; 30 ; 75 ; 67 ; 6 ; 43 ; 50 ; 70 ; 40 ; 40 ; 45 ; 40 ; 153 
Abril; 30 ; 7 ; 25 ; -   ; -   ; 34 ; 30 ; 90 ; 30 ; 60 ; 61 ; 135 ; 46 ; 71 ; 116 ; 97 ; 45 ; 40 ; 45 ; 68 ; 30 ; 94 ; -   
Maio; 30 ; 2 ; 15 ; 60 ; 60 ; 60 ; 60 ; 30 ; 91 ; 90 ; 32 ; 61 ; 125 ; 88 ; 91 ; 48 ; 70 ; 113 ; 45 ; 45 ; 30 ; 30 ; 93 
Junho; 61 ; -   ; 70 ; -   ; -   ; 90 ; 30 ; 60 ; 60 ; 30 ; 137 ; 60 ; 30 ; 84 ; 82 ; 52 ; 90 ; 45 ; 76 ; 78 ; 89 ; 26 ; 30 
Julho; 30 ; -   ; -   ; 60 ; 90 ; 30 ; -   ; 65 ; 76 ; 105 ; 31 ; 126 ; 128 ; 92 ; 121 ; 81 ; 95 ; 78 ; 71 ; 45 ; 33 ; 94 ;
Agosto; 61 ; -   ; 45 ; -   ; 30 ; 60 ; 95 ; 60 ; 30 ; 105 ; 137 ; 70 ; 89 ; 86 ; 110 ; 117 ; 90 ; 75 ; 115 ; 108 ; 43 ; -   ;
Setembro; 78 ; -   ; 60 ; 60 ; 60 ; 60 ; 60 ; 32 ; 150 ; 75 ; 138 ; 76 ; 99 ; 166 ; 55 ; 101 ; 90 ; 35 ; 45 ; 25 ; 143 ; 92 ;
Outubro; 46 ; -   ; 75 ; 60 ; 90 ; 65 ; 30 ; 108 ; 60 ; 60 ; 111 ; 126 ; 130 ; 58 ; 97 ; 65 ; 35 ; 113 ; 101 ; 113 ; 76 ; 35 ;
Novembro; 4 ; -   ; 90 ; 60 ; 60 ; 30 ; 60 ; 31 ; 60 ; 100 ; 60 ; 101 ; 94 ; 103 ; 139 ; 54 ; 140 ; 40 ; 25 ; 30 ; -   ; 63 ;
Dezembro; 3 ; 0 ; 90 ; 30 ; -   ; 60 ; 30 ; 62 ; 92 ; 91 ; 105 ; 45 ; 47 ; 92 ; 45 ; 130 ; 45 ; 40 ; 71 ; 40 ; 82 ; 68 ;
