Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; -   ; 10 ; 6 ; 31 ; 36 ; 31 ; 16 ; 29 ; 31 ; 41 ; 28 ; 33 ; 36 ; 15 ; 50 ; 30 ; 44 ; 63 ; 58 ; 38 ; 91 ; 24 ; 91 
Fevereiro; -   ; 8 ; 9 ; 36 ; 6 ; 15 ; 25 ; 31 ; 30 ; 40 ; 30 ; 24 ; 37 ; 19 ; 4 ; 0 ; 17 ; 23 ; -   ; 20 ; -   ; 68 ; 24 
Março; -   ; 9 ; 14 ; 51 ; 44 ; 55 ; 40 ; 48 ; 28 ; 48 ; 67 ; 35 ; 32 ; 29 ; 23 ; 28 ; 81 ; 63 ; -   ; 38 ; -   ; 92 ; 0 
Abril; 0 ; 14 ; 12 ; 31 ; 37 ; 24 ; 18 ; 30 ; 16 ; 37 ; 44 ; 37 ; 26 ; 35 ; 36 ; 30 ; -   ; -   ; 62 ; 21 ; 87 ; -   ; 87 
Maio; 0 ; 17 ; 18 ; 26 ; 32 ; 45 ; 36 ; 35 ; 46 ; 29 ; 69 ; 49 ; 42 ; 9 ; 22 ; 58 ; 40 ; 33 ; 24 ; -   ; -   ; 87 ; 87 
Junho; -   ; 9 ; 33 ; 25 ; 24 ; 20 ; 51 ; 35 ; 30 ; 60 ; 58 ; 51 ; 34 ; 31 ; 26 ; 28 ; 63 ; 71 ; 23 ; 83 ; 87 ; 87 ; -   
Julho; 1 ; 8 ; 44 ; 42 ; 31 ; 44 ; 39 ; 12 ; 24 ; 62 ; 43 ; 44 ; 29 ; 25 ; 17 ; 33 ; 40 ; -   ; 38 ; -   ; 92 ; 24 ;
Agosto; 5 ; 9 ; 64 ; 29 ; 14 ; 41 ; 38 ; 59 ; 50 ; 35 ; 71 ; 50 ; 54 ; 50 ; 26 ; 49 ; 20 ; 38 ; 24 ; 24 ; -   ; 67 ;
Setembro; 10 ; 9 ; 45 ; 27 ; 24 ; 57 ; 45 ; 44 ; 22 ; 52 ; 60 ; 50 ; 33 ; 50 ; 20 ; 34 ; 18 ; 58 ; 38 ; 67 ; 63 ; 24 ;
Outubro; 10 ; 14 ; 49 ; 37 ; 29 ; 35 ; 74 ; 17 ; 46 ; 64 ; 59 ; 46 ; 39 ; 25 ; 49 ; 64 ; 58 ; 38 ; 24 ; 24 ; 87 ; 67 ;
Novembro; 7 ; 15 ; 47 ; 36 ; 42 ; 84 ; 38 ; 23 ; 41 ; 31 ; 42 ; 35 ; 31 ; 75 ; 43 ; 34 ; 23 ; -   ; 38 ; 63 ; -   ; 87 ;
Dezembro; 4 ; 15 ; 36 ; 24 ; 35 ; 42 ; 26 ; 30 ; 40 ; 82 ; 63 ; 61 ; 40 ; 10 ; 75 ; 43 ; -   ; 38 ; -   ; -   ; 88 ; -   ;
