Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 169 ; 155 ; 257 ; 403 ; 444 ; 440 ; 88 ; 329 ; 316 ; 371 ; 380 ; 356 ; 429 ; 415 ; 388 ; 313 ; 253 ; 103 ; 165 ; 164 ; 114 ; 174 ; 202 
Fevereiro; 130 ; 194 ; 266 ; 307 ; 365 ; 374 ; 182 ; 255 ; 316 ; 402 ; 261 ; 264 ; 387 ; 353 ; 334 ; 256 ; 188 ; 137 ; 152 ; 155 ; 26 ; 139 ; 85 
Março; 112 ; 109 ; 160 ; 211 ; 281 ; 331 ; 203 ; 270 ; 319 ; 316 ; 323 ; 324 ; 306 ; 169 ; 243 ; 231 ; 291 ; 106 ; 131 ; 103 ; 53 ; 68 ; 142 
Abril; 154 ; 81 ; 143 ; 107 ; 389 ; 247 ; 181 ; 196 ; 228 ; 296 ; 232 ; 264 ; 268 ; 224 ; 222 ; 155 ; 115 ; 128 ; 117 ; 127 ; 27 ; 123 ; 67 
Maio; 124 ; 139 ; 108 ; 149 ; 143 ; 139 ; 142 ; 112 ; 230 ; 264 ; 193 ; 254 ; 214 ; 190 ; 315 ; 188 ; 131 ; 134 ; 79 ; 46 ; 106 ; 88 ; 207 
Junho; 58 ; 51 ; 176 ; 185 ; 149 ; 99 ; 125 ; 149 ; 197 ; 177 ; 282 ; 210 ; 190 ; 229 ; 226 ; 172 ; 113 ; 170 ; 182 ; 84 ; 72 ; 99 ; 109 
Julho; 141 ; 45 ; 207 ; 118 ; 226 ; 131 ; 199 ; 150 ; 209 ; 193 ; 226 ; 192 ; 277 ; 165 ; 263 ; 179 ; 197 ; 101 ; 146 ; 175 ; -   ; 175 ;
Agosto; 39 ; 95 ; 192 ; 203 ; 185 ; 130 ; 250 ; 195 ; 242 ; 204 ; 283 ; 258 ; 250 ; 207 ; 206 ; 164 ; 117 ; 115 ; 139 ; 13 ; 116 ; 116 ;
Setembro; 52 ; 24 ; 255 ; 151 ; 195 ; 147 ; 232 ; 148 ; 201 ; 140 ; 391 ; 141 ; 238 ; 177 ; 238 ; 204 ; 208 ; 184 ; 185 ; 131 ; 126 ; 100 ;
Outubro; 134 ; 136 ; 282 ; 189 ; 251 ; 129 ; 78 ; 197 ; 155 ; 163 ; 219 ; 201 ; 241 ; 224 ; 223 ; 133 ; 153 ; 80 ; 85 ; 103 ; 101 ; 178 ;
Novembro; 136 ; 170 ; 197 ; 198 ; 235 ; 186 ; 150 ; 198 ; 226 ; 214 ; 283 ; 279 ; 328 ; 296 ; 203 ; 177 ; 122 ; 125 ; 68 ; 58 ; 78 ; 88 ;
Dezembro; 125 ; 166 ; 296 ; 280 ; 313 ; 92 ; 188 ; 231 ; 273 ; 333 ; 332 ; 390 ; 309 ; 301 ; 281 ; 249 ; 224 ; 136 ; 112 ; 106 ; 120 ; 101 ;
