Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 48 ; 44 ; 43 ; 59 ; 52 ; 72 ; 23 ; 51 ; 65 ; 41 ; 45 ; 73 ; 61 ; 48 ; 61 ; 61 ; 26 ; 60 ; 28 ; 15 ; 18 ; 42 ; 36 
Fevereiro; 20 ; 45 ; 61 ; 48 ; 38 ; 90 ; 41 ; 21 ; 39 ; 67 ; 83 ; 56 ; 46 ; 55 ; 32 ; 69 ; -   ; 33 ; 67 ; 59 ; 20 ; 30 ; 27 
Março; 50 ; 28 ; 49 ; 49 ; 58 ; 60 ; 47 ; 54 ; 37 ; 84 ; 69 ; 103 ; 58 ; 48 ; (6); 47 ; 141 ; 20 ; -   ; 10 ; 10 ; 35 ; 15 
Abril; 38 ; 59 ; 63 ; 55 ; 68 ; 63 ; 67 ; 52 ; 60 ; 69 ; 83 ; 60 ; 56 ; 100 ; 48 ; 52 ; 6 ; 39 ; 51 ; 24 ; -   ; 5 ; 17 
Maio; 51 ; 60 ; 62 ; 43 ; 61 ; 64 ; 69 ; 39 ; 60 ; 72 ; 70 ; 85 ; 63 ; 42 ; 142 ; 19 ; 10 ; 58 ; 58 ; 5 ; 37 ; 31 ; 25 
Junho; 20 ; 51 ; 45 ; 64 ; 66 ; 76 ; 84 ; 56 ; 55 ; 79 ; 53 ; 79 ; 83 ; 44 ; (14); 62 ; 92 ; 50 ; 38 ; 17 ; 5 ; 25 ; 36 
Julho; 50 ; 45 ; 60 ; 81 ; 81 ; 80 ; 82 ; 41 ; 92 ; 85 ; 105 ; 111 ; 85 ; 82 ; 167 ; 60 ; 74 ; 32 ; 68 ; 52 ; -   ; 49 ;
Agosto; 19 ; 75 ; 104 ; 59 ; 75 ; 81 ; 57 ; 73 ; 68 ; 63 ; 45 ; 97 ; 54 ; 53 ; 102 ; 30 ; 18 ; 60 ; 41 ; 36 ; 58 ; 25 ;
Setembro; 71 ; 45 ; 95 ; 72 ; 95 ; 80 ; 66 ; 37 ; 74 ; 80 ; 134 ; 93 ; 69 ; 81 ; 124 ; 63 ; 115 ; 63 ; 47 ; 30 ; 20 ; 44 ;
Outubro; 73 ; 48 ; 88 ; 77 ; 66 ; 61 ; 46 ; 56 ; 87 ; 78 ; 67 ; 78 ; 64 ; 93 ; (4); 25 ; 45 ; 45 ; 53 ; 35 ; 39 ; 40 ;
Novembro; 77 ; 47 ; 80 ; 77 ; 60 ; 82 ; 46 ; 22 ; 50 ; 64 ; 88 ; 111 ; 70 ; 60 ; 154 ; 108 ; 4 ; 40 ; 15 ; 40 ; 35 ; 29 ;
Dezembro; 46 ; 65 ; 106 ; 56 ; 94 ; 40 ; 76 ; 76 ; 75 ; 102 ; 96 ; 54 ; 70 ; 111 ; 17 ; (45); 63 ; 45 ; 38 ; 32 ; 10 ; 31 ;
