Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 380 ; 178 ; 445 ; 580 ; 675 ; 393 ; 315 ; 519 ; 499 ; 586 ; 576 ; 493 ; 583 ; 597 ; 627 ; 508 ; 411 ; 174 ; 240 ; 223 ; 146 ; 308 ; 410 
Fevereiro; 355 ; 303 ; 436 ; 613 ; 627 ; 441 ; 239 ; 370 ; 476 ; 386 ; 374 ; 430 ; 537 ; 453 ; 543 ; 473 ; 340 ; 216 ; 226 ; 236 ; 111 ; 228 ; 328 
Março; 298 ; 276 ; 313 ; 397 ; 595 ; 459 ; 404 ; 407 ; 327 ; 475 ; 469 ; 298 ; 500 ; 528 ; 560 ; 457 ; 394 ; 367 ; 327 ; 214 ; 179 ; 415 ; 354 
Abril; 204 ; 150 ; 151 ; 232 ; 323 ; 213 ; 269 ; 288 ; 380 ; 244 ; 396 ; 467 ; 580 ; 586 ; 619 ; 595 ; 409 ; 321 ; 324 ; 218 ; 72 ; 219 ; 195 
Maio; 79 ; 145 ; 97 ; 217 ; 309 ; 326 ; 164 ; 388 ; 331 ; 479 ; 380 ; 495 ; 470 ; 503 ; 451 ; 399 ; 417 ; 249 ; 204 ; 74 ; 222 ; 330 ; 462 
Junho; 100 ; 44 ; 305 ; 193 ; 229 ; 119 ; 315 ; 265 ; 394 ; 331 ; 454 ; 376 ; 454 ; 380 ; 462 ; 320 ; 240 ; 330 ; 336 ; 287 ; 174 ; 384 ; 288 
Julho; 245 ; 110 ; 237 ; 199 ; 289 ; 280 ; 216 ; 219 ; 471 ; 380 ; 446 ; 409 ; 488 ; 485 ; 509 ; 434 ; 267 ; 257 ; 298 ; 272 ; 147 ; 303 ;
Agosto; 137 ; 110 ; 151 ; 303 ; 281 ; 265 ; 116 ; 310 ; 285 ; 291 ; 463 ; 460 ; 468 ; 398 ; 365 ; 303 ; 384 ; 336 ; 271 ; 201 ; 192 ; 370 ;
Setembro; 78 ; 71 ; 342 ; 124 ; 239 ; 308 ; 276 ; 287 ; 351 ; 384 ; 486 ; 396 ; 269 ; 367 ; 499 ; 351 ; 351 ; 248 ; 371 ; 236 ; 201 ; 186 ;
Outubro; 188 ; 241 ; 285 ; 201 ; 247 ; 74 ; 217 ; 265 ; 329 ; 307 ; 381 ; 302 ; 461 ; 433 ; 434 ; 257 ; 344 ; 174 ; 120 ; 163 ; 284 ; 369 ;
Novembro; 117 ; 136 ; 237 ; 249 ; 280 ; 224 ; 231 ; 306 ; 298 ; 382 ; 410 ; 447 ; 501 ; 440 ; 339 ; 303 ; 202 ; 291 ; 200 ; 128 ; 185 ; 226 ;
Dezembro; 179 ; 156 ; 430 ; 541 ; 205 ; 358 ; 362 ; 358 ; 403 ; 428 ; 543 ; 595 ; 550 ; 615 ; 471 ; 366 ; 542 ; 258 ; 332 ; 199 ; 416 ; 266 ;
