Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 58 ; 65 ; 38 ; 96 ; 65 ; 217 ; 45 ; 86 ; 73 ; 113 ; 115 ; 92 ; 78 ; 62 ; 70 ; 58 ; 20 ; 63 ; 44 ; 35 ; 11 ; 22 ; 25 
Fevereiro; 42 ; 54 ; 37 ; 89 ; 140 ; 150 ; 52 ; 87 ; 101 ; 122 ; 67 ; 133 ; 102 ; 47 ; 93 ; 77 ; 10 ; 13 ; 39 ; 40 ; 27 ; 23 ; 35 
Março; 40 ; 53 ; 20 ; 82 ; 96 ; 127 ; 77 ; 105 ; 46 ; 59 ; 78 ; 67 ; 93 ; 90 ; 35 ; 30 ; 53 ; 35 ; 32 ; 15 ; 30 ; 10 ; 23 
Abril; 29 ; 37 ; 19 ; 111 ; 34 ; 78 ; 47 ; 35 ; 27 ; 106 ; 55 ; 58 ; 79 ; 87 ; 95 ; 46 ; 27 ; 24 ; 25 ; 21 ; -   ; 45 ; 26 
Maio; 42 ; 72 ; 47 ; 118 ; 71 ; 23 ; 65 ; 63 ; 85 ; 55 ; 84 ; 10 ; 83 ; 64 ; 70 ; 44 ; 59 ; 40 ; 23 ; 15 ; 33 ; 33 ; 45 
Junho; 80 ; 48 ; 67 ; 60 ; 43 ; 73 ; 64 ; 46 ; 62 ; 67 ; 54 ; 154 ; 82 ; 52 ; 62 ; 37 ; 70 ; 46 ; 51 ; 41 ; 25 ; 44 ; 57 
Julho; 76 ; 79 ; 54 ; 65 ; 55 ; 95 ; 81 ; 68 ; 97 ; 50 ; 94 ; 41 ; 81 ; 92 ; 70 ; 35 ; 16 ; 33 ; 40 ; 43 ; 42 ; 93 ;
Agosto; 59 ; 76 ; 83 ; 77 ; 65 ; 67 ; 93 ; 85 ; 83 ; 123 ; 149 ; 81 ; 76 ; 60 ; 88 ; 65 ; 53 ; 30 ; 60 ; 49 ; 31 ; 54 ;
Setembro; 59 ; 43 ; 137 ; 67 ; 63 ; 62 ; 73 ; 40 ; 108 ; 36 ; 119 ; 85 ; 49 ; 50 ; 79 ; 42 ; 65 ; 51 ; 37 ; 15 ; 68 ; 39 ;
Outubro; 77 ; 53 ; 89 ; 61 ; 81 ; 87 ; 37 ; 69 ; 76 ; 76 ; 75 ; 80 ; 92 ; 72 ; 88 ; 79 ; -   ; 23 ; 38 ; 46 ; 43 ; 43 ;
Novembro; 59 ; 45 ; 99 ; 74 ; 63 ; 48 ; 75 ; 82 ; 65 ; 63 ; 77 ; 93 ; 83 ; 69 ; 55 ; 8 ; 38 ; 38 ; 10 ; 38 ; 30 ; 31 ;
Dezembro; 60 ; 42 ; 128 ; 72 ; 83 ; 47 ; 67 ; 76 ; 110 ; 96 ; 130 ; 105 ; 53 ; 61 ; 39 ; 36 ; 10 ; 19 ; 39 ; 46 ; 26 ; 30 ;
