Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 212 ; 274 ; 203 ; 236 ; 149 ; 171 ; 179 ; 194 ; 333 ; 285 ; 354 ; 361 ; 383 ; 360 ; 499 ; 461 ; 233 ; 221 ; 440 ; 407 ; 250 ; 329 ; 303 
Fevereiro; 219 ; 262 ; 194 ; 309 ; 236 ; 109 ; 168 ; 169 ; 257 ; 298 ; 298 ; 418 ; 367 ; 466 ; 501 ; 408 ; 342 ; 426 ; 241 ; 277 ; 235 ; 244 ; 229 
Março; 195 ; 309 ; 223 ; 180 ; 221 ; 200 ; 193 ; 298 ; 279 ; 301 ; 340 ; 234 ; 338 ; 366 ; 402 ; 365 ; 380 ; 310 ; 340 ; 307 ; 213 ; 263 ; 429 
Abril; 244 ; 215 ; 174 ; 226 ; 175 ; 200 ; 218 ; 219 ; 234 ; 303 ; 303 ; 428 ; 376 ; 424 ; 580 ; 401 ; 309 ; 436 ; 412 ; 338 ; 59 ; 257 ; 241 
Maio; 226 ; 276 ; 166 ; 138 ; 160 ; 160 ; 213 ; 246 ; 348 ; 287 ; 388 ; 351 ; 408 ; 527 ; 515 ; 437 ; 397 ; 365 ; 303 ; 221 ; 293 ; 315 ; 418 
Junho; 270 ; 186 ; 218 ; 148 ; 162 ; 228 ; 233 ; 224 ; 233 ; 312 ; 341 ; 373 ; 396 ; 475 ; 417 ; 401 ; 352 ; 367 ; 495 ; 336 ; 291 ; 360 ; 332 
Julho; 185 ; 172 ; 245 ; 198 ; 164 ; 157 ; 236 ; 242 ; 382 ; 296 ; 351 ; 412 ; 439 ; 426 ; 494 ; 416 ; 369 ; 468 ; 409 ; 468 ; 162 ; 375 ;
Agosto; 231 ; 199 ; 70 ; 139 ; 163 ; 224 ; 219 ; 220 ; 265 ; 246 ; 393 ; 342 ; 500 ; 471 ; 588 ; 392 ; 424 ; 435 ; 426 ; 287 ; 323 ; 410 ;
Setembro; 262 ; 128 ; 268 ; 120 ; 188 ; 155 ; 242 ; 246 ; 371 ; 297 ; 446 ; 332 ; 446 ; 370 ; 514 ; 342 ; 355 ; 444 ; 409 ; 333 ; 330 ; 333 ;
Outubro; 227 ; 166 ; 202 ; 157 ; 110 ; 122 ; 97 ; 212 ; 281 ; 308 ; 301 ; 293 ; 446 ; 398 ; 452 ; 421 ; 320 ; 335 ; 279 ; 333 ; 362 ; 347 ;
Novembro; 163 ; 144 ; 142 ; 121 ; 147 ; 184 ; 179 ; 252 ; 246 ; 311 ; 361 ; 302 ; 368 ; 414 ; 403 ; 288 ; 292 ; 332 ; 168 ; 224 ; 278 ; 231 ;
Dezembro; 228 ; 154 ; 210 ; 150 ; 157 ; 117 ; 149 ; 290 ; 284 ; 334 ; 382 ; 248 ; 421 ; 352 ; 366 ; 386 ; 379 ; 272 ; 395 ; 250 ; 254 ; 219 ;
