Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 452 ; 391 ; 423 ; 269 ; 269 ; 279 ; 230 ; 235 ; 302 ; 329 ; 173 ; 308 ; 377 ; 407 ; 304 ; 347 ; 320 ; 191 ; 330 ; 262 ; 338 ; 393 ; 342 
Fevereiro; 525 ; 368 ; 455 ; 192 ; 113 ; 214 ; 172 ; 245 ; 218 ; 285 ; 230 ; 314 ; 373 ; 280 ; 381 ; 365 ; 336 ; 334 ; 269 ; 326 ; 218 ; 99 ; 317 
Março; 409 ; 452 ; 349 ; 155 ; 287 ; 202 ; 230 ; 213 ; 363 ; 318 ; 290 ; 305 ; 390 ; 446 ; 321 ; 295 ; 352 ; 236 ; 278 ; 254 ; 259 ; 541 ; 376 
Abril; 530 ; 458 ; 370 ; 137 ; 286 ; 244 ; 177 ; 257 ; 402 ; 249 ; 224 ; 295 ; 346 ; 398 ; 421 ; 353 ; 330 ; 359 ; 272 ; 184 ; 215 ; 319 ; 236 
Maio; 532 ; 646 ; 398 ; 248 ; 252 ; 238 ; 222 ; 248 ; 296 ; 269 ; 275 ; 350 ; 420 ; 287 ; 359 ; 289 ; 276 ; 397 ; 224 ; 303 ; 390 ; 419 ; 321 
Junho; 648 ; 410 ; 365 ; 310 ; 227 ; 235 ; 304 ; 302 ; 339 ; 290 ; 259 ; 368 ; 373 ; 382 ; 395 ; 388 ; 282 ; 263 ; 369 ; 221 ; 416 ; 292 ; 409 
Julho; 527 ; 486 ; 337 ; 311 ; 287 ; 240 ; 162 ; 250 ; 386 ; 364 ; 264 ; 427 ; 451 ; 396 ; 403 ; 381 ; 406 ; 520 ; 427 ; 425 ; 290 ; 450 ;
Agosto; 729 ; 813 ; 423 ; 357 ; 399 ; 384 ; 344 ; 328 ; 375 ; 290 ; 352 ; 408 ; 499 ; 425 ; 349 ; 271 ; 418 ; 271 ; 237 ; 290 ; 284 ; 422 ;
Setembro; 547 ; 483 ; 438 ; 303 ; 269 ; 340 ; 339 ; 289 ; 413 ; 318 ; 464 ; 409 ; 412 ; 348 ; 533 ; 313 ; 353 ; 475 ; 387 ; 368 ; 228 ; 255 ;
Outubro; 618 ; 491 ; 200 ; 295 ; 322 ; 257 ; 237 ; 354 ; 464 ; 199 ; 382 ; 387 ; 460 ; 359 ; 463 ; 313 ; 317 ; 294 ; 324 ; 202 ; 417 ; 335 ;
Novembro; 588 ; 449 ; 313 ; 277 ; 271 ; 134 ; 293 ; 275 ; 363 ; 260 ; 421 ; 376 ; 423 ; 450 ; 344 ; 317 ; 364 ; 372 ; 192 ; 111 ; 261 ; 354 ;
Dezembro; 471 ; 429 ; 300 ; 301 ; 288 ; 250 ; 239 ; 377 ; 366 ; 403 ; 294 ; 371 ; 364 ; 443 ; 319 ; 370 ; 344 ; 254 ; 363 ; 330 ; 339 ; 190 ;
