Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 1 ; 16 ; 11 ; 1 ; 12 ; -   ; 2 ; 14 ; 18 ; 12 ; 16 ; 26 ; 15 ; 36 ; 42 ; 32 ; 12 ; 38 ; 41 ; 30 ; 10 ; 29 ; 5 
Fevereiro; -   ; 3 ; 3 ; 0 ; 12 ; 0 ; 16 ; 18 ; 16 ; 13 ; 17 ; 13 ; 19 ; 30 ; 19 ; 42 ; 36 ; 28 ; 6 ; 5 ; 17 ; 5 ; -   
Março; -   ; 2 ; 12 ; 1 ; 12 ; 0 ; 1 ; 16 ; 1 ; 12 ; 17 ; 1 ; 36 ; 11 ; 33 ; 7 ; 23 ; 34 ; 6 ; 35 ; 3 ; 12 ; 12 
Abril; -   ; 1 ; 1 ; 2 ; 1 ; 0 ; 15 ; 1 ; 16 ; 12 ; 12 ; 18 ; 6 ; 23 ; 29 ; 21 ; 18 ; 6 ; 40 ; 0 ; 5 ; -   ; 5 
Maio; -   ; 20 ; 17 ; 16 ; 14 ; 1 ; 17 ; 11 ; 1 ; 12 ; 16 ; 9 ; 34 ; 38 ; 24 ; 36 ; 12 ; 6 ; 7 ; 23 ; -   ; 24 ; 26 
Junho; -   ; 3 ; 14 ; 3 ; 2 ; 32 ; 22 ; 12 ; 17 ; 13 ; 13 ; 22 ; 9 ; 16 ; 36 ; 33 ; 25 ; 25 ; 35 ; -   ; 4 ; 18 ; 18 
Julho; -   ; 12 ; 15 ; 11 ; 3 ; 7 ; 2 ; 18 ; 17 ; 13 ; 30 ; 16 ; 35 ; 24 ; 54 ; 18 ; 18 ; 6 ; 16 ; 25 ; -   ; 0 ;
Agosto; -   ; 49 ; 32 ; 2 ; 16 ; 17 ; 32 ; 17 ; 12 ; 13 ; 28 ; 18 ; 19 ; 20 ; 24 ; 26 ; 30 ; 26 ; -   ; -   ; 18 ; 36 ;
Setembro; -   ; 13 ; 18 ; 1 ; -   ; 15 ; 17 ; 31 ; 11 ; 17 ; 34 ; 15 ; 19 ; 19 ; 52 ; 25 ; 20 ; 19 ; 36 ; 6 ; 20 ; 5 ;
Outubro; -   ; 17 ; 4 ; 16 ; 15 ; 18 ; 16 ; 31 ; 14 ; 16 ; 35 ; 13 ; 35 ; 32 ; 35 ; 47 ; 33 ; 18 ; 21 ; 27 ; 38 ; 12 ;
Novembro; 15 ; 2 ; 0 ; 1 ; 0 ; 16 ; 18 ; 31 ; 12 ; 15 ; 7 ; 17 ; 24 ; 27 ; 27 ; 28 ; 33 ; 18 ; 37 ; 31 ; 15 ; 18 ;
Dezembro; 0 ; 12 ; 15 ; 1 ; 15 ; 0 ; 2 ; 1 ; 11 ; 17 ; 14 ; 19 ; 19 ; 21 ; 33 ; 31 ; 16 ; 23 ; 5 ; 17 ; 1 ; 12 ;
