Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 305 ; 201 ; 165 ; 313 ; 472 ; 328 ; 309 ; 418 ; 551 ; 302 ; 507 ; 616 ; 605 ; 572 ; 634 ; 537 ; 385 ; 263 ; 348 ; 368 ; 322 ; 306 ; 285 
Fevereiro; 291 ; 225 ; 237 ; 250 ; 968 ; 283 ; 286 ; 435 ; 483 ; 468 ; 452 ; 606 ; 610 ; 483 ; 524 ; 400 ; 323 ; 360 ; 303 ; 376 ; 344 ; 326 ; 271 
Março; 152 ; 132 ; 164 ; 388 ; 532 ; 304 ; 367 ; 528 ; 486 ; 529 ; 618 ; 519 ; 669 ; 609 ; 588 ; 558 ; 526 ; 434 ; 511 ; 379 ; 305 ; 266 ; 378 
Abril; 212 ; 103 ; 96 ; 249 ; 285 ; 287 ; 321 ; 369 ; 518 ; 468 ; 517 ; 637 ; 682 ; 874 ; 794 ; 558 ; 412 ; 396 ; 459 ; 337 ; 196 ; 352 ; 220 
Maio; 226 ; 130 ; 88 ; 361 ; 216 ; 288 ; 312 ; 334 ; 376 ; 401 ; 464 ; 612 ; 628 ; 577 ; 598 ; 479 ; 403 ; 354 ; 360 ; 364 ; 360 ; 271 ; 435 
Junho; 239 ; 49 ; 206 ; 184 ; 373 ; 267 ; 305 ; 363 ; 388 ; 353 ; 443 ; 527 ; 411 ; 413 ; 428 ; 382 ; 296 ; 395 ; 506 ; 269 ; 323 ; 398 ; 310 
Julho; 176 ; 73 ; 162 ; 367 ; 496 ; 217 ; 313 ; 358 ; 423 ; 318 ; 363 ; 376 ; 503 ; 569 ; 657 ; 347 ; 361 ; 444 ; 325 ; 403 ; 240 ; 417 ;
Agosto; 193 ; 57 ; 163 ; 432 ; 514 ; 236 ; 293 ; 310 ; 328 ; 330 ; 514 ; 477 ; 535 ; 551 ; 569 ; 401 ; 387 ; 332 ; 354 ; 345 ; 281 ; 411 ;
Setembro; 109 ; 114 ; 207 ; 584 ; 407 ; 237 ; 321 ; 335 ; 262 ; 335 ; 522 ; 480 ; 568 ; 450 ; 487 ; 391 ; 375 ; 476 ; 470 ; 339 ; 393 ; 280 ;
Outubro; 250 ; 101 ; 251 ; 869 ; 263 ; 202 ; 100 ; 423 ; 398 ; 365 ; 316 ; 431 ; 515 ; 498 ; 467 ; 354 ; 396 ; 277 ; 174 ; 345 ; 344 ; 341 ;
Novembro; 128 ; 85 ; 169 ; 913 ; 321 ; 285 ; 323 ; 368 ; 347 ; 413 ; 576 ; 630 ; 595 ; 565 ; 603 ; 284 ; 265 ; 444 ; 269 ; 304 ; 293 ; 326 ;
Dezembro; 123 ; 124 ; 309 ; 277 ; 267 ; 216 ; 408 ; 523 ; 422 ; 495 ; 574 ; 584 ; 647 ; 610 ; 546 ; 384 ; 385 ; 349 ; 528 ; 392 ; 308 ; 294 ;
