Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 376 ; 356 ; 332 ; 73 ; 58 ; 48 ; 184 ; 60 ; 59 ; 80 ; 60 ; 97 ; 46 ; 39 ; 61 ; 43 ; 45 ; 46 ; 51 ; 20 ; 39 ; 42 ; 44 
Fevereiro; 283 ; 226 ; 324 ; 22 ; 39 ; 48 ; 107 ; 44 ; 59 ; 49 ; 57 ; 63 ; 35 ; 43 ; 54 ; 67 ; 35 ; 20 ; 15 ; 27 ; 39 ; 22 ; 32 
Março; 264 ; 332 ; 320 ; 44 ; 54 ; 84 ; 63 ; 46 ; 45 ; 86 ; 84 ; 74 ; 42 ; 55 ; 36 ; 40 ; 50 ; 26 ; 42 ; 22 ; 21 ; 37 ; 25 
Abril; 409 ; 252 ; 274 ; 47 ; 43 ; 47 ; 94 ; 65 ; 42 ; 57 ; 77 ; 89 ; 44 ; 50 ; 72 ; 38 ; 5 ; 39 ; 38 ; 22 ; 5 ; 34 ; 32 
Maio; 299 ; 460 ; 242 ; 31 ; 50 ; 82 ; 102 ; 45 ; 87 ; 58 ; 63 ; 92 ; 53 ; 55 ; 57 ; 62 ; 70 ; 51 ; 10 ; 20 ; 44 ; 40 ; 53 
Junho; 408 ; 120 ; 71 ; 41 ; 39 ; 50 ; 70 ; 66 ; 57 ; 63 ; 83 ; 58 ; 35 ; 52 ; 69 ; 33 ; 25 ; 35 ; 26 ; 17 ; 19 ; 23 ; 37 
Julho; 394 ; 224 ; 32 ; 68 ; 60 ; 89 ; 74 ; 46 ; 71 ; 80 ; 56 ; 140 ; 40 ; 45 ; 34 ; 53 ; 50 ; 30 ; 27 ; 36 ; 16 ; 32 ;
Agosto; 307 ; 188 ; 153 ; 50 ; 61 ; 63 ; 82 ; 61 ; 69 ; 92 ; 76 ; 70 ; 38 ; 47 ; 53 ; 42 ; 20 ; 51 ; 31 ; 32 ; 23 ; 27 ;
Setembro; 327 ; 292 ; 135 ; 77 ; 69 ; 94 ; 71 ; 68 ; 85 ; 46 ; 84 ; 142 ; 95 ; 45 ; 70 ; 44 ; 38 ; 46 ; 26 ; 22 ; 25 ; 42 ;
Outubro; 322 ; 279 ; 107 ; 66 ; 89 ; 82 ; 81 ; 47 ; 76 ; 74 ; 105 ; 17 ; 6 ; 49 ; 49 ; 35 ; 46 ; 52 ; 35 ; 30 ; 10 ; 28 ;
Novembro; 342 ; 219 ; 68 ; 44 ; 46 ; 71 ; 74 ; 62 ; 64 ; 92 ; 112 ; 33 ; 47 ; 58 ; 45 ; 51 ; 32 ; 28 ; 21 ; 44 ; 30 ; 62 ;
Dezembro; 272 ; 287 ; 44 ; 74 ; 81 ; 57 ; 77 ; 61 ; 55 ; 57 ; 123 ; 38 ; 51 ; 64 ; 74 ; 82 ; 43 ; 36 ; 26 ; 29 ; 36 ; 32 ;
