Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 105 ; 158 ; 170 ; 103 ; 105 ; 96 ; 86 ; 106 ; 96 ; 130 ; 92 ; 73 ; 50 ; 117 ; 170 ; 131 ; 90 ; 118 ; 92 ; 114 ; 90 ; 79 ; 114 
Fevereiro; 170 ; 160 ; 87 ; 110 ; 84 ; 75 ; 91 ; 109 ; 105 ; 145 ; 66 ; 90 ; 65 ; 152 ; 192 ; 108 ; 110 ; 79 ; 60 ; 74 ; 77 ; 128 ; 66 
Março; 84 ; 143 ; 134 ; 67 ; 117 ; 77 ; 104 ; 113 ; 114 ; 127 ; 95 ; 63 ; 103 ; 189 ; 113 ; 113 ; 98 ; 117 ; 110 ; 79 ; 60 ; 67 ; 132 
Abril; 155 ; 79 ; 118 ; 62 ; 80 ; 72 ; 94 ; 113 ; 97 ; 128 ; 75 ; 78 ; 116 ; 143 ; 133 ; 108 ; 74 ; 70 ; 67 ; 96 ; 18 ; 111 ; 81 
Maio; 140 ; 139 ; 92 ; 87 ; 83 ; 81 ; 78 ; 108 ; 94 ; 120 ; 67 ; 56 ; 106 ; 159 ; 156 ; 86 ; 76 ; 70 ; 83 ; 90 ; 78 ; 73 ; 88 
Junho; 119 ; 47 ; 96 ; 79 ; 100 ; 77 ; 87 ; 117 ; 111 ; 108 ; 50 ; 71 ; 66 ; 188 ; 110 ; 122 ; 88 ; 91 ; 55 ; 66 ; 52 ; 75 ; 70 
Julho; 108 ; 121 ; 69 ; 97 ; 107 ; 79 ; 99 ; 97 ; 105 ; 105 ; 63 ; 50 ; 97 ; 141 ; 123 ; 59 ; 68 ; 76 ; 85 ; 115 ; 21 ; 121 ;
Agosto; 108 ; 164 ; 92 ; 80 ; 100 ; 94 ; 126 ; 101 ; 97 ; 118 ; 70 ; 50 ; 144 ; 130 ; 116 ; 111 ; 63 ; 67 ; 52 ; 54 ; 88 ; 78 ;
Setembro; 166 ; 140 ; 88 ; 106 ; 109 ; 85 ; 72 ; 124 ; 103 ; 121 ; 72 ; 62 ; 132 ; 134 ; 109 ; 105 ; 65 ; 96 ; 81 ; 77 ; 86 ; 112 ;
Outubro; 107 ; 153 ; 83 ; 105 ; 114 ; 95 ; 75 ; 138 ; 103 ; 122 ; 63 ; 49 ; 147 ; 136 ; 124 ; 98 ; 68 ; 93 ; 52 ; 72 ; 79 ; 63 ;
Novembro; 91 ; 74 ; 88 ; 111 ; 79 ; 111 ; 94 ; 130 ; 126 ; 126 ; 79 ; 59 ; 127 ; 145 ; 121 ; 70 ; 68 ; 62 ; 44 ; 57 ; 58 ; 70 ;
Dezembro; 153 ; 94 ; 69 ; 124 ; 93 ; 85 ; 120 ; 135 ; 142 ; 81 ; 81 ; 55 ; 94 ; 119 ; 121 ; 125 ; 94 ; 79 ; 110 ; 100 ; 66 ; 125 ;
