Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 1.133 ; 1.378 ; 967 ; 1.296 ; 718 ; 1.053 ; 495 ; 980 ; 1.187 ; 1.396 ; 1.557 ; 1.334 ; 1.118 ; 1.992 ; 1.708 ; 2.019 ; 1.309 ; 1.085 ; 1.090 ; 925 ; 539 ; 507 ; 537 
Fevereiro; 602 ; 283 ; 387 ; 767 ; 666 ; 364 ; 189 ; 660 ; 768 ; 913 ; 1.060 ; 745 ; 830 ; 1.095 ; 1.140 ; 1.121 ; 929 ; 664 ; 599 ; 507 ; 367 ; 391 ; 197 
Março; 415 ; 102 ; 197 ; 240 ; 386 ; 244 ; 184 ; 649 ; 306 ; 621 ; 591 ; 385 ; 504 ; 614 ; 820 ; 671 ; 490 ; 498 ; 439 ; 314 ; 184 ; 305 ; 327 
Abril; 217 ; 105 ; 279 ; 204 ; 276 ; 122 ; 105 ; 198 ; 233 ; 262 ; 191 ; 267 ; 378 ; 357 ; 427 ; 254 ; 170 ; 154 ; 201 ; 199 ; 125 ; 103 ; 136 
Maio; 116 ; 477 ; 257 ; 199 ; 302 ; 197 ; 154 ; 117 ; 230 ; 195 ; 169 ; 225 ; 266 ; 320 ; 315 ; 238 ; 182 ; 196 ; 167 ; 141 ; 223 ; 161 ; 211 
Junho; 86 ; 231 ; 209 ; 85 ; 196 ; 137 ; 128 ; 79 ; 209 ; 148 ; 196 ; 204 ; 203 ; 268 ; 149 ; 157 ; 155 ; 189 ; 227 ; 114 ; 107 ; 99 ; 122 
Julho; 347 ; 131 ; 364 ; 247 ; 222 ; 135 ; 155 ; 181 ; 188 ; 131 ; 137 ; 183 ; 211 ; 329 ; 260 ; 176 ; 154 ; 178 ; 96 ; 174 ; 98 ; 163 ;
Agosto; 289 ; 205 ; 103 ; 348 ; 269 ; 153 ; 160 ; 162 ; 252 ; 234 ; 317 ; 315 ; 396 ; 414 ; 451 ; 365 ; 328 ; 294 ; 230 ; 252 ; 150 ; 277 ;
Setembro; 553 ; 548 ; 484 ; 192 ; 390 ; 204 ; 200 ; 398 ; 621 ; 431 ; 522 ; 483 ; 592 ; 456 ; 565 ; 380 ; 398 ; 391 ; 359 ; 162 ; 258 ; 226 ;
Outubro; 607 ; 592 ; 630 ; 454 ; 732 ; 247 ; 366 ; 513 ; 587 ; 652 ; 547 ; 618 ; 627 ; 838 ; 706 ; 467 ; 408 ; 407 ; 295 ; 328 ; 326 ; 415 ;
Novembro; 784 ; 896 ; 585 ; 318 ; 801 ; 288 ; 381 ; 539 ; 662 ; 683 ; 838 ; 761 ; 879 ; 1.400 ; 879 ; 794 ; 738 ; 592 ; 554 ; 384 ; 201 ; 266 ;
Dezembro; 1.494 ; 872 ; 1.116 ; 512 ; 1.030 ; 335 ; 521 ; 752 ; 1.324 ; 1.241 ; 1.181 ; 923 ; 1.459 ; 1.508 ; 1.412 ; 1.104 ; 1.198 ; 852 ; 769 ; 591 ; 641 ; 447 ;
