Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; -   ; 61 ; 64 ; 62 ; 32 ; 32 ; -   ; 73 ; 67 ; 64 ; 122 ; 118 ; 56 ; 70 ; 67 ; 53 ; 58 ; 35 ; 30 ; 40 ; 41 ; 60 ; 98 
Fevereiro; 90 ; 80 ; 32 ; 62 ; 62 ; 62 ; 62 ; 45 ; 24 ; 59 ; 57 ; 34 ; 51 ; 51 ; 61 ; 36 ; 1 ; 10 ; 20 ; 30 ; 30 ; 74 ; 0 
Março; 30 ; 103 ; 32 ; 64 ; 62 ; 62 ; 50 ; 35 ; 83 ; 110 ; 83 ; 81 ; 88 ; 70 ; 83 ; 93 ; 110 ; 66 ; 66 ; 5 ; -   ; 68 ; 104 
Abril; 90 ; 77 ; 32 ; -   ; 62 ; -   ; 20 ; 32 ; 58 ; 74 ; 80 ; 49 ; 72 ; 76 ; 62 ; 44 ; 47 ; 15 ; 51 ; 75 ; 55 ; 30 ; 0 
Maio; 60 ; 62 ; 32 ; 62 ; 30 ; 62 ; 50 ; 35 ; 58 ; 63 ; 97 ; 97 ; 57 ; 84 ; 95 ; 56 ; 64 ; 10 ; 30 ; 0 ; 15 ; 81 ; 162 
Junho; 92 ; 32 ; 62 ; 62 ; 62 ; 62 ; 20 ; 55 ; 69 ; 109 ; 62 ; 149 ; 36 ; 70 ; 48 ; 80 ; 21 ; 51 ; 43 ; 66 ; 80 ; 93 ; -   
Julho; 90 ; 128 ; 92 ; 62 ; 92 ; 62 ; 50 ; 16 ; 114 ; 74 ; 40 ; 53 ; 95 ; 103 ; 59 ; 31 ; 10 ; 30 ; 68 ; -   ; 24 ; 85 ;
Agosto; 150 ; 46 ; 60 ; 124 ; 62 ; 30 ; 65 ; 32 ; 4 ; 67 ; 77 ; 66 ; 77 ; 68 ; 91 ; 62 ; 83 ; 58 ; 53 ; 35 ; 67 ; 31 ;
Setembro; 60 ; 32 ; 62 ; 94 ; 94 ; 62 ; 65 ; 67 ; 124 ; 75 ; 76 ; 98 ; 58 ; 94 ; 79 ; 60 ; 26 ; 30 ; 25 ; 56 ; 40 ; 76 ;
Outubro; 92 ; -   ; 123 ; 62 ; 92 ; 62 ; 36 ; 41 ; 80 ; 59 ; 138 ; 53 ; 76 ; 50 ; 77 ; 66 ; 43 ; 10 ; 100 ; 30 ; 51 ; 53 ;
Novembro; 75 ; 32 ; 94 ; 124 ; 62 ; 91 ; 30 ; 111 ; 17 ; 76 ; 88 ; 75 ; 81 ; 72 ; 59 ; 59 ; 49 ; 25 ; 15 ; 48 ; 30 ; 41 ;
Dezembro; 108 ; 32 ; 62 ; 92 ; 94 ; 62 ; 35 ; 48 ; 97 ; 83 ; 58 ; 85 ; 79 ; 90 ; 59 ; 91 ; 53 ; 104 ; 83 ; 35 ; 40 ; 17 ;
