Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 103 ; 61 ; 75 ; 116 ; 34 ; 39 ; 51 ; 91 ; 95 ; 117 ; 100 ; 121 ; 122 ; 175 ; 200 ; 154 ; 191 ; 167 ; 161 ; 150 ; 160 ; 114 ; 212 
Fevereiro; 101 ; 80 ; 75 ; 97 ; 34 ; 51 ; 42 ; 86 ; 90 ; 115 ; 130 ; 120 ; 130 ; 142 ; 186 ; 174 ; 123 ; 92 ; 118 ; 170 ; 100 ; 147 ; 145 
Março; 91 ; 70 ; 74 ; 114 ; 25 ; 42 ; 91 ; 89 ; 79 ; 107 ; 83 ; 127 ; 119 ; 119 ; 168 ; 137 ; 124 ; 156 ; 208 ; 106 ; 125 ; 133 ; 211 
Abril; 87 ; 64 ; 76 ; 42 ; 65 ; 42 ; 52 ; 76 ; 88 ; 124 ; 88 ; 98 ; 132 ; 162 ; 179 ; 127 ; 159 ; 112 ; 135 ; 143 ; 62 ; 153 ; 91 
Maio; 86 ; 110 ; 44 ; 84 ; 22 ; 48 ; 48 ; 50 ; 79 ; 58 ; 85 ; 104 ; 127 ; 158 ; 160 ; 148 ; 98 ; 113 ; 129 ; 74 ; 104 ; 160 ; 154 
Junho; 84 ; 26 ; 77 ; 39 ; 62 ; 33 ; 53 ; 61 ; 84 ; 78 ; 113 ; 97 ; 99 ; 103 ; 108 ; 143 ; 99 ; 128 ; 150 ; 141 ; 107 ; 170 ; 75 
Julho; 53 ; 38 ; 27 ; 28 ; 19 ; 37 ; 54 ; 55 ; 67 ; 85 ; 57 ; 76 ; 123 ; 136 ; 136 ; 76 ; 143 ; 136 ; 94 ; 110 ; 97 ; 200 ;
Agosto; 68 ; 60 ; 20 ; 27 ; 41 ; 28 ; 50 ; 63 ; 61 ; 89 ; 90 ; 82 ; 117 ; 122 ; 139 ; 140 ; 98 ; 108 ; 147 ; 84 ; 140 ; 153 ;
Setembro; 87 ; 38 ; 75 ; 22 ; 51 ; 30 ; 51 ; 54 ; 87 ; 79 ; 125 ; 95 ; 121 ; 109 ; 111 ; 120 ; 139 ; 130 ; 144 ; 99 ; 133 ; 151 ;
Outubro; 45 ; 100 ; 70 ; 44 ; 37 ; 22 ; 45 ; 98 ; 94 ; 86 ; 123 ; 105 ; 135 ; 163 ; 134 ; 69 ; 112 ; 146 ; 39 ; 154 ; 151 ; 167 ;
Novembro; 87 ; 56 ; 99 ; 50 ; 41 ; 38 ; 86 ; 75 ; 71 ; 71 ; 171 ; 129 ; 158 ; 159 ; 141 ; 95 ; 154 ; 159 ; 90 ; 117 ; 93 ; 145 ;
Dezembro; 68 ; 68 ; 80 ; 23 ; 54 ; 71 ; 87 ; 87 ; 132 ; 136 ; 116 ; 106 ; 130 ; 171 ; 177 ; 118 ; 105 ; 131 ; 220 ; 122 ; 165 ; 146 ;
