Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 20 ; 10 ; -   ; -   ; 11 ; 24 ; 1 ; 17 ; 15 ; 4 ; 8 ; 14 ; 3 ; 2 ; 9 ; 6 ; 9 ; 10 ; 5 ; 5 ; -   ; -   ; 5 
Fevereiro; 12 ; -   ; 1 ; -   ; -   ; 11 ; 1 ; 1 ; 1 ; 16 ; 1 ; 12 ; 7 ; 6 ; 3 ; 5 ; 0 ; 5 ; 5 ; 0 ; 5 ; 5 ; 5 
Março; 20 ; -   ; 10 ; -   ; 1 ; 0 ; 1 ; 16 ; 0 ; 0 ; 1 ; 4 ; 8 ; 7 ; 5 ; 4 ; 6 ; -   ; 0 ; 5 ; -   ; -   ; 5 
Abril; 10 ; 11 ; 0 ; 1 ; -   ; 10 ; 1 ; 1 ; 1 ; 1 ; 7 ; 9 ; 8 ; 7 ; 9 ; 1 ; 6 ; -   ; 5 ; 9 ; -   ; 5 ; -   
Maio; 10 ; 11 ; 0 ; 0 ; -   ; 1 ; 0 ; 16 ; 3 ; 1 ; 0 ; 7 ; 5 ; 5 ; 9 ; 4 ; -   ; 5 ; 10 ; -   ; 5 ; 0 ; -   
Junho; 32 ; 1 ; 1 ; 1 ; 1 ; 1 ; 16 ; 2 ; 17 ; 16 ; 10 ; 6 ; 5 ; 4 ; 3 ; 5 ; 10 ; -   ; 0 ; -   ; 5 ; 10 ; 5 
Julho; 30 ; 1 ; -   ; -   ; 0 ; 0 ; 1 ; 16 ; 6 ; 2 ; 7 ; 2 ; 3 ; 4 ; 1 ; 1 ; -   ; -   ; 0 ; 6 ; 1 ; 0 ;
Agosto; 10 ; 10 ; 10 ; -   ; -   ; 0 ; 0 ; 0 ; 6 ; 1 ; 1 ; 4 ; 5 ; 5 ; 1 ; 1 ; 10 ; 5 ; 5 ; 3 ; 6 ; 3 ;
Setembro; 10 ; 0 ; -   ; 10 ; 0 ; 10 ; 1 ; 1 ; 18 ; 11 ; 5 ; 7 ; 4 ; 6 ; 5 ; 1 ; 0 ; 5 ; 0 ; 5 ; 10 ; 5 ;
Outubro; 10 ; 1 ; -   ; 2 ; 10 ; 1 ; 16 ; 16 ; 4 ; 5 ; 7 ; 3 ; 5 ; 5 ; 2 ; 5 ; 5 ; 5 ; 5 ; 6 ; 5 ; -   ;
Novembro; 1 ; 10 ; 0 ; 1 ; 2 ; 2 ; 2 ; 2 ; 17 ; 12 ; 7 ; 5 ; 5 ; 9 ; 5 ; 3 ; 5 ; 5 ; 5 ; 5 ; -   ; 5 ;
Dezembro; -   ; -   ; 0 ; -   ; 1 ; 15 ; 1 ; 2 ; 4 ; 2 ; 5 ; 3 ; 8 ; 6 ; 5 ; 4 ; 5 ; -   ; 0 ; 6 ; 10 ; 5 ;
