UN. DA FEDERAÇÃO;TOCANTINS;;;;;;;;;;;;;;;;;;;;;;
PRODUTO;GASOLINA DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;;;
Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 137 ; 94 ; 60 ; 96 ; 68 ; 123 ; 91 ; 154 ; 151 ; 178 ; 212 ; 186 ; 176 ; 278 ; 287 ; 288 ; 141 ; 160 ; 178 ; 104 ; 85 ; 166 ; 153 
Fevereiro; 94 ; 77 ; 106 ; 98 ; 121 ; 95 ; 63 ; 121 ; 141 ; 155 ; 203 ; 131 ; 143 ; 160 ; 208 ; 163 ; 185 ; 259 ; 143 ; 108 ; 88 ; 111 ; 113 
Março; 62 ; 47 ; 60 ; 52 ; 121 ; 95 ; 74 ; 96 ; 140 ; 176 ; 199 ; 111 ; 111 ; 142 ; 180 ; 201 ; 195 ; 136 ; 213 ; 61 ; 121 ; 149 ; 230 
Abril; 44 ; 62 ; 61 ; 62 ; 69 ; 24 ; 52 ; 106 ; 87 ; 61 ; 167 ; 74 ; 90 ; 149 ; 171 ; 144 ; 153 ; 140 ; 139 ; 74 ; 111 ; 158 ; 84 
Maio; 47 ; 108 ; 60 ; 54 ; 62 ; 90 ; 82 ; 85 ; 102 ; 113 ; 132 ; 69 ; 88 ; 134 ; 189 ; 147 ; 148 ; 148 ; 94 ; 98 ; 188 ; 161 ; 261 
Junho; 94 ; -   ; 106 ; 108 ; 89 ; 78 ; 106 ; 116 ; 145 ; 140 ; 151 ; 96 ; 129 ; 167 ; 171 ; 169 ; 212 ; 215 ; 226 ; 120 ; 93 ; 110 ; 140 
Julho; 48 ; 92 ; 85 ; 33 ; 86 ; 81 ; 118 ; 119 ; 174 ; 155 ; 182 ; 171 ; 128 ; 136 ; 211 ; 171 ; 139 ; 196 ; 121 ; 178 ; 122 ; 163 ;
Agosto; 181 ; 78 ; 20 ; 74 ; 137 ; 96 ; 198 ; 113 ; 106 ; 164 ; 186 ; 128 ; 104 ; 197 ; 172 ; 117 ; 145 ; 113 ; 141 ; 96 ; 94 ; 231 ;
Setembro; 15 ; 79 ; 117 ; 83 ; 86 ; 58 ; 204 ; 81 ; 109 ; 154 ; 159 ; 120 ; 119 ; 149 ; 241 ; 119 ; 193 ; 161 ; 153 ; 102 ; 186 ; 50 ;
Outubro; 46 ; 130 ; 134 ; 51 ; 32 ; 47 ; 61 ; 76 ; 85 ; 103 ; 122 ; 95 ; 159 ; 185 ; 180 ; 152 ; 151 ; 94 ; 135 ; 118 ; 157 ; 222 ;
Novembro; 65 ; 30 ; 68 ; 84 ; 79 ; 49 ; 43 ; 65 ; 166 ; 197 ; 184 ; 147 ; 180 ; 251 ; 204 ; 157 ; 152 ; 163 ; 74 ; 101 ; 97 ; 113 ;
Dezembro; 91 ; 106 ; 110 ; 115 ; 128 ; 75 ; 81 ; 148 ; 155 ; 232 ; 195 ; 182 ; 234 ; 233 ; 260 ; 214 ; 215 ; 172 ; 120 ; 135 ; 153 ; 87 ;
