UN. DA FEDERAÇÃO;ACRE;;;;;;;;;;;;;;;;;;;;
PRODUTO;GLP (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 1.959 ; 2.249 ; 1.806 ; 1.524 ; 1.679 ; 1.296 ; 1.859 ; 1.996 ; 1.951 ; 1.901 ; 2.103 ; 2.120 ; 2.354 ; 2.827 ; 2.888 ; 3.144 ; 2.753 ; 3.083 ; 3.120 ; 2.958 ; 2.820 
Fevereiro; 2.216 ; 2.064 ; 1.818 ; 1.601 ; 1.471 ; 1.432 ; 1.463 ; 1.694 ; 2.087 ; 1.989 ; 2.338 ; 2.880 ; 2.751 ; 2.523 ; 2.688 ; 2.937 ; 2.812 ; 2.808 ; 2.629 ; 2.776 ; 2.841 
Março; 2.305 ; 2.041 ; 2.210 ; 1.625 ; 1.691 ; 1.758 ; 2.106 ; 1.904 ; 2.174 ; 2.330 ; 2.092 ; 2.571 ; 2.555 ; 2.706 ; 2.962 ; 3.132 ; 3.090 ; 3.610 ; 3.133 ; 3.092 ; 3.341 
Abril; 2.190 ; 2.179 ; 1.471 ; 1.715 ; 1.690 ; 1.407 ; 1.974 ; 2.147 ; 2.217 ; 2.311 ; 2.615 ; 2.885 ; 2.727 ; 2.862 ; 2.862 ; 3.062 ; 2.900 ; 2.852 ; 3.028 ; 3.090 ; 3.356 
Maio; 2.267 ; 1.993 ; 2.464 ; 1.648 ; 2.006 ; 1.915 ; 1.756 ; 2.069 ; 2.511 ; 2.551 ; 2.506 ; 2.565 ; 2.523 ; 2.835 ; 2.899 ; 2.915 ; 3.081 ; 3.097 ; 3.261 ; 3.163 ; 3.313 
Junho; 2.058 ; 2.488 ; 1.277 ; 1.583 ; 1.482 ; 1.658 ; 1.709 ; 2.054 ; 1.942 ; 2.076 ; 2.206 ; 2.316 ; 2.425 ; 2.689 ; 2.685 ; 3.076 ; 3.105 ; 3.208 ; 3.079 ; 2.797 ; 3.379 
Julho; 2.199 ; 1.848 ; 2.101 ; 1.821 ; 1.798 ; 1.472 ; 1.421 ; 2.017 ; 2.190 ; 2.602 ; 2.173 ; 2.452 ; 2.778 ; 3.004 ; 3.124 ; 3.224 ; 2.913 ; 2.988 ; 3.068 ; 3.283 ; 3.426 
Agosto; 2.149 ; 2.672 ; 1.582 ; 1.532 ; 1.684 ; 1.819 ; 1.569 ; 1.989 ; 2.381 ; 1.953 ; 2.213 ; 2.530 ; 2.844 ; 2.980 ; 2.931 ; 2.888 ; 3.096 ; 3.258 ; 3.113 ; 3.108 ; 3.205 
Setembro; 2.242 ; 1.772 ; 1.849 ; 1.520 ; 1.337 ; 1.492 ; 1.485 ; 1.703 ; 1.930 ; 2.029 ; 2.227 ; 2.540 ; 2.461 ; 2.747 ; 3.063 ; 3.107 ; 3.107 ; 3.035 ; 2.926 ; 2.948 ; 3.134 
Outubro; 2.174 ; 2.705 ; 2.020 ; 1.887 ; 1.442 ; 1.467 ; 1.533 ; 2.085 ; 2.046 ; 2.276 ; 2.377 ; 2.824 ; 2.878 ; 2.923 ; 3.155 ; 2.985 ; 2.864 ; 2.947 ; 3.140 ; 3.248 ;
Novembro; 2.373 ; 2.274 ; 2.531 ; 1.517 ; 1.951 ; 1.720 ; 1.688 ; 2.145 ; 1.821 ; 1.882 ; 2.339 ; 2.340 ; 2.826 ; 2.859 ; 2.850 ; 2.883 ; 2.948 ; 2.916 ; 3.116 ; 3.035 ;
Dezembro; 2.198 ; 2.526 ; 2.360 ; 2.098 ; 1.665 ; 1.577 ; 1.898 ; 1.989 ; 2.086 ; 2.775 ; 2.446 ; 2.559 ; 2.739 ; 3.110 ; 3.383 ; 3.233 ; 3.404 ; 3.085 ; 3.176 ; 3.353 ;
Total do Ano; 26.329 ; 26.812 ; 23.489 ; 20.070 ; 19.897 ; 19.013 ; 20.461 ; 23.792 ; 25.336 ; 26.675 ; 27.635 ; 30.581 ; 31.860 ; 34.065 ; 35.491 ; 36.586 ; 36.071 ; 36.886 ; 36.789 ; 36.850 ; 28.815 
