Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 12.320 ; 12.721 ; 11.463 ; 10.525 ; 11.237 ; 10.799 ; 11.414 ; 11.968 ; 12.526 ; 11.945 ; 11.871 ; 12.860 ; 13.309 ; 13.579 ; 14.353 ; 14.467 ; 13.529 ; 13.992 ; 14.352 ; 14.262 ; 14.375 ; 15.100 ; 13.648 
Fevereiro; 11.015 ; 11.068 ; 10.813 ; 9.303 ; 9.855 ; 10.159 ; 10.008 ; 10.737 ; 11.322 ; 10.986 ; 10.908 ; 12.025 ; 13.083 ; 12.220 ; 13.410 ; 13.120 ; 13.167 ; 12.378 ; 13.084 ; 12.911 ; 13.166 ; 13.730 ; 13.406 
Março; 12.219 ; 12.582 ; 12.470 ; 9.627 ; 11.225 ; 10.897 ; 11.820 ; 12.259 ; 11.725 ; 11.329 ; 12.390 ; 13.351 ; 14.196 ; 13.093 ; 13.654 ; 14.145 ; 13.947 ; 14.809 ; 14.439 ; 13.663 ; 15.369 ; 15.456 ; 14.881 
Abril; 11.768 ; 11.787 ; 10.040 ; 9.241 ; 11.096 ; 10.854 ; 10.549 ; 11.170 ; 12.118 ; 11.474 ; 12.096 ; 12.995 ; 12.925 ; 13.555 ; 13.704 ; 13.582 ; 13.545 ; 13.310 ; 14.042 ; 13.543 ; 14.820 ; 14.541 ; 13.766 
Maio; 12.726 ; 12.623 ; 12.585 ; 10.548 ; 10.549 ; 10.940 ; 11.776 ; 12.816 ; 12.660 ; 11.828 ; 12.156 ; 13.731 ; 13.707 ; 13.918 ; 14.515 ; 13.722 ; 14.042 ; 14.602 ; 12.636 ; 14.495 ; 15.086 ; 14.425 ; 14.694 
Junho; 12.400 ; 12.715 ; 9.889 ; 9.942 ; 10.776 ; 11.763 ; 12.013 ; 12.214 ; 11.964 ; 12.025 ; 12.497 ; 13.628 ; 13.631 ; 13.206 ; 13.587 ; 14.018 ; 14.234 ; 14.507 ; 15.593 ; 13.641 ; 15.223 ; 15.293 ; 14.900 
Julho; 12.860 ; 11.941 ; 11.948 ; 11.146 ; 11.879 ; 11.992 ; 12.446 ; 12.906 ; 13.617 ; 12.778 ; 14.069 ; 13.965 ; 14.380 ; 14.827 ; 15.331 ; 15.408 ; 14.401 ; 15.390 ; 14.654 ; 15.505 ; 16.691 ; 15.779 ;
Agosto; 12.631 ; 13.000 ; 10.866 ; 11.050 ; 11.427 ; 12.750 ; 12.924 ; 13.339 ; 11.906 ; 12.458 ; 14.086 ; 14.950 ; 14.759 ; 14.851 ; 14.837 ; 14.829 ; 15.779 ; 15.907 ; 15.517 ; 15.643 ; 16.426 ; 15.287 ;
Setembro; 12.910 ; 12.289 ; 11.575 ; 10.996 ; 11.857 ; 12.402 ; 12.319 ; 12.549 ; 11.631 ; 12.418 ; 13.669 ; 13.991 ; 13.550 ; 14.098 ; 15.262 ; 14.414 ; 14.751 ; 15.357 ; 14.121 ; 14.524 ; 16.218 ; 14.656 ;
Outubro; 12.790 ; 12.576 ; 12.316 ; 11.563 ; 11.372 ; 11.814 ; 12.542 ; 13.171 ; 13.117 ; 12.471 ; 13.402 ; 13.548 ; 14.690 ; 14.852 ; 15.343 ; 14.334 ; 14.267 ; 14.821 ; 14.827 ; 15.361 ; 16.489 ; 14.651 ;
Novembro; 12.860 ; 11.534 ; 11.627 ; 10.607 ; 11.125 ; 11.471 ; 12.304 ; 12.501 ; 12.185 ; 11.471 ; 13.265 ; 13.482 ; 13.626 ; 14.069 ; 13.926 ; 13.321 ; 14.267 ; 14.231 ; 14.633 ; 14.489 ; 15.515 ; 14.091 ;
Dezembro; 13.009 ; 13.153 ; 10.955 ; 11.834 ; 11.777 ; 12.538 ; 12.425 ; 12.577 ; 13.141 ; 12.956 ; 14.138 ; 14.519 ; 14.136 ; 14.562 ; 15.609 ; 15.101 ; 14.751 ; 14.891 ; 14.293 ; 15.246 ; 16.391 ; 14.769 ;
