Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 1.854 ; 1.784 ; 1.688 ; 1.730 ; 1.783 ; 1.724 ; 1.864 ; 2.057 ; 2.109 ; 2.011 ; 2.076 ; 2.206 ; 2.315 ; 2.400 ; 2.613 ; 2.531 ; 2.390 ; 2.414 ; 2.505 ; 2.571 ; 2.627 ; 2.498 ; 2.572 
Fevereiro; 1.905 ; 1.976 ; 1.693 ; 1.493 ; 1.684 ; 1.773 ; 1.776 ; 1.832 ; 2.213 ; 1.979 ; 2.232 ; 2.206 ; 2.312 ; 2.268 ; 2.427 ; 2.408 ; 2.432 ; 2.326 ; 2.403 ; 2.482 ; 2.554 ; 2.619 ; 2.537 
Março; 2.187 ; 2.069 ; 2.061 ; 1.808 ; 1.932 ; 1.908 ; 2.179 ; 2.374 ; 2.159 ; 2.318 ; 2.427 ; 2.467 ; 2.578 ; 2.483 ; 2.615 ; 2.658 ; 2.582 ; 2.683 ; 2.697 ; 2.600 ; 2.893 ; 2.996 ; 2.867 
Abril; 1.811 ; 1.910 ; 1.993 ; 1.689 ; 1.972 ; 1.922 ; 1.969 ; 2.191 ; 2.292 ; 2.260 ; 2.101 ; 2.287 ; 2.268 ; 2.642 ; 2.574 ; 2.673 ; 2.534 ; 2.443 ; 2.647 ; 2.683 ; 2.941 ; 2.842 ; 2.635 
Maio; 2.092 ; 2.053 ; 2.128 ; 1.808 ; 1.800 ; 1.938 ; 2.217 ; 2.373 ; 2.191 ; 2.233 ; 2.314 ; 2.390 ; 2.425 ; 2.520 ; 2.639 ; 2.574 ; 2.589 ; 2.806 ; 2.747 ; 2.710 ; 2.951 ; 2.762 ; 2.669 
Junho; 2.063 ; 2.025 ; 1.635 ; 1.704 ; 1.873 ; 2.058 ; 2.119 ; 2.149 ; 2.122 ; 2.296 ; 2.291 ; 2.384 ; 2.408 ; 2.295 ; 2.479 ; 2.550 ; 2.477 ; 2.551 ; 2.542 ; 2.585 ; 2.904 ; 2.896 ; 2.617 
Julho; 1.879 ; 1.989 ; 2.040 ; 1.673 ; 1.979 ; 1.845 ; 2.068 ; 2.000 ; 2.306 ; 2.510 ; 2.310 ; 2.342 ; 2.325 ; 2.533 ; 2.564 ; 2.574 ; 2.386 ; 2.462 ; 2.546 ; 2.692 ; 3.007 ; 2.803 ;
Agosto; 1.965 ; 2.003 ; 1.546 ; 1.832 ; 1.859 ; 1.960 ; 2.120 ; 2.271 ; 2.142 ; 2.258 ; 2.358 ; 2.450 ; 2.442 ; 2.576 ; 2.597 ; 2.545 ; 2.604 ; 2.591 ; 2.575 ; 2.620 ; 2.762 ; 2.706 ;
Setembro; 1.948 ; 1.793 ; 2.026 ; 1.857 ; 1.862 ; 1.913 ; 1.891 ; 2.095 ; 2.262 ; 2.206 ; 2.237 ; 2.307 ; 2.264 ; 2.361 ; 2.488 ; 2.502 ; 2.510 ; 2.478 ; 2.564 ; 2.588 ; 2.655 ; 2.666 ;
Outubro; 1.859 ; 2.009 ; 2.079 ; 1.744 ; 1.914 ; 1.855 ; 2.135 ; 2.212 ; 2.143 ; 2.349 ; 2.502 ; 2.303 ; 2.543 ; 2.433 ; 2.690 ; 2.566 ; 2.420 ; 2.575 ; 2.586 ; 2.731 ; 2.931 ; 2.539 ;
Novembro; 2.050 ; 2.020 ; 1.725 ; 1.681 ; 1.764 ; 1.922 ; 1.937 ; 2.195 ; 1.991 ; 2.081 ; 2.126 ; 2.370 ; 2.293 ; 2.561 ; 2.391 ; 2.333 ; 2.448 ; 2.544 ; 2.551 ; 2.563 ; 2.686 ; 2.645 ;
Dezembro; 2.115 ; 2.160 ; 1.998 ; 1.978 ; 1.973 ; 2.054 ; 2.115 ; 2.186 ; 2.414 ; 2.495 ; 2.442 ; 2.525 ; 2.478 ; 2.657 ; 2.749 ; 2.762 ; 2.807 ; 2.512 ; 2.706 ; 2.877 ; 3.087 ; 2.956 ;
