Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 9.143 ; 10.449 ; 8.888 ; 9.286 ; 9.962 ; 9.394 ; 10.040 ; 13.329 ; 13.564 ; 14.025 ; 13.835 ; 14.702 ; 15.847 ; 16.115 ; 16.471 ; 16.111 ; 14.098 ; 13.857 ; 14.792 ; 14.875 ; 14.301 ; 15.006 ; 14.692 
Fevereiro; 10.280 ; 10.271 ; 10.926 ; 9.549 ; 9.470 ; 9.179 ; 9.204 ; 12.322 ; 13.319 ; 12.298 ; 12.595 ; 14.792 ; 14.965 ; 15.339 ; 15.228 ; 14.588 ; 13.374 ; 13.790 ; 13.611 ; 13.728 ; 13.990 ; 14.879 ; 14.699 
Março; 11.094 ; 11.004 ; 13.081 ; 10.105 ; 10.488 ; 10.201 ; 11.286 ; 13.674 ; 14.140 ; 13.994 ; 15.625 ; 15.974 ; 17.455 ; 15.732 ; 17.074 ; 15.988 ; 14.971 ; 16.406 ; 15.042 ; 15.033 ; 15.554 ; 15.094 ; 15.740 
Abril; 10.048 ; 10.751 ; 9.080 ; 9.728 ; 10.253 ; 9.741 ; 9.386 ; 14.162 ; 13.911 ; 13.521 ; 14.634 ; 15.735 ; 15.676 ; 16.836 ; 17.251 ; 15.746 ; 14.141 ; 13.946 ; 14.678 ; 14.332 ; 15.754 ; 14.976 ; 14.362 
Maio; 10.438 ; 11.298 ; 13.471 ; 10.599 ; 10.041 ; 10.124 ; 10.692 ; 14.178 ; 14.654 ; 14.081 ; 14.628 ; 16.003 ; 16.733 ; 16.142 ; 16.790 ; 14.838 ; 14.310 ; 15.210 ; 15.136 ; 15.016 ; 15.772 ; 15.144 ; 15.376 
Junho; 10.086 ; 11.116 ; 8.517 ; 9.591 ; 9.832 ; 9.692 ; 9.957 ; 13.551 ; 14.151 ; 14.157 ; 14.222 ; 15.374 ; 15.030 ; 14.881 ; 14.996 ; 15.315 ; 14.411 ; 14.806 ; 14.567 ; 13.289 ; 15.731 ; 16.357 ; 14.719 
Julho; 10.779 ; 10.751 ; 12.088 ; 10.359 ; 9.441 ; 9.867 ; 9.681 ; 13.086 ; 14.636 ; 14.241 ; 15.275 ; 15.396 ; 15.636 ; 16.735 ; 17.490 ; 15.395 ; 14.511 ; 15.068 ; 14.863 ; 15.605 ; 16.436 ; 15.490 ;
Agosto; 10.019 ; 12.151 ; 10.532 ; 9.429 ; 9.601 ; 10.127 ; 10.733 ; 14.537 ; 13.691 ; 14.148 ; 15.119 ; 15.901 ; 16.501 ; 17.202 ; 16.357 ; 14.748 ; 14.566 ; 15.013 ; 15.113 ; 14.329 ; 16.361 ; 15.064 ;
Setembro; 10.017 ; 9.784 ; 10.379 ; 9.754 ; 10.033 ; 9.746 ; 10.131 ; 12.573 ; 14.584 ; 14.412 ; 14.173 ; 15.689 ; 15.384 ; 14.817 ; 16.497 ; 14.965 ; 14.872 ; 14.257 ; 14.200 ; 13.971 ; 15.031 ; 14.395 ;
Outubro; 10.116 ; 11.064 ; 11.330 ; 10.087 ; 9.436 ; 9.262 ; 10.318 ; 14.337 ; 15.084 ; 13.854 ; 14.429 ; 15.577 ; 16.408 ; 17.444 ; 16.859 ; 14.636 ; 13.689 ; 15.737 ; 14.430 ; 15.785 ; 15.167 ; 14.900 ;
Novembro; 11.105 ; 10.599 ; 12.633 ; 9.572 ; 10.545 ; 10.377 ; 10.590 ; 13.730 ; 13.361 ; 13.475 ; 14.341 ; 15.938 ; 16.137 ; 16.557 ; 15.160 ; 13.541 ; 14.438 ; 13.740 ; 14.589 ; 14.733 ; 13.948 ; 14.103 ;
Dezembro; 10.108 ; 13.188 ; 10.549 ; 10.297 ; 9.542 ; 10.901 ; 10.478 ; 13.935 ; 14.824 ; 14.094 ; 15.687 ; 15.981 ; 15.798 ; 16.485 ; 16.938 ; 15.133 ; 15.810 ; 15.212 ; 15.055 ; 15.062 ; 16.505 ; 15.641 ;
