Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 57.121 ; 62.842 ; 60.073 ; 53.744 ; 57.039 ; 56.863 ; 59.050 ; 60.416 ; 63.304 ; 64.752 ; 63.007 ; 66.619 ; 68.264 ; 69.639 ; 75.320 ; 74.182 ; 68.037 ; 70.618 ; 72.929 ; 73.627 ; 74.332 ; 78.965 ; 74.285 
Fevereiro; 54.202 ; 55.085 ; 56.146 ; 51.543 ; 52.960 ; 53.544 ; 51.539 ; 54.400 ; 57.549 ; 58.709 ; 58.604 ; 65.091 ; 65.596 ; 62.777 ; 68.345 ; 66.767 ; 68.257 ; 64.157 ; 66.941 ; 67.282 ; 70.193 ; 72.622 ; 72.628 
Março; 59.984 ; 65.414 ; 66.403 ; 55.483 ; 62.111 ; 58.630 ; 61.903 ; 64.179 ; 62.552 ; 61.868 ; 68.023 ; 69.440 ; 71.522 ; 66.155 ; 75.230 ; 73.549 ; 72.261 ; 78.992 ; 75.539 ; 70.270 ; 80.473 ; 78.758 ; 79.450 
Abril; 58.939 ; 61.094 ; 56.956 ; 54.040 ; 59.169 ; 61.000 ; 58.310 ; 60.184 ; 65.217 ; 63.108 ; 65.831 ; 67.479 ; 65.442 ; 70.666 ; 74.082 ; 71.253 ; 70.448 ; 67.824 ; 73.610 ; 73.815 ; 79.625 ; 77.371 ; 68.868 
Maio; 62.064 ; 66.764 ; 66.694 ; 58.151 ; 60.408 ; 61.908 ; 64.799 ; 65.525 ; 64.970 ; 65.713 ; 67.847 ; 71.372 ; 71.106 ; 72.681 ; 78.376 ; 73.425 ; 72.639 ; 75.952 ; 69.383 ; 76.531 ; 80.220 ; 79.621 ; 80.520 
Junho; 63.914 ; 68.237 ; 58.328 ; 56.026 ; 61.960 ; 65.086 ; 65.817 ; 66.844 ; 72.199 ; 67.999 ; 68.515 ; 72.414 ; 72.820 ; 72.045 ; 74.934 ; 77.009 ; 73.472 ; 76.413 ; 83.777 ; 74.044 ; 84.836 ; 85.790 ; 78.602 
Julho; 65.388 ; 66.660 ; 64.691 ; 61.837 ; 66.468 ; 64.881 ; 67.272 ; 66.713 ; 80.893 ; 71.939 ; 75.453 ; 73.589 ; 73.491 ; 78.065 ; 82.091 ; 82.315 ; 78.420 ; 80.793 ; 81.146 ; 85.009 ; 89.557 ; 87.260 ;
Agosto; 66.295 ; 69.393 ; 61.833 ; 61.091 ; 65.751 ; 68.208 ; 68.318 ; 70.317 ; 73.599 ; 69.045 ; 74.767 ; 76.957 ; 76.951 ; 78.724 ; 79.965 ; 80.274 ; 81.654 ; 84.022 ; 81.836 ; 84.176 ; 86.349 ; 86.476 ;
Setembro; 64.334 ; 66.352 ; 62.084 ; 61.980 ; 64.113 ; 63.480 ; 65.800 ; 66.124 ; 73.053 ; 67.721 ; 71.598 ; 71.498 ; 70.406 ; 73.064 ; 77.758 ; 74.717 ; 76.783 ; 78.916 ; 74.869 ; 77.736 ; 83.854 ; 78.730 ;
Outubro; 63.386 ; 67.400 ; 64.204 ; 60.817 ; 59.713 ; 59.354 ; 65.477 ; 68.386 ; 69.803 ; 69.115 ; 68.912 ; 70.089 ; 75.700 ; 76.526 ; 77.752 ; 74.039 ; 73.359 ; 76.303 ; 76.240 ; 81.543 ; 83.850 ; 76.572 ;
Novembro; 62.848 ; 61.842 ; 60.317 ; 57.097 ; 59.837 ; 58.825 ; 63.029 ; 63.575 ; 60.346 ; 63.028 ; 68.517 ; 70.341 ; 70.125 ; 72.305 ; 72.198 ; 68.869 ; 72.319 ; 74.019 ; 75.061 ; 74.400 ; 79.185 ; 76.179 ;
Dezembro; 65.050 ; 69.273 ; 61.793 ; 60.541 ; 63.585 ; 64.085 ; 64.473 ; 66.931 ; 69.204 ; 68.575 ; 72.188 ; 73.519 ; 70.773 ; 74.679 ; 78.917 ; 73.258 ; 76.713 ; 73.867 ; 75.462 ; 79.708 ; 85.442 ; 80.039 ;
