Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 10.696 ; 11.877 ; 11.903 ; 11.247 ; 10.666 ; 10.824 ; 12.114 ; 12.696 ; 11.846 ; 11.686 ; 11.381 ; 12.815 ; 13.715 ; 13.488 ; 14.128 ; 13.208 ; 13.250 ; 13.634 ; 13.639 ; 13.555 ; 13.726 ; 13.553 ; 13.003 
Fevereiro; 11.813 ; 10.788 ; 11.568 ; 11.238 ; 10.547 ; 10.772 ; 11.906 ; 12.353 ; 12.697 ; 11.535 ; 11.633 ; 12.819 ; 13.593 ; 13.478 ; 14.382 ; 13.255 ; 13.358 ; 13.652 ; 13.838 ; 13.818 ; 13.883 ; 12.951 ; 13.980 
Março; 12.870 ; 12.932 ; 13.543 ; 12.236 ; 12.951 ; 12.335 ; 14.225 ; 13.900 ; 11.353 ; 12.657 ; 13.676 ; 14.632 ; 14.694 ; 14.199 ; 14.934 ; 15.015 ; 14.450 ; 15.700 ; 14.882 ; 14.584 ; 16.011 ; 15.354 ; 14.761 
Abril; 12.152 ; 12.403 ; 12.374 ; 11.868 ; 11.771 ; 12.259 ; 13.135 ; 12.564 ; 11.488 ; 13.512 ; 13.348 ; 13.679 ; 13.463 ; 15.537 ; 15.437 ; 14.833 ; 14.443 ; 26.522 ; 15.536 ; 14.921 ; 15.887 ; 14.173 ; 13.471 
Maio; 13.043 ; 12.987 ; 13.792 ; 12.055 ; 11.444 ; 12.252 ; 14.418 ; 13.426 ; 12.787 ; 12.715 ; 13.652 ; 14.400 ; 15.111 ; 14.901 ; 16.177 ; 14.796 ; 14.733 ; 15.131 ; 13.118 ; 15.672 ; 13.463 ; 14.685 ; 14.315 
Junho; 12.944 ; 13.149 ; 11.891 ; 12.013 ; 12.153 ; 13.116 ; 14.202 ; 13.110 ; 11.684 ; 13.713 ; 14.219 ; 14.538 ; 14.368 ; 14.584 ; 15.572 ; 15.479 ; 15.252 ; 15.041 ; 17.516 ; 14.765 ; 15.326 ; 15.048 ; 14.772 
Julho; 13.211 ; 13.292 ; 13.193 ; 12.659 ; 12.999 ; 12.613 ; 14.059 ; 13.097 ; 12.268 ; 13.878 ; 14.771 ; 14.118 ; 14.697 ; 15.533 ; 16.297 ; 15.859 ; 15.194 ; 15.669 ; 14.960 ; 15.858 ; 15.690 ; 15.452 ;
Agosto; 12.953 ; 13.927 ; 12.362 ; 11.485 ; 12.569 ; 13.433 ; 14.465 ; 13.580 ; 12.361 ; 14.044 ; 14.991 ; 14.865 ; 15.624 ; 15.652 ; 15.275 ; 15.489 ; 15.784 ; 15.429 ; 15.683 ; 15.604 ; 15.358 ; 15.499 ;
Setembro; 13.450 ; 12.218 ; 12.545 ; 11.887 ; 11.750 ; 12.451 ; 13.482 ; 12.075 ; 12.761 ; 14.275 ; 13.591 ; 13.709 ; 13.905 ; 14.301 ; 14.408 ; 14.487 ; 14.727 ; 15.528 ; 14.847 ; 14.043 ; 13.937 ; 14.195 ;
Outubro; 12.481 ; 13.415 ; 12.698 ; 12.223 ; 11.597 ; 12.081 ; 13.407 ; 13.144 ; 11.656 ; 14.525 ; 13.491 ; 14.434 ; 14.894 ; 15.470 ; 14.811 ; 14.396 ; 14.004 ; 13.856 ; 14.574 ; 14.540 ; 14.267 ; 14.449 ;
Novembro; 12.807 ; 12.658 ; 12.868 ; 11.341 ; 11.826 ; 12.407 ; 13.330 ; 12.449 ; 11.301 ; 12.740 ; 14.205 ; 13.872 ; 13.933 ; 15.288 ; 14.187 ; 13.447 ; 14.469 ; 14.084 ; 15.102 ; 14.256 ; 13.825 ; 13.787 ;
Dezembro; 12.731 ; 13.279 ; 12.888 ; 11.429 ; 12.964 ; 13.847 ; 14.124 ; 13.079 ; 11.929 ; 14.176 ; 14.946 ; 15.613 ; 14.830 ; 15.683 ; 15.411 ; 15.565 ; 15.583 ; 14.953 ; 15.013 ; 15.377 ; 15.071 ; 14.858 ;
