Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 17.325 ; 18.413 ; 17.570 ; 17.173 ; 18.169 ; 17.558 ; 17.578 ; 17.939 ; 18.934 ; 18.581 ; 18.382 ; 18.716 ; 20.010 ; 20.073 ; 21.125 ; 20.354 ; 19.109 ; 20.229 ; 20.958 ; 20.624 ; 21.286 ; 21.420 ; 20.723 
Fevereiro; 17.450 ; 15.851 ; 16.670 ; 15.862 ; 15.435 ; 17.814 ; 15.098 ; 18.734 ; 17.826 ; 17.061 ; 17.261 ; 17.721 ; 19.440 ; 18.668 ; 19.328 ; 19.046 ; 19.362 ; 18.690 ; 20.038 ; 19.553 ; 20.217 ; 20.023 ; 20.797 
Março; 19.038 ; 18.726 ; 19.791 ; 14.878 ; 18.979 ; 18.202 ; 19.670 ; 19.894 ; 17.850 ; 17.227 ; 20.155 ; 20.377 ; 20.469 ; 19.690 ; 20.203 ; 21.021 ; 20.660 ; 22.638 ; 21.475 ; 19.936 ; 23.807 ; 23.561 ; 24.431 
Abril; 17.477 ; 16.515 ; 16.896 ; 17.259 ; 16.983 ; 18.086 ; 17.023 ; 21.263 ; 18.903 ; 18.249 ; 19.640 ; 19.490 ; 19.314 ; 21.668 ; 21.054 ; 21.110 ; 19.807 ; 20.377 ; 21.751 ; 21.551 ; 23.739 ; 22.372 ; 20.348 
Maio; 19.418 ; 18.882 ; 20.318 ; 16.832 ; 17.723 ; 18.812 ; 19.562 ; 25.127 ; 19.740 ; 17.653 ; 20.412 ; 21.355 ; 21.807 ; 21.976 ; 22.090 ; 21.789 ; 21.856 ; 37.527 ; 22.900 ; 22.630 ; 22.179 ; 22.733 ; 24.440 
Junho; 19.341 ; 18.556 ; 16.325 ; 16.793 ; 18.674 ; 19.937 ; 19.242 ; 24.556 ; 19.715 ; 19.417 ; 20.650 ; 21.116 ; 20.547 ; 20.822 ; 21.137 ; 22.323 ; 22.544 ; 22.430 ; 24.791 ; 20.927 ; 23.477 ; 23.624 ; 24.491 
Julho; 19.397 ; 18.863 ; 19.997 ; 18.927 ; 19.213 ; 18.770 ; 20.609 ; 19.986 ; 21.106 ; 20.675 ; 21.989 ; 21.435 ; 21.925 ; 23.022 ; 23.515 ; 23.915 ; 22.374 ; 37.268 ; 23.160 ; 24.078 ; 24.972 ; 24.797 ;
Agosto; 19.871 ; 20.293 ; 18.374 ; 18.603 ; 19.159 ; 19.514 ; 19.975 ; 20.467 ; 20.011 ; 20.544 ; 21.677 ; 22.891 ; 22.897 ; 23.090 ; 23.030 ; 23.269 ; 24.067 ; 23.747 ; 24.207 ; 23.618 ; 23.436 ; 24.328 ;
Setembro; 18.602 ; 19.248 ; 18.479 ; 18.031 ; 18.170 ; 18.698 ; 19.047 ; 18.653 ; 19.701 ; 20.024 ; 20.600 ; 21.130 ; 20.237 ; 20.761 ; 21.927 ; 22.001 ; 21.637 ; 23.421 ; 22.893 ; 21.954 ; 23.325 ; 22.749 ;
Outubro; 18.095 ; 19.333 ; 20.474 ; 17.179 ; 18.505 ; 17.601 ; 19.840 ; 20.051 ; 20.273 ; 20.353 ; 20.182 ; 20.773 ; 21.691 ; 22.635 ; 22.712 ; 21.231 ; 21.242 ; 22.238 ; 23.061 ; 23.380 ; 23.052 ; 22.438 ;
Novembro; 18.821 ; 18.745 ; 17.143 ; 15.700 ; 17.869 ; 17.949 ; 19.352 ; 18.580 ; 18.176 ; 19.905 ; 20.337 ; 20.900 ; 20.736 ; 20.955 ; 20.782 ; 19.784 ; 21.471 ; 22.038 ; 22.570 ; 21.688 ; 21.593 ; 22.272 ;
Dezembro; 17.660 ; 20.689 ; 18.831 ; 17.528 ; 19.551 ; 20.030 ; 20.160 ; 18.914 ; 19.920 ; 21.502 ; 21.007 ; 21.724 ; 20.357 ; 21.363 ; 22.792 ; 21.566 ; 22.168 ; 22.004 ; 22.486 ; 22.954 ; 23.827 ; 23.333 ;
