UN. DA FEDERAÇÃO;MATO GROSSO;;;;;;;;;;;;;;;;;;;;
PRODUTO;GLP (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 11.961 ; 13.421 ; 13.102 ; 11.602 ; 12.703 ; 12.364 ; 13.614 ; 13.567 ; 13.807 ; 13.752 ; 13.893 ; 14.694 ; 15.412 ; 16.235 ; 17.138 ; 16.752 ; 16.284 ; 17.728 ; 17.548 ; 18.747 ; 18.763 
Fevereiro; 12.885 ; 12.693 ; 12.200 ; 11.683 ; 11.683 ; 12.945 ; 12.510 ; 13.500 ; 13.715 ; 13.374 ; 13.916 ; 14.885 ; 15.910 ; 16.238 ; 16.344 ; 15.364 ; 17.427 ; 17.794 ; 17.670 ; 17.706 ; 18.322 
Março; 13.643 ; 14.036 ; 15.366 ; 12.578 ; 14.041 ; 13.992 ; 15.260 ; 14.830 ; 14.533 ; 14.983 ; 15.781 ; 16.708 ; 16.752 ; 16.167 ; 17.532 ; 21.112 ; 18.992 ; 20.435 ; 19.138 ; 18.215 ; 20.677 
Abril; 13.279 ; 13.156 ; 13.078 ; 12.792 ; 13.548 ; 13.725 ; 13.415 ; 13.415 ; 14.079 ; 14.944 ; 14.817 ; 15.427 ; 15.301 ; 17.173 ; 17.474 ; 17.510 ; 17.238 ; 16.817 ; 18.130 ; 18.627 ; 19.119 
Maio; 13.970 ; 14.535 ; 13.883 ; 12.818 ; 13.484 ; 13.739 ; 14.826 ; 14.776 ; 14.279 ; 14.045 ; 15.130 ; 15.945 ; 16.801 ; 16.946 ; 17.447 ; 16.706 ; 17.829 ; 18.687 ; 14.518 ; 19.164 ; 18.773 
Junho; 13.661 ; 13.787 ; 12.445 ; 11.778 ; 14.300 ; 14.133 ; 13.606 ; 14.108 ; 14.447 ; 15.313 ; 15.124 ; 16.027 ; 16.280 ; 15.932 ; 16.708 ; 17.945 ; 18.417 ; 18.786 ; 23.393 ; 17.245 ; 19.900 
Julho; 13.773 ; 14.249 ; 14.106 ; 13.525 ; 14.550 ; 14.433 ; 14.009 ; 14.790 ; 15.248 ; 15.881 ; 15.872 ; 15.909 ; 17.263 ; 17.726 ; 18.512 ; 19.855 ; 17.813 ; 18.780 ; 18.219 ; 20.094 ; 20.678 
Agosto; 13.945 ; 14.140 ; 12.401 ; 12.868 ; 14.600 ; 14.998 ; 14.471 ; 15.125 ; 13.567 ; 15.176 ; 15.960 ; 16.951 ; 16.999 ; 17.588 ; 17.198 ; 17.540 ; 18.707 ; 19.055 ; 19.294 ; 18.980 ; 18.973 
Setembro; 13.417 ; 13.139 ; 13.359 ; 13.205 ; 13.866 ; 14.365 ; 13.306 ; 12.993 ; 14.158 ; 14.666 ; 14.853 ; 15.220 ; 15.024 ; 15.767 ; 17.309 ; 17.644 ; 18.113 ; 17.912 ; 17.352 ; 17.752 ; 18.051 
Outubro; 13.456 ; 14.547 ; 14.657 ; 13.185 ; 13.542 ; 13.254 ; 14.029 ; 14.485 ; 14.753 ; 15.087 ; 14.629 ; 15.894 ; 16.771 ; 17.371 ; 17.511 ; 17.640 ; 17.626 ; 17.645 ; 18.729 ; 19.219 ;
Novembro; 13.924 ; 13.859 ; 12.558 ; 12.144 ; 13.707 ; 13.294 ; 13.643 ; 13.897 ; 13.423 ; 14.192 ; 15.366 ; 15.401 ; 16.105 ; 16.632 ; 16.387 ; 16.639 ; 17.690 ; 17.948 ; 17.756 ; 17.891 ;
Dezembro; 12.821 ; 14.957 ; 13.004 ; 13.419 ; 13.980 ; 13.739 ; 13.829 ; 14.111 ; 15.146 ; 15.314 ; 15.918 ; 15.606 ; 15.800 ; 16.973 ; 18.368 ; 17.780 ; 18.315 ; 18.205 ; 18.280 ; 19.168 ;
Total do Ano; 160.735 ; 166.519 ; 160.158 ; 151.597 ; 164.003 ; 164.982 ; 166.519 ; 169.598 ; 171.157 ; 176.726 ; 181.259 ; 188.666 ; 194.419 ; 200.747 ; 207.928 ; 212.486 ; 214.452 ; 219.793 ; 220.027 ; 222.808 ; 173.257 
