Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 99.925 ; 111.236 ; 109.518 ; 110.195 ; 107.899 ; 106.588 ; 106.331 ; 109.231 ; 109.279 ; 103.259 ; 100.820 ; 103.953 ; 106.186 ; 109.460 ; 108.580 ; 103.611 ; 109.020 ; 100.718 ; 104.334 ; 103.770 ; 100.808 ; 103.449 ; 96.283 
Fevereiro; 110.295 ; 99.666 ; 108.797 ; 105.692 ; 101.813 ; 105.626 ; 98.482 ; 102.473 ; 106.326 ; 95.399 ; 101.577 ; 99.873 ; 105.547 ; 100.967 ; 102.806 ; 104.531 ; 111.151 ; 102.505 ; 101.123 ; 100.251 ; 99.652 ; 97.964 ; 96.688 
Março; 114.710 ; 118.038 ; 129.786 ; 108.873 ; 117.222 ; 114.847 ; 118.346 ; 112.455 ; 111.777 ; 104.963 ; 117.657 ; 113.090 ; 113.191 ; 103.990 ; 108.839 ; 114.524 ; 119.050 ; 124.208 ; 109.355 ; 104.199 ; 117.970 ; 114.593 ; 108.419 
Abril; 110.149 ; 106.790 ; 116.698 ; 106.788 ; 112.992 ; 110.978 ; 107.051 ; 106.101 ; 115.365 ; 107.403 ; 113.352 ; 107.944 ; 103.102 ; 114.683 ; 110.677 ; 114.208 ; 112.295 ; 104.877 ; 109.912 ; 107.823 ; 113.004 ; 104.487 ; 94.447 
Maio; 120.378 ; 121.673 ; 124.600 ; 112.821 ; 114.813 ; 114.008 ; 119.302 ; 117.529 ; 117.043 ; 108.444 ; 120.481 ; 115.134 ; 119.216 ; 117.035 ; 118.502 ; 118.499 ; 120.405 ; 121.791 ; 97.017 ; 112.847 ; 108.749 ; 103.127 ; 109.590 
Junho; 121.623 ; 122.637 ; 112.798 ; 109.726 ; 118.782 ; 122.414 ; 118.306 ; 117.973 ; 114.923 ; 114.161 ; 121.020 ; 116.764 ; 116.636 ; 114.897 ; 114.227 ; 122.558 ; 126.793 ; 123.062 ; 136.240 ; 106.645 ; 113.634 ; 112.449 ; 108.571 
Julho; 120.968 ; 123.003 ; 130.094 ; 117.770 ; 125.997 ; 124.128 ; 118.575 ; 114.852 ; 120.824 ; 118.136 ; 124.676 ; 118.143 ; 121.169 ; 124.330 ; 127.616 ; 127.448 ; 125.630 ; 125.214 ; 113.878 ; 121.679 ; 121.123 ; 117.219 ;
Agosto; 119.854 ; 125.219 ; 116.912 ; 114.140 ; 125.473 ; 124.629 ; 118.638 ; 122.654 ; 115.075 ; 113.617 ; 124.995 ; 120.808 ; 122.475 ; 123.400 ; 123.254 ; 123.749 ; 131.124 ; 127.821 ; 123.377 ; 115.939 ; 115.271 ; 111.051 ;
Setembro; 114.152 ; 116.496 ; 114.692 ; 113.663 ; 112.331 ; 116.323 ; 115.722 ; 107.332 ; 114.500 ; 108.003 ; 116.089 ; 112.759 ; 106.627 ; 110.010 ; 115.853 ; 113.565 ; 118.353 ; 115.209 ; 108.502 ; 106.026 ; 106.948 ; 100.525 ;
Outubro; 110.143 ; 125.397 ; 120.471 ; 110.889 ; 111.038 ; 106.642 ; 115.116 ; 114.184 ; 115.405 ; 111.284 ; 109.633 ; 111.357 ; 116.734 ; 120.091 ; 116.320 ; 113.009 ; 114.264 ; 108.756 ; 109.447 ; 112.559 ; 108.364 ; 99.923 ;
Novembro; 114.592 ; 113.777 ; 114.016 ; 106.528 ; 111.088 ; 112.331 ; 114.916 ; 108.442 ; 106.099 ; 103.105 ; 112.687 ; 112.216 ; 109.910 ; 109.573 ; 108.639 ; 107.330 ; 119.007 ; 111.607 ; 111.019 ; 104.912 ; 102.506 ; 99.135 ;
Dezembro; 111.110 ; 120.699 ; 113.624 ; 113.303 ; 118.429 ; 123.622 ; 114.498 ; 110.433 ; 111.304 ; 114.910 ; 115.819 ; 117.567 ; 108.825 ; 114.957 ; 119.862 ; 119.330 ; 126.494 ; 110.637 ; 105.522 ; 109.962 ; 110.089 ; 104.640 ;
