Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 55.934 ; 61.005 ; 59.153 ; 54.214 ; 59.057 ; 58.660 ; 59.302 ; 63.409 ; 64.618 ; 62.981 ; 62.061 ; 63.470 ; 66.625 ; 70.739 ; 69.947 ; 68.990 ; 67.397 ; 69.139 ; 71.990 ; 68.879 ; 72.822 ; 73.512 ; 72.209 
Fevereiro; 63.412 ; 57.438 ; 59.849 ; 58.318 ; 57.554 ; 57.800 ; 57.334 ; 60.521 ; 62.895 ; 58.294 ; 61.083 ; 65.177 ; 66.243 ; 67.203 ; 66.015 ; 67.717 ; 70.315 ; 67.302 ; 70.110 ; 68.925 ; 71.959 ; 69.908 ; 71.438 
Março; 71.486 ; 68.008 ; 69.071 ; 60.945 ; 64.748 ; 63.848 ; 69.761 ; 68.912 ; 67.620 ; 66.033 ; 72.735 ; 72.369 ; 72.638 ; 72.715 ; 72.528 ; 81.966 ; 78.017 ; 81.739 ; 77.019 ; 73.677 ; 83.446 ; 82.688 ; 81.883 
Abril; 68.548 ; 66.694 ; 59.204 ; 59.402 ; 65.733 ; 63.527 ; 63.507 ; 64.405 ; 68.245 ; 66.088 ; 69.971 ; 70.655 ; 70.352 ; 78.605 ; 75.745 ; 71.999 ; 72.528 ; 69.982 ; 77.441 ; 77.979 ; 80.313 ; 78.582 ; 77.678 
Maio; 75.151 ; 72.896 ; 72.312 ; 67.437 ; 67.911 ; 68.473 ; 76.777 ; 72.908 ; 74.553 ; 68.732 ; 75.491 ; 80.008 ; 81.029 ; 81.087 ; 81.677 ; 76.919 ; 82.978 ; 81.982 ; 71.357 ; 83.739 ; 79.149 ; 83.784 ; 89.610 
Junho; 77.144 ; 74.251 ; 62.628 ; 64.025 ; 71.719 ; 70.681 ; 70.722 ; 73.492 ; 76.375 ; 76.850 ; 77.673 ; 80.874 ; 80.069 ; 80.174 ; 80.859 ; 83.389 ; 88.423 ; 87.231 ; 94.533 ; 80.597 ; 87.749 ; 88.969 ; 91.155 
Julho; 78.639 ; 75.133 ; 74.823 ; 71.522 ; 74.726 ; 73.103 ; 71.092 ; 74.501 ; 77.244 ; 80.383 ; 79.999 ; 79.533 ; 81.506 ; 88.181 ; 88.094 ; 87.137 ; 84.528 ; 82.437 ; 83.139 ; 90.911 ; 92.486 ; 96.287 ;
Agosto; 78.147 ; 75.440 ; 68.493 ; 68.924 ; 70.528 ; 75.541 ; 73.351 ; 74.517 ; 71.796 ; 75.088 ; 77.764 ; 82.710 ; 81.253 ; 85.518 ; 82.551 ; 81.266 ; 89.106 ; 89.123 ; 88.711 ; 87.718 ; 87.831 ; 88.826 ;
Setembro; 73.022 ; 68.718 ; 68.294 ; 69.599 ; 64.688 ; 72.731 ; 69.880 ; 66.042 ; 74.975 ; 74.947 ; 73.082 ; 76.095 ; 71.396 ; 76.315 ; 79.176 ; 78.438 ; 81.913 ; 78.671 ; 78.359 ; 78.940 ; 81.336 ; 83.142 ;
Outubro; 68.665 ; 71.461 ; 67.804 ; 67.317 ; 65.367 ; 68.385 ; 68.434 ; 69.497 ; 74.459 ; 74.429 ; 73.092 ; 72.201 ; 77.266 ; 82.742 ; 80.463 ; 77.026 ; 78.620 ; 78.894 ; 82.127 ; 81.909 ; 80.811 ; 84.247 ;
Novembro; 69.405 ; 64.797 ; 63.282 ; 62.059 ; 64.080 ; 67.218 ; 67.779 ; 68.562 ; 67.189 ; 64.431 ; 72.377 ; 73.284 ; 71.363 ; 73.954 ; 72.677 ; 74.299 ; 76.581 ; 79.650 ; 77.953 ; 77.044 ; 77.701 ; 79.268 ;
Dezembro; 65.334 ; 66.371 ; 65.051 ; 64.833 ; 67.058 ; 67.925 ; 66.170 ; 62.836 ; 70.548 ; 69.735 ; 72.461 ; 72.536 ; 68.901 ; 72.303 ; 75.244 ; 75.822 ; 77.781 ; 74.675 ; 70.140 ; 78.010 ; 80.607 ; 80.050 ;
