UN. DA FEDERAÇÃO;PIAUÍ;;;;;;;;;;;;;;;;;;;;
PRODUTO;GLP (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 10.750 ; 10.849 ; 9.419 ; 9.067 ; 9.434 ; 9.039 ; 9.265 ; 10.050 ; 9.805 ; 10.271 ; 10.895 ; 11.159 ; 11.888 ; 12.832 ; 13.627 ; 14.041 ; 13.452 ; 13.487 ; 13.932 ; 14.434 ; 14.197 
Fevereiro; 10.350 ; 9.656 ; 8.645 ; 8.530 ; 8.457 ; 8.209 ; 8.162 ; 8.491 ; 9.124 ; 9.327 ; 9.777 ; 10.721 ; 11.437 ; 11.393 ; 12.346 ; 12.845 ; 13.359 ; 12.661 ; 12.564 ; 13.296 ; 13.104 
Março; 11.049 ; 10.665 ; 10.451 ; 8.479 ; 10.369 ; 9.144 ; 9.905 ; 10.187 ; 10.200 ; 10.542 ; 11.772 ; 12.065 ; 12.538 ; 11.829 ; 13.310 ; 14.193 ; 14.084 ; 15.302 ; 13.724 ; 13.836 ; 15.392 
Abril; 10.903 ; 11.038 ; 9.568 ; 9.059 ; 9.661 ; 9.727 ; 9.201 ; 9.697 ; 10.275 ; 10.515 ; 11.170 ; 11.659 ; 11.771 ; 12.914 ; 13.491 ; 13.847 ; 13.844 ; 13.325 ; 14.618 ; 14.360 ; 14.733 
Maio; 11.276 ; 11.726 ; 10.455 ; 8.950 ; 8.702 ; 9.696 ; 10.341 ; 10.263 ; 10.714 ; 10.892 ; 11.291 ; 12.277 ; 12.297 ; 13.195 ; 14.258 ; 13.823 ; 13.970 ; 14.506 ; 12.024 ; 14.857 ; 15.079 
Junho; 11.052 ; 11.119 ; 9.422 ; 9.061 ; 8.911 ; 9.639 ; 10.114 ; 9.854 ; 10.439 ; 10.917 ; 10.903 ; 11.611 ; 12.027 ; 12.312 ; 13.317 ; 14.046 ; 13.723 ; 14.209 ; 16.093 ; 13.474 ; 15.475 
Julho; 10.906 ; 10.809 ; 9.594 ; 9.563 ; 9.496 ; 9.685 ; 9.658 ; 10.345 ; 10.881 ; 11.027 ; 11.425 ; 12.009 ; 12.022 ; 13.321 ; 14.504 ; 14.440 ; 12.647 ; 14.236 ; 14.453 ; 15.002 ; 15.724 
Agosto; 11.109 ; 11.396 ; 9.699 ; 9.205 ; 8.818 ; 10.085 ; 10.477 ; 10.636 ; 10.686 ; 10.906 ; 11.393 ; 12.561 ; 12.660 ; 13.218 ; 13.836 ; 14.222 ; 15.929 ; 14.689 ; 14.940 ; 14.522 ; 15.272 
Setembro; 10.943 ; 10.146 ; 9.982 ; 9.257 ; 10.072 ; 9.341 ; 9.698 ; 9.717 ; 10.739 ; 11.003 ; 11.533 ; 11.605 ; 11.608 ; 12.436 ; 13.830 ; 13.196 ; 13.498 ; 13.926 ; 13.372 ; 13.824 ; 14.322 
Outubro; 11.134 ; 10.860 ; 9.926 ; 8.945 ; 9.165 ; 9.177 ; 9.835 ; 9.955 ; 10.868 ; 11.050 ; 10.644 ; 11.310 ; 12.409 ; 12.861 ; 13.672 ; 13.709 ; 13.478 ; 13.874 ; 13.986 ; 14.332 ;
Novembro; 10.534 ; 10.370 ; 9.815 ; 8.763 ; 8.752 ; 8.920 ; 9.433 ; 9.713 ; 9.531 ; 9.993 ; 11.387 ; 11.575 ; 12.213 ; 12.531 ; 12.837 ; 12.921 ; 13.204 ; 13.588 ; 13.924 ; 13.612 ;
Dezembro; 10.758 ; 10.928 ; 9.612 ; 9.182 ; 9.461 ; 10.049 ; 10.093 ; 10.225 ; 10.469 ; 11.237 ; 11.899 ; 12.364 ; 12.369 ; 13.198 ; 14.406 ; 13.749 ; 14.290 ; 13.825 ; 13.623 ; 14.550 ;
Total do Ano; 130.766 ; 129.562 ; 116.589 ; 108.062 ; 111.297 ; 112.710 ; 116.182 ; 119.132 ; 123.731 ; 127.679 ; 134.088 ; 140.917 ; 145.240 ; 152.039 ; 163.433 ; 165.034 ; 165.479 ; 167.627 ; 167.254 ; 170.099 ; 133.297 
