Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 70.298 ; 71.593 ; 71.103 ; 70.501 ; 79.678 ; 70.537 ; 70.553 ; 82.272 ; 73.821 ; 73.789 ; 68.088 ; 70.598 ; 80.730 ; 75.229 ; 74.369 ; 72.735 ; 73.204 ; 72.025 ; 75.050 ; 72.019 ; 73.705 ; 72.988 ; 72.406 
Fevereiro; 73.610 ; 65.518 ; 71.120 ; 70.062 ; 69.458 ; 72.607 ; 65.998 ; 87.879 ; 72.713 ; 66.874 ; 65.890 ; 69.301 ; 77.200 ; 69.953 ; 71.989 ; 72.167 ; 73.472 ; 69.514 ; 73.390 ; 73.417 ; 74.037 ; 71.614 ; 74.297 
Março; 78.766 ; 75.584 ; 83.019 ; 72.964 ; 80.940 ; 74.493 ; 80.276 ; 88.601 ; 74.363 ; 72.979 ; 79.385 ; 80.874 ; 82.937 ; 77.309 ; 77.598 ; 80.962 ; 81.051 ; 86.111 ; 81.607 ; 76.992 ; 89.632 ; 83.161 ; 79.967 
Abril; 76.212 ; 70.336 ; 69.577 ; 75.825 ; 80.124 ; 77.494 ; 72.081 ; 80.923 ; 77.220 ; 77.991 ; 79.751 ; 78.911 ; 78.364 ; 83.706 ; 81.441 ; 82.978 ; 78.149 ; 78.575 ; 81.007 ; 79.717 ; 85.077 ; 83.414 ; 76.179 
Maio; 83.625 ; 81.380 ; 89.216 ; 79.351 ; 82.733 ; 77.038 ; 84.417 ; 88.260 ; 81.735 ; 75.584 ; 80.885 ; 85.962 ; 89.484 ; 85.107 ; 88.866 ; 80.610 ; 86.411 ; 89.523 ; 88.809 ; 84.428 ; 84.476 ; 84.589 ; 84.938 
Junho; 84.400 ; 81.680 ; 69.158 ; 79.081 ; 81.345 ; 84.669 ; 82.022 ; 87.333 ; 80.044 ; 81.688 ; 85.602 ; 88.094 ; 87.406 ; 83.895 ; 85.142 ; 90.910 ; 89.744 ; 88.957 ; 85.941 ; 80.812 ; 85.692 ; 91.217 ; 87.207 
Julho; 85.222 ; 83.254 ; 91.832 ; 87.634 ; 86.852 ; 83.242 ; 84.754 ; 84.117 ; 87.781 ; 85.239 ; 89.658 ; 88.796 ; 87.846 ; 91.750 ; 94.779 ; 92.589 ; 89.110 ; 90.119 ; 84.760 ; 91.271 ; 90.314 ; 94.386 ;
Agosto; 86.656 ; 86.923 ; 83.111 ; 83.232 ; 86.043 ; 87.167 ; 84.656 ; 91.873 ; 79.587 ; 84.749 ; 87.253 ; 90.187 ; 90.223 ; 93.352 ; 91.266 ; 87.845 ; 91.226 ; 93.416 ; 91.714 ; 90.224 ; 89.214 ; 90.358 ;
Setembro; 83.099 ; 82.982 ; 82.589 ; 88.086 ; 79.841 ; 80.533 ; 82.576 ; 79.866 ; 82.599 ; 80.135 ; 83.090 ; 85.219 ; 80.581 ; 83.251 ; 88.307 ; 86.587 ; 86.341 ; 87.184 ; 83.937 ; 82.541 ; 82.677 ; 84.893 ;
Outubro; 78.589 ; 86.598 ; 83.944 ; 85.746 ; 83.584 ; 79.509 ; 80.952 ; 87.230 ; 82.042 ; 83.726 ; 83.088 ; 84.407 ; 86.324 ; 89.601 ; 88.812 ; 81.226 ; 83.666 ; 82.098 ; 87.270 ; 86.308 ; 85.911 ; 85.511 ;
Novembro; 79.310 ; 78.494 ; 79.525 ; 77.270 ; 76.896 ; 77.463 ; 79.800 ; 78.508 ; 74.051 ; 72.211 ; 82.110 ; 85.867 ; 82.422 ; 83.021 ; 80.385 ; 78.040 ; 82.954 ; 82.590 ; 83.170 ; 82.793 ; 80.835 ; 82.323 ;
Dezembro; 79.694 ; 86.034 ; 82.281 ; 85.470 ; 87.160 ; 87.573 ; 82.846 ; 80.259 ; 87.962 ; 84.777 ; 87.966 ; 94.005 ; 83.981 ; 88.709 ; 90.817 ; 89.154 ; 89.727 ; 88.789 ; 86.526 ; 90.109 ; 90.663 ; 90.156 ;
