Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 55.997 ; 39.509 ; 36.991 ; 34.129 ; 34.338 ; 33.459 ; 33.628 ; 33.859 ; 35.958 ; 33.441 ; 34.033 ; 36.059 ; 37.888 ; 41.126 ; 41.848 ; 41.000 ; 41.169 ; 42.669 ; 43.194 ; 42.546 ; 43.994 ; 43.604 ; 39.796 
Fevereiro; 56.329 ; 37.451 ; 35.927 ; 33.316 ; 31.510 ; 33.344 ; 31.460 ; 32.171 ; 35.141 ; 31.020 ; 32.369 ; 35.417 ; 37.410 ; 37.692 ; 37.878 ; 39.064 ; 41.727 ; 39.551 ; 41.786 ; 41.264 ; 42.312 ; 42.036 ; 40.188 
Março; 63.464 ; 40.588 ; 39.904 ; 34.509 ; 36.895 ; 35.970 ; 38.586 ; 35.469 ; 36.082 ; 34.098 ; 39.282 ; 41.666 ; 40.964 ; 40.530 ; 41.838 ; 45.037 ; 45.498 ; 48.739 ; 44.857 ; 44.721 ; 47.671 ; 48.106 ; 45.797 
Abril; 60.368 ; 40.042 ; 36.612 ; 36.289 ; 36.445 ; 35.848 ; 33.231 ; 33.746 ; 38.438 ; 34.382 ; 38.321 ; 38.906 ; 38.918 ; 43.799 ; 42.924 ; 43.608 ; 42.818 ; 42.906 ; 44.547 ; 45.447 ; 44.680 ; 46.185 ; 42.674 
Maio; 60.668 ; 45.140 ; 41.920 ; 37.036 ; 37.994 ; 38.366 ; 40.218 ; 39.296 ; 38.865 ; 35.707 ; 39.953 ; 42.515 ; 43.878 ; 44.910 ; 45.092 ; 43.803 ; 48.183 ; 49.129 ; 38.325 ; 47.398 ; 44.898 ; 47.034 ; 48.147 
Junho; 60.189 ; 44.084 ; 36.157 ; 36.372 ; 39.143 ; 38.707 ; 37.654 ; 37.746 ; 38.773 ; 38.901 ; 41.973 ; 44.713 ; 43.833 ; 43.423 ; 43.927 ; 46.989 ; 51.192 ; 48.749 ; 55.573 ; 44.874 ; 47.594 ; 49.450 ; 48.431 
Julho; 58.439 ; 44.616 ; 42.522 ; 39.574 ; 40.987 ; 37.990 ; 37.203 ; 39.637 ; 39.933 ; 42.295 ; 43.395 ; 45.143 ; 44.776 ; 48.828 ; 48.985 ; 49.552 ; 49.373 ; 49.957 ; 48.080 ; 53.355 ; 53.387 ; 53.600 ;
Agosto; 56.228 ; 44.282 ; 38.698 ; 37.264 ; 39.293 ; 40.516 ; 39.739 ; 40.969 ; 36.234 ; 39.860 ; 43.097 ; 46.285 ; 45.516 ; 48.000 ; 45.887 ; 45.098 ; 51.955 ; 50.477 ; 51.527 ; 48.049 ; 50.793 ; 50.459 ;
Setembro; 49.932 ; 41.100 ; 39.649 ; 38.386 ; 37.569 ; 39.238 ; 37.482 ; 35.804 ; 38.508 ; 39.570 ; 40.957 ; 43.353 ; 40.011 ; 43.322 ; 44.961 ; 45.098 ; 47.764 ; 45.339 ; 44.731 ; 45.074 ; 49.581 ; 47.525 ;
Outubro; 45.346 ; 43.434 ; 38.795 ; 37.601 ; 38.245 ; 37.146 ; 37.609 ; 39.091 ; 37.536 ; 39.129 ; 40.517 ; 40.844 ; 43.601 ; 46.533 ; 45.831 ; 47.057 ; 45.766 ; 46.710 ; 48.341 ; 47.797 ; 49.534 ; 46.065 ;
Novembro; 43.501 ; 40.115 ; 38.041 ; 34.586 ; 35.311 ; 37.294 ; 37.140 ; 37.000 ; 36.036 ; 34.857 ; 39.595 ; 40.924 ; 40.837 ; 42.217 ; 41.401 ; 42.720 ; 45.798 ; 45.701 ; 45.539 ; 43.861 ; 45.043 ; 43.948 ;
Dezembro; 39.133 ; 39.965 ; 36.474 ; 36.334 ; 36.837 ; 36.709 ; 36.049 ; 34.837 ; 37.464 ; 37.425 ; 40.035 ; 40.715 ; 38.540 ; 40.864 ; 42.332 ; 44.993 ; 45.797 ; 43.941 ; 42.803 ; 44.481 ; 46.550 ; 44.252 ;
