Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 7.417 ; 8.085 ; 7.844 ; 7.010 ; 7.103 ; 7.253 ; 7.711 ; 8.068 ; 8.486 ; 8.716 ; 9.564 ; 9.377 ; 9.542 ; 10.144 ; 10.824 ; 10.744 ; 10.031 ; 10.309 ; 9.867 ; 10.134 ; 9.851 ; 10.095 ; 9.617 
Fevereiro; 7.772 ; 7.248 ; 7.217 ; 7.192 ; 6.746 ; 6.638 ; 6.716 ; 7.337 ; 8.012 ; 8.040 ; 9.234 ; 9.022 ; 9.289 ; 9.147 ; 9.425 ; 9.769 ; 9.992 ; 9.401 ; 8.933 ; 9.521 ; 9.362 ; 9.344 ; 9.349 
Março; 7.987 ; 8.493 ; 8.766 ; 6.806 ; 7.749 ; 7.251 ; 8.051 ; 8.554 ; 7.967 ; 9.073 ; 10.399 ; 9.900 ; 10.453 ; 9.663 ; 11.006 ; 10.727 ; 10.637 ; 11.065 ; 9.696 ; 9.727 ; 10.776 ; 10.873 ; 11.148 
Abril; 7.979 ; 8.201 ; 7.207 ; 6.817 ; 7.302 ; 7.490 ; 7.183 ; 7.813 ; 8.708 ; 9.589 ; 9.840 ; 9.583 ; 9.389 ; 10.130 ; 11.159 ; 10.420 ; 10.361 ; 9.843 ; 11.201 ; 9.938 ; 10.588 ; 10.385 ; 10.160 
Maio; 8.791 ; 8.740 ; 8.817 ; 7.487 ; 7.368 ; 7.691 ; 8.253 ; 8.701 ; 8.780 ; 9.807 ; 9.853 ; 10.172 ; 10.223 ; 10.416 ; 11.971 ; 10.241 ; 10.710 ; 10.951 ; 9.047 ; 10.192 ; 10.747 ; 10.349 ; 10.909 
Junho; 8.709 ; 8.752 ; 7.283 ; 6.867 ; 7.601 ; 7.906 ; 8.383 ; 8.523 ; 8.591 ; 10.226 ; 10.244 ; 9.961 ; 10.223 ; 10.192 ; 11.480 ; 10.849 ; 10.857 ; 11.243 ; 11.522 ; 9.983 ; 11.389 ; 10.587 ; 11.102 
Julho; 8.615 ; 8.452 ; 8.635 ; 7.766 ; 8.103 ; 8.440 ; 9.952 ; 8.651 ; 9.277 ; 11.036 ; 11.100 ; 10.218 ; 10.464 ; 11.000 ; 13.002 ; 11.615 ; 11.495 ; 11.397 ; 11.616 ; 11.342 ; 11.758 ; 11.253 ;
Agosto; 8.690 ; 9.057 ; 8.397 ; 7.525 ; 8.212 ; 8.626 ; 8.885 ; 9.240 ; 8.979 ; 10.650 ; 10.567 ; 10.918 ; 11.200 ; 11.374 ; 12.630 ; 11.427 ; 11.893 ; 11.843 ; 11.155 ; 11.258 ; 11.460 ; 10.562 ;
Setembro; 7.855 ; 8.505 ; 8.342 ; 7.589 ; 7.897 ; 8.177 ; 8.420 ; 8.568 ; 8.704 ; 10.425 ; 10.422 ; 10.227 ; 9.962 ; 10.775 ; 12.727 ; 10.918 ; 11.134 ; 12.075 ; 11.013 ; 10.463 ; 10.873 ; 10.350 ;
Outubro; 8.384 ; 8.843 ; 8.574 ; 7.788 ; 7.772 ; 8.025 ; 8.400 ; 9.018 ; 9.381 ; 10.682 ; 10.160 ; 10.220 ; 10.956 ; 11.211 ; 12.713 ; 11.074 ; 10.699 ; 10.660 ; 11.140 ; 11.100 ; 11.204 ; 10.221 ;
Novembro; 8.495 ; 8.038 ; 8.456 ; 7.303 ; 7.849 ; 7.674 ; 8.145 ; 8.316 ; 8.954 ; 9.562 ; 9.767 ; 9.855 ; 10.233 ; 10.602 ; 11.766 ; 10.093 ; 10.761 ; 10.534 ; 11.387 ; 10.196 ; 9.979 ; 9.785 ;
Dezembro; 8.635 ; 9.098 ; 8.683 ; 7.990 ; 7.712 ; 8.456 ; 8.269 ; 8.631 ; 9.218 ; 10.646 ; 10.095 ; 10.531 ; 10.246 ; 10.880 ; 11.512 ; 11.243 ; 10.978 ; 10.083 ; 10.247 ; 10.643 ; 11.001 ; 10.700 ;
