Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 6.120 ; 6.514 ; 6.441 ; 5.620 ; 6.386 ; 5.560 ; 5.722 ; 6.304 ; 5.877 ; 5.829 ; 5.384 ; 5.961 ; 6.284 ; 6.375 ; 6.973 ; 6.812 ; 6.106 ; 6.382 ; 6.545 ; 6.586 ; 6.998 ; 6.458 ; 6.884 
Fevereiro; 6.207 ; 6.123 ; 5.805 ; 5.164 ; 5.444 ; 5.284 ; 5.183 ; 5.797 ; 5.861 ; 5.570 ; 5.569 ; 6.010 ; 6.129 ; 6.143 ; 6.598 ; 6.447 ; 6.337 ; 6.191 ; 6.293 ; 6.754 ; 6.429 ; 6.487 ; 6.918 
Março; 6.731 ; 6.695 ; 6.876 ; 5.551 ; 6.241 ; 5.824 ; 6.238 ; 6.666 ; 6.094 ; 6.243 ; 6.580 ; 6.490 ; 6.615 ; 6.174 ; 6.790 ; 7.259 ; 6.853 ; 7.384 ; 6.851 ; 6.565 ; 7.379 ; 7.438 ; 7.631 
Abril; 6.246 ; 6.512 ; 6.031 ; 5.811 ; 5.906 ; 5.674 ; 5.662 ; 6.191 ; 6.042 ; 6.307 ; 5.933 ; 5.929 ; 6.128 ; 6.751 ; 7.093 ; 6.977 ; 6.396 ; 6.423 ; 6.864 ; 6.849 ; 6.936 ; 6.938 ; 6.879 
Maio; 6.994 ; 6.639 ; 6.593 ; 5.568 ; 5.841 ; 5.618 ; 6.555 ; 6.221 ; 6.116 ; 5.982 ; 5.833 ; 6.437 ; 6.312 ; 6.597 ; 6.633 ; 6.501 ; 6.408 ; 6.748 ; 5.127 ; 6.802 ; 7.016 ; 6.507 ; 7.178 
Junho; 6.754 ; 6.321 ; 5.360 ; 5.618 ; 5.820 ; 5.656 ; 5.639 ; 5.936 ; 5.947 ; 5.943 ; 5.885 ; 5.955 ; 6.072 ; 5.786 ; 6.498 ; 6.874 ; 6.502 ; 6.621 ; 7.804 ; 6.321 ; 6.778 ; 6.963 ; 7.004 
Julho; 6.553 ; 6.425 ; 6.214 ; 5.912 ; 5.934 ; 5.596 ; 5.877 ; 5.939 ; 6.195 ; 6.182 ; 5.995 ; 6.027 ; 6.210 ; 6.786 ; 6.831 ; 7.053 ; 6.166 ; 6.234 ; 6.217 ; 6.683 ; 7.417 ; 7.098 ;
Agosto; 7.468 ; 6.797 ; 5.524 ; 6.040 ; 6.075 ; 5.989 ; 5.931 ; 5.978 ; 5.815 ; 5.732 ; 6.128 ; 6.321 ; 6.644 ; 6.816 ; 6.473 ; 6.648 ; 6.935 ; 6.893 ; 7.013 ; 6.760 ; 6.579 ; 7.077 ;
Setembro; 7.467 ; 6.102 ; 6.344 ; 5.451 ; 6.095 ; 5.418 ; 5.683 ; 5.484 ; 6.157 ; 5.854 ; 5.962 ; 5.983 ; 5.687 ; 6.305 ; 6.793 ; 6.508 ; 6.267 ; 6.464 ; 5.942 ; 6.168 ; 6.640 ; 6.655 ;
Outubro; 6.701 ; 6.880 ; 6.734 ; 5.942 ; 5.474 ; 5.403 ; 5.986 ; 5.991 ; 6.306 ; 5.948 ; 5.946 ; 6.105 ; 6.413 ; 6.678 ; 7.065 ; 6.342 ; 6.204 ; 6.160 ; 6.790 ; 7.108 ; 6.851 ; 6.796 ;
Novembro; 6.651 ; 6.555 ; 5.628 ; 5.802 ; 5.730 ; 5.687 ; 5.895 ; 5.891 ; 5.476 ; 5.733 ; 6.226 ; 6.207 ; 6.247 ; 6.596 ; 6.376 ; 6.217 ; 6.469 ; 6.511 ; 6.602 ; 6.431 ; 6.580 ; 6.960 ;
Dezembro; 6.441 ; 7.212 ; 6.403 ; 5.960 ; 5.944 ; 6.217 ; 5.806 ; 6.198 ; 6.766 ; 6.458 ; 6.092 ; 6.451 ; 6.283 ; 6.919 ; 7.408 ; 6.898 ; 6.785 ; 6.618 ; 6.624 ; 6.994 ; 7.147 ; 7.345 ;
