UN. DA FEDERAÇÃO;ALAGOAS;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 2.507 ; 2.074 ; 2.502 ; 2.057 ; 2.621 ; 2.260 ; 3.022 ; 2.843 ; 2.675 ; 2.522 ; 4.063 ; 4.244 ; 4.903 ; 6.885 ; 6.278 ; 6.323 ; 5.864 ; 6.180 ; 6.558 ; 6.373 ; 7.548 
Fevereiro; 1.714 ; 1.688 ; 1.834 ; 1.286 ; 1.617 ; 1.590 ; 2.360 ; 2.310 ; 2.410 ; 1.880 ; 3.515 ; 3.274 ; 3.892 ; 5.084 ; 4.119 ; 4.097 ; 4.870 ; 4.041 ; 4.531 ; 4.522 ; 5.510 
Março; 1.251 ; 1.531 ; 1.828 ; 1.462 ; 1.994 ; 1.479 ; 2.469 ; 2.248 ; 2.541 ; 1.983 ; 3.535 ; 3.482 ; 3.648 ; 5.160 ; 4.579 ; 3.878 ; 4.213 ; 4.124 ; 4.596 ; 5.033 ; 3.706 
Abril; 1.287 ; 1.516 ; 1.700 ; 1.585 ; 1.722 ; 1.730 ; 2.028 ; 2.006 ; 2.254 ; 1.833 ; 3.375 ; 3.285 ; 3.682 ; 4.530 ; 4.200 ; 3.737 ; 3.656 ; 3.426 ; 4.253 ; 4.194 ; 334 
Maio; 1.174 ; 1.347 ; 1.633 ; 1.529 ; 1.632 ; 1.663 ; 1.734 ; 1.850 ; 2.030 ; 1.834 ; 3.076 ; 4.020 ; 3.665 ; 4.138 ; 4.026 ; 3.789 ; 3.615 ; 3.484 ; 3.633 ; 3.633 ; 346 
Junho; 958 ; 1.176 ; 1.770 ; 1.649 ; 1.509 ; 1.519 ; 1.388 ; 1.788 ; 2.212 ; 1.768 ; 3.075 ; 3.483 ; 3.687 ; 3.816 ; 4.130 ; 3.782 ; 3.472 ; 3.364 ; 4.241 ; 3.797 ; 383 
Julho; 1.345 ; 2.079 ; 2.447 ; 1.957 ; 1.837 ; 1.992 ; 2.470 ; 2.055 ; 935 ; 3.026 ; 3.866 ; 3.684 ; 4.275 ; 4.564 ; 4.769 ; 4.676 ; 4.721 ; 5.279 ; 5.684 ; 5.766 ; 727 
Agosto; 986 ; 1.762 ; 1.896 ; 1.757 ; 1.845 ; 1.971 ; 3.002 ; 1.594 ; 2.004 ; 2.725 ; 3.457 ; 3.856 ; 3.890 ; 4.324 ; 4.187 ; 4.170 ; 4.214 ; 4.162 ; 4.694 ; 4.292 ; 1.154 
Setembro; 1.129 ; 1.959 ; 1.873 ; 1.932 ; 1.639 ; 1.780 ; 2.544 ; 1.570 ; 1.799 ; 2.387 ; 3.158 ; 3.495 ; 3.902 ; 4.413 ; 4.146 ; 3.864 ; 3.965 ; 4.148 ; 4.501 ; 4.444 ; 1.547 
Outubro; 1.267 ; 1.962 ; 1.718 ; 1.789 ; 1.474 ; 2.263 ; 2.087 ; 1.831 ; 1.892 ; 2.631 ; 3.253 ; 3.864 ; 4.442 ; 4.775 ; 4.579 ; 3.936 ; 4.207 ; 4.431 ; 4.701 ; 4.521 ;
Novembro; 1.209 ; 1.743 ; 1.513 ; 1.677 ; 1.742 ; 2.244 ; 2.201 ; 1.848 ; 1.972 ; 2.498 ; 3.056 ; 3.609 ; 5.111 ; 4.758 ; 4.626 ; 3.885 ; 4.121 ; 4.640 ; 4.696 ; 4.513 ;
Dezembro; 1.605 ; 2.227 ; 1.781 ; 2.154 ; 1.630 ; 2.397 ; 3.184 ; 2.201 ; 1.965 ; 3.141 ; 3.519 ; 4.054 ; 5.792 ; 6.073 ; 5.523 ; 5.400 ; 4.992 ; 5.785 ; 5.999 ; 5.833 ;
Total do Ano; 16.431 ; 21.065 ; 22.495 ; 20.833 ; 21.261 ; 22.889 ; 28.489 ; 24.144 ; 24.689 ; 28.228 ; 40.949 ; 44.350 ; 50.888 ; 58.519 ; 55.162 ; 51.537 ; 51.910 ; 53.063 ; 58.087 ; 56.922 ; 21.255 
