Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 419 ; 430 ; 310 ; 256 ; 209 ; 221 ; 221 ; 337 ; 304 ; 274 ; 426 ; 312 ; 309 ; 252 ; 580 ; 589 ; 373 ; 669 ; 468 ; 514 ; 645 ; 495 ; 443 
Fevereiro; 332 ; 347 ; 239 ; 256 ; 212 ; 156 ; 152 ; 339 ; 352 ; 220 ; 234 ; 236 ; 283 ; 213 ; 541 ; 423 ; 408 ; 540 ; 432 ; 479 ; 559 ; 395 ; 299 
Março; 332 ; 472 ; 216 ; 257 ; 225 ; 236 ; 219 ; 303 ; 352 ; 220 ; 289 ; 235 ; 306 ; 303 ; 421 ; 423 ; 564 ; 422 ; 492 ; 500 ; 458 ; 375 ; 336 
Abril; 333 ; 393 ; 276 ; 231 ; 215 ; 278 ; 280 ; 385 ; 352 ; 206 ; 285 ; 295 ; 308 ; 281 ; 480 ; 341 ; 413 ; 445 ; 538 ; 436 ; 186 ; 176 ; 205 
Maio; 344 ; 371 ; 264 ; 235 ; 270 ; 245 ; 300 ; 347 ; 320 ; 251 ; 269 ; 299 ; 285 ; 313 ; 486 ; 532 ; 405 ; 411 ; 546 ; 463 ; 148 ; 254 ; 258 
Junho; 353 ; 398 ; 197 ; 167 ; 251 ; 220 ; 225 ; 317 ; 363 ; 178 ; 250 ; 254 ; 319 ; 232 ; 427 ; 348 ; 395 ; 371 ; 558 ; 314 ; 213 ; 259 ; 258 
Julho; 428 ; 467 ; 338 ; 218 ; 286 ; 193 ; 239 ; 361 ; 400 ; 170 ; 335 ; 293 ; 339 ; 367 ; 486 ; 455 ; 440 ; 518 ; 621 ; 599 ; 270 ; 319 ;
Agosto; 361 ; 348 ; 273 ; 243 ; 328 ; 185 ; 220 ; 316 ; 354 ; 243 ; 253 ; 303 ; 326 ; 289 ; 513 ; 445 ; 387 ; 526 ; 614 ; 472 ; 327 ; 334 ;
Setembro; 416 ; 235 ; 262 ; 137 ; 315 ; 129 ; 213 ; 292 ; 281 ; 209 ; 259 ; 231 ; 285 ; 217 ; 379 ; 430 ; 434 ; 439 ; 462 ; 473 ; 395 ; 333 ;
Outubro; 383 ; 333 ; 238 ; 249 ; 317 ; 205 ; 215 ; 295 ; 327 ; 266 ; 273 ; 316 ; 225 ; 258 ; 456 ; 479 ; 518 ; 447 ; 551 ; 594 ; 605 ; 391 ;
Novembro; 397 ; 311 ; 239 ; 160 ; 258 ; 173 ; 244 ; 366 ; 231 ; 237 ; 224 ; 266 ; 277 ; 366 ; 646 ; 366 ; 561 ; 516 ; 561 ; 673 ; 664 ; 377 ;
Dezembro; 442 ; 331 ; 234 ; 288 ; 266 ; 302 ; 374 ; 395 ; 311 ; 257 ; 230 ; 309 ; 258 ; 366 ; 593 ; 422 ; 645 ; 572 ; 714 ; 681 ; 553 ; 490 ;
