Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 10.000 ; 10.220 ; 10.862 ; 10.930 ; 10.692 ; 11.326 ; 10.489 ; 13.034 ; 14.475 ; 12.012 ; 14.843 ; 16.358 ; 16.562 ; 15.727 ; 15.127 ; 15.296 ; 13.123 ; 11.833 ; 11.691 ; 12.488 ; 13.708 ; 11.309 ; 11.438 
Fevereiro; 8.955 ; 9.208 ; 10.033 ; 10.930 ; 10.853 ; 10.184 ; 9.296 ; 11.183 ; 13.392 ; 11.143 ; 14.153 ; 14.484 ; 17.308 ; 13.178 ; 13.704 ; 13.422 ; 11.119 ; 9.858 ; 10.094 ; 11.131 ; 11.987 ; 9.303 ; 9.749 
Março; 9.488 ; 11.481 ; 11.903 ; 11.605 ; 11.803 ; 12.860 ; 12.714 ; 13.056 ; 13.140 ; 12.535 ; 15.053 ; 15.884 ; 15.980 ; 13.669 ; 14.441 ; 13.986 ; 11.544 ; 11.530 ; 11.118 ; 12.354 ; 10.622 ; 8.507 ; 9.969 
Abril; 9.626 ; 9.891 ; 11.209 ; 10.874 ; 11.736 ; 11.402 ; 11.973 ; 13.559 ; 13.986 ; 11.690 ; 15.365 ; 14.677 ; 15.639 ; 13.216 ; 13.618 ; 12.375 ; 9.647 ; 10.225 ; 10.158 ; 11.046 ; 3.653 ; 6.958 ; 9.055 
Maio; 10.319 ; 10.615 ; 11.805 ; 11.021 ; 12.207 ; 12.047 ; 12.411 ; 15.464 ; 16.287 ; 12.345 ; 15.663 ; 14.861 ; 14.493 ; 14.161 ; 13.762 ; 12.282 ; 9.184 ; 10.398 ; 11.295 ; 11.485 ; 4.675 ; 8.895 ; 9.480 
Junho; 9.200 ; 9.811 ; 11.219 ; 11.999 ; 11.944 ; 12.189 ; 12.005 ; 12.804 ; 13.481 ; 12.015 ; 15.468 ; 14.889 ; 14.832 ; 14.001 ; 14.500 ; 12.914 ; 9.440 ; 9.866 ; 11.480 ; 11.032 ; 5.439 ; 8.660 ; 9.901 
Julho; 10.312 ; 11.339 ; 10.005 ; 10.852 ; 12.770 ; 11.902 ; 12.232 ; 14.516 ; 13.747 ; 13.928 ; 16.000 ; 15.442 ; 17.241 ; 15.730 ; 14.966 ; 13.876 ; 9.642 ; 11.649 ; 12.471 ; 12.884 ; 6.668 ; 10.748 ;
Agosto; 9.222 ; 10.924 ; 12.535 ; 9.946 ; 14.027 ; 11.954 ; 12.399 ; 13.914 ; 14.782 ; 13.691 ; 16.059 ; 16.731 ; 14.913 ; 13.667 ; 15.066 ; 12.561 ; 9.916 ; 11.290 ; 12.182 ; 12.208 ; 7.583 ; 10.385 ;
Setembro; 9.430 ; 10.367 ; 10.884 ; 10.952 ; 12.509 ; 11.227 ; 13.144 ; 13.604 ; 12.851 ; 13.721 ; 15.615 ; 15.349 ; 15.276 ; 13.156 ; 14.745 ; 12.670 ; 10.527 ; 10.631 ; 12.098 ; 12.120 ; 8.724 ; 11.213 ;
Outubro; 9.898 ; 11.257 ; 10.904 ; 11.870 ; 12.558 ; 13.009 ; 12.732 ; 15.791 ; 13.454 ; 15.299 ; 16.081 ; 16.241 ; 15.167 ; 14.710 ; 14.559 ; 13.680 ; 11.344 ; 11.084 ; 12.493 ; 12.922 ; 10.883 ; 12.233 ;
Novembro; 11.436 ; 12.616 ; 12.653 ; 12.410 ; 13.185 ; 13.171 ; 12.159 ; 15.263 ; 12.469 ; 15.686 ; 16.539 ; 15.629 ; 15.999 ; 13.835 ; 14.526 ; 13.034 ; 10.980 ; 11.547 ; 12.237 ; 12.430 ; 10.492 ; 12.174 ;
Dezembro; 12.061 ; 12.372 ; 11.496 ; 12.413 ; 12.290 ; 12.112 ; 12.503 ; 15.832 ; 12.830 ; 15.245 ; 16.817 ; 16.117 ; 15.544 ; 14.600 ; 14.975 ; 12.139 ; 12.156 ; 11.600 ; 12.218 ; 13.320 ; 11.774 ; 13.380 ;
