Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 18.745 ; 22.209 ; 22.866 ; 22.597 ; 22.689 ; 22.427 ; 22.906 ; 27.160 ; 26.713 ; 28.916 ; 32.495 ; 34.970 ; 34.818 ; 32.279 ; 31.620 ; 32.263 ; 34.248 ; 28.463 ; 30.410 ; 30.632 ; 29.157 ; 19.053 ; 20.697 
Fevereiro; 16.682 ; 20.523 ; 18.811 ; 18.095 ; 21.607 ; 20.006 ; 19.772 ; 24.125 ; 23.255 ; 24.294 ; 28.071 ; 28.975 ; 31.640 ; 26.534 ; 23.945 ; 28.212 ; 27.024 ; 21.202 ; 22.113 ; 22.847 ; 23.231 ; 11.560 ; 12.054 
Março; 17.139 ; 21.501 ; 19.486 ; 18.886 ; 22.168 ; 21.234 ; 22.430 ; 23.444 ; 23.573 ; 25.378 ; 26.542 ; 32.212 ; 29.806 ; 27.148 ; 25.907 ; 28.016 ; 23.829 ; 22.707 ; 20.673 ; 22.472 ; 15.213 ; 9.455 ; 14.965 
Abril; 16.614 ; 19.773 ; 18.827 ; 18.749 ; 20.777 ; 19.578 ; 20.871 ; 21.057 ; 22.025 ; 22.781 ; 24.181 ; 29.034 ; 28.335 ; 25.688 ; 25.401 ; 24.703 ; 21.230 ; 19.111 ; 19.093 ; 18.167 ; 2.320 ; 5.743 ; 12.294 
Maio; 16.721 ; 18.970 ; 18.262 ; 17.063 ; 20.973 ; 16.199 ; 20.793 ; 19.581 ; 22.467 ; 22.024 ; 24.590 ; 28.797 ; 27.201 ; 25.606 ; 24.782 ; 24.218 ; 20.046 ; 18.951 ; 20.071 ; 15.328 ; 2.765 ; 7.719 ; 12.951 
Junho; 16.178 ; 19.289 ; 17.985 ; 14.407 ; 18.870 ; 15.913 ; 20.195 ; 20.010 ; 22.282 ; 22.383 ; 24.847 ; 28.313 ; 27.111 ; 25.694 ; 28.597 ; 23.478 ; 20.124 ; 18.049 ; 20.180 ; 15.336 ; 2.596 ; 8.658 ; 13.253 
Julho; 19.592 ; 22.453 ; 23.419 ; 18.912 ; 21.135 ; 18.721 ; 22.519 ; 21.988 ; 23.756 ; 26.297 ; 27.882 ; 33.768 ; 29.901 ; 28.589 ; 27.636 ; 27.122 ; 22.102 ; 23.366 ; 25.564 ; 21.161 ; 3.220 ; 12.025 ;
Agosto; 16.618 ; 21.250 ; 22.073 ; 17.685 ; 20.839 ; 17.938 ; 21.893 ; 21.521 ; 22.417 ; 23.915 ; 27.311 ; 29.671 ; 27.775 ; 25.954 ; 25.003 ; 24.314 ; 20.583 ; 21.520 ; 22.310 ; 18.849 ; 3.604 ; 11.634 ;
Setembro; 17.536 ; 21.092 ; 20.305 ; 17.857 ; 18.982 ; 17.255 ; 21.478 ; 21.888 ; 21.230 ; 23.796 ; 26.419 ; 28.921 ; 28.407 ; 24.932 ; 24.377 ; 23.028 ; 19.347 ; 19.600 ; 22.027 ; 17.980 ; 5.711 ; 13.126 ;
Outubro; 18.490 ; 21.792 ; 20.531 ; 19.734 ; 20.124 ; 18.397 ; 22.727 ; 20.891 ; 22.509 ; 25.141 ; 28.211 ; 31.330 ; 28.043 ; 27.412 ; 26.347 ; 24.109 ; 22.161 ; 20.620 ; 23.892 ; 18.698 ; 9.704 ; 16.706 ;
Novembro; 18.416 ; 20.530 ; 19.857 ; 18.850 ; 17.444 ; 18.930 ; 22.673 ; 20.973 ; 21.835 ; 25.420 ; 28.641 ; 29.717 ; 27.310 ; 26.229 ; 26.314 ; 24.303 ; 20.683 ; 19.982 ; 23.678 ; 19.473 ; 11.494 ; 16.205 ;
Dezembro; 20.679 ; 22.225 ; 19.333 ; 20.955 ; 19.864 ; 20.512 ; 25.314 ; 23.244 ; 24.990 ; 29.242 ; 31.385 ; 33.946 ; 29.045 ; 30.482 ; 30.079 ; 28.979 ; 24.992 ; 25.957 ; 26.485 ; 23.327 ; 14.340 ; 21.955 ;
