UN. DA FEDERAÇÃO;CEARÁ;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 9.409 ; 11.850 ; 10.020 ; 10.696 ; 10.741 ; 12.060 ; 12.194 ; 12.916 ; 14.106 ; 13.489 ; 18.114 ; 17.819 ; 19.090 ; 18.410 ; 18.349 ; 25.063 ; 21.628 ; 21.721 ; 19.947 ; 27.232 ; 27.162 
Fevereiro; 7.988 ; 10.328 ; 8.265 ; 7.455 ; 8.312 ; 10.170 ; 10.069 ; 11.299 ; 12.316 ; 11.356 ; 15.306 ; 14.098 ; 15.378 ; 14.817 ; 15.159 ; 18.884 ; 16.842 ; 15.640 ; 14.720 ; 20.744 ; 21.736 
Março; 7.304 ; 10.829 ; 9.180 ; 6.891 ; 11.608 ; 9.442 ; 11.161 ; 11.507 ; 12.017 ; 11.394 ; 15.787 ; 15.540 ; 15.079 ; 15.030 ; 16.851 ; 18.813 ; 16.295 ; 16.854 ; 15.616 ; 22.989 ; 16.037 
Abril; 7.411 ; 9.785 ; 8.743 ; 5.775 ; 7.873 ; 7.885 ; 9.442 ; 10.611 ; 10.646 ; 11.644 ; 14.618 ; 14.697 ; 15.925 ; 15.249 ; 16.299 ; 18.578 ; 14.445 ; 14.654 ; 15.266 ; 19.484 ; 1.984 
Maio; 7.085 ; 9.963 ; 8.326 ; 5.562 ; 7.894 ; 8.546 ; 10.767 ; 10.792 ; 10.338 ; 11.742 ; 14.696 ; 14.567 ; 16.682 ; 15.241 ; 16.294 ; 20.058 ; 14.094 ; 15.498 ; 16.646 ; 18.027 ; 2.638 
Junho; 6.832 ; 8.277 ; 8.776 ; 6.399 ; 7.839 ; 8.110 ; 10.780 ; 10.928 ; 10.455 ; 11.489 ; 14.550 ; 14.905 ; 16.471 ; 15.452 ; 20.242 ; 18.606 ; 14.069 ; 15.351 ; 17.465 ; 17.962 ; 4.017 
Julho; 10.236 ; 9.579 ; 9.736 ; 7.829 ; 9.131 ; 10.642 ; 12.738 ; 12.576 ; 11.910 ; 14.065 ; 17.533 ; 18.197 ; 17.868 ; 16.739 ; 22.335 ; 20.605 ; 17.783 ; 19.024 ; 21.192 ; 21.254 ; 5.243 
Agosto; 7.010 ; 9.025 ; 9.269 ; 7.111 ; 9.508 ; 9.805 ; 12.509 ; 11.449 ; 11.518 ; 13.951 ; 16.297 ; 16.132 ; 15.879 ; 16.075 ; 20.709 ; 18.553 ; 16.139 ; 16.011 ; 21.773 ; 22.798 ; 5.988 
Setembro; 7.848 ; 8.638 ; 8.782 ; 7.706 ; 8.358 ; 8.890 ; 12.604 ; 10.654 ; 11.231 ; 13.164 ; 15.581 ; 15.311 ; 15.303 ; 14.535 ; 19.593 ; 17.310 ; 16.059 ; 14.678 ; 22.508 ; 22.422 ; 5.228 
Outubro; 8.381 ; 8.998 ; 8.742 ; 7.498 ; 8.892 ; 9.024 ; 14.055 ; 11.684 ; 11.276 ; 13.926 ; 16.030 ; 16.034 ; 16.009 ; 16.101 ; 20.389 ; 17.601 ; 16.885 ; 17.664 ; 22.929 ; 22.666 ;
Novembro; 8.903 ; 9.109 ; 8.726 ; 7.632 ; 9.160 ; 9.090 ; 12.900 ; 12.001 ; 11.795 ; 13.781 ; 16.863 ; 15.464 ; 15.867 ; 15.799 ; 20.299 ; 17.151 ; 16.493 ; 16.657 ; 23.636 ; 22.893 ;
Dezembro; 11.300 ; 9.878 ; 10.356 ; 10.260 ; 10.460 ; 10.264 ; 14.441 ; 13.114 ; 11.855 ; 16.344 ; 17.403 ; 17.963 ; 16.738 ; 17.517 ; 23.167 ; 19.687 ; 19.415 ; 19.442 ; 26.897 ; 26.434 ;
Total do Ano; 99.707 ; 116.260 ; 108.921 ; 90.815 ; 109.775 ; 113.928 ; 143.659 ; 139.531 ; 139.462 ; 156.344 ; 192.778 ; 190.727 ; 196.290 ; 190.963 ; 229.687 ; 230.908 ; 200.146 ; 203.194 ; 238.597 ; 264.905 ; 90.034 
