UN. DA FEDERAÇÃO;DISTRITO FEDERAL;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 20.082 ; 23.661 ; 21.464 ; 20.787 ; 20.871 ; 18.394 ; 19.162 ; 20.849 ; 27.294 ; 28.843 ; 31.751 ; 35.961 ; 35.728 ; 33.886 ; 43.483 ; 48.151 ; 49.144 ; 39.249 ; 41.150 ; 40.500 ; 37.122 
Fevereiro; 19.510 ; 18.068 ; 19.797 ; 17.502 ; 19.810 ; 17.893 ; 15.701 ; 19.149 ; 24.514 ; 24.898 ; 27.362 ; 31.876 ; 32.404 ; 29.573 ; 37.374 ; 37.902 ; 45.090 ; 31.937 ; 34.253 ; 34.143 ; 31.369 
Março; 20.230 ; 24.554 ; 18.477 ; 22.247 ; 23.222 ; 21.558 ; 23.036 ; 22.970 ; 26.366 ; 28.943 ; 31.942 ; 35.340 ; 34.887 ; 31.575 ; 40.842 ; 44.241 ; 45.546 ; 37.491 ; 39.238 ; 38.457 ; 24.417 
Abril; 19.662 ; 22.524 ; 25.501 ; 21.884 ; 21.425 ; 19.782 ; 19.573 ; 21.738 ; 27.662 ; 27.511 ; 32.717 ; 34.385 ; 33.479 ; 32.416 ; 42.918 ; 44.916 ; 44.237 ; 33.901 ; 40.167 ; 36.027 ; 2.962 
Maio; 23.542 ; 24.258 ; 24.013 ; 20.886 ; 22.373 ; 21.570 ; 25.995 ; 23.808 ; 29.424 ; 30.567 ; 33.000 ; 35.630 ; 32.317 ; 40.488 ; 47.147 ; 46.923 ; 44.470 ; 38.733 ; 36.986 ; 37.914 ; 3.440 
Junho; 22.224 ; 22.356 ; 21.629 ; 20.960 ; 23.824 ; 21.416 ; 19.991 ; 24.289 ; 28.431 ; 29.080 ; 33.148 ; 35.322 ; 34.129 ; 41.932 ; 45.291 ; 48.179 ; 43.984 ; 38.350 ; 42.510 ; 36.572 ; 4.492 
Julho; 24.847 ; 25.085 ; 18.260 ; 24.549 ; 23.833 ; 21.385 ; 19.738 ; 25.649 ; 29.424 ; 33.625 ; 35.830 ; 38.774 ; 37.332 ; 47.840 ; 49.102 ; 55.142 ; 46.249 ; 43.067 ; 47.303 ; 42.287 ; 8.129 
Agosto; 23.072 ; 23.702 ; 25.751 ; 21.668 ; 24.894 ; 22.293 ; 19.765 ; 25.247 ; 27.961 ; 31.969 ; 35.734 ; 38.045 ; 35.858 ; 46.195 ; 49.431 ; 52.221 ; 45.408 ; 41.717 ; 43.577 ; 37.890 ; 13.227 
Setembro; 24.006 ; 20.036 ; 23.035 ; 23.126 ; 22.278 ; 20.666 ; 19.287 ; 24.098 ; 27.512 ; 30.994 ; 33.638 ; 35.783 ; 33.874 ; 42.621 ; 47.394 ; 48.745 ; 40.033 ; 39.488 ; 42.063 ; 36.944 ; 18.803 
Outubro; 23.637 ; 23.376 ; 30.910 ; 24.094 ; 21.081 ; 19.830 ; 20.176 ; 26.253 ; 28.146 ; 31.287 ; 32.982 ; 35.626 ; 34.927 ; 43.105 ; 48.703 ; 49.158 ; 39.047 ; 39.930 ; 39.787 ; 37.000 ;
Novembro; 22.125 ; 22.292 ; 23.629 ; 19.316 ; 21.848 ; 19.172 ; 20.292 ; 25.184 ; 27.208 ; 29.658 ; 32.461 ; 35.100 ; 32.546 ; 40.988 ; 44.131 ; 44.998 ; 37.176 ; 36.389 ; 37.984 ; 36.886 ;
Dezembro; 24.342 ; 21.154 ; 21.295 ; 23.867 ; 20.103 ; 20.126 ; 23.590 ; 26.416 ; 28.775 ; 32.345 ; 36.536 ; 36.257 ; 34.428 ; 42.125 ; 46.649 ; 49.169 ; 38.745 ; 37.149 ; 40.531 ; 36.222 ;
Total do Ano; 267.279 ; 271.068 ; 273.761 ; 260.887 ; 265.562 ; 244.084 ; 246.307 ; 285.650 ; 332.717 ; 359.720 ; 397.103 ; 428.098 ; 411.910 ; 472.745 ; 542.464 ; 569.743 ; 519.130 ; 457.402 ; 485.549 ; 450.842 ; 143.961 
